feature,importance_global,importance_mean,importance_median,importance_variance
nBondsM,0.45615388052604233,0.9578286739126585,1.0,0.006935398871666164
SlogP_VSA8,0.43169784508735454,0.8063120283737722,0.822782112060694,0.017799772981833047
SpDiam_A,0.40007819104344744,0.7669837184168584,0.8034068800723688,0.022599131714413606
SMR_VSA3,0.38038205603716646,0.7203110635695203,0.7352523354741233,0.020094594640039147
PEOE_VSA3,0.3771777550235118,0.7992798328317431,0.8121989756686463,0.017839455354723584
VSA_EState8,0.36060079739869355,0.5623853002240833,0.5837835794912486,0.02750540087349941
SMR_VSA7,0.35034322517782535,0.6732608839671633,0.6878082542953454,0.022728567795999573
SpMax_A,0.34208563721767105,0.7853573613472374,0.782811145372119,0.01597224484652082
Xch-5dv,0.3409590195684298,0.6534438333186118,0.6865347486532237,0.02407233421840056
BCUTc-1l,0.32629886242020856,0.6185921698870293,0.63155905742166,0.023972904322358497
Xch-6d,0.3221260122664473,0.5558328308740157,0.5835718752565765,0.025276248809157947
piPC3,0.3123798662415096,0.6727970884126385,0.6709307235425838,0.014241569261283796
piPC4,0.29758424690781204,0.5758549070958999,0.5894638347534984,0.017551821304311335
EState_VSA6,0.2973199541197111,0.5008010516835697,0.5424871078713218,0.023782306994329115
SaasN,0.2905515865905106,0.6622233885877373,0.6666745604999468,0.0193715511056174
SMR_VSA9,0.28580057886405896,0.5791829208482627,0.5894397410782568,0.020116899818850353
SlogP_VSA6,0.2742882818780763,0.5234936336524374,0.5522983490601269,0.024344623514201837
BCUTc-1h,0.27345892927155635,0.468499211311687,0.49864868581322674,0.023098655367883976
PEOE_VSA10,0.2673592884670284,0.4917447235736516,0.5123038322982292,0.020513617117646762
VSA_EState1,0.26302078734131573,0.4858514366499229,0.5291682461645242,0.03188803257269258
BalabanJ,0.26105343571769435,0.5729825129218142,0.5671815488001574,0.018545386870693258
VSA_EState7,0.26017680612988014,0.5543663790394887,0.5524193165848443,0.015456791253173984
piPC5,0.25982348253846066,0.5601126034373304,0.5487159442147114,0.017132765954136698
TopoPSA,0.2582333956796474,0.5028513712435757,0.5391883781984601,0.021787408577985376
BCUTs-1l,0.25785806041673576,0.43686539465493524,0.45022775268060733,0.0220156973405883
Xch-5d,0.2569295546213417,0.5116641396458135,0.5393433428150296,0.01684135757301682
AATS8p,0.2543449528388284,0.5448991726764516,0.5467445843968854,0.017655038872165355
SlogP_VSA4,0.25387026157223147,0.4169184999569158,0.42204643102975303,0.013676225979099139
AMID_N,0.2536379679429084,0.5282686613600134,0.5240187808828582,0.01508603917337289
PEOE_VSA4,0.2480338293313893,0.4455580807853297,0.4556268268489127,0.014979383351998112
NaaCH,0.24484765881646275,0.43871104010385537,0.4499031078795029,0.017361262624602553
AETA_alpha,0.24393739467443742,0.35514577304804557,0.38850799489905974,0.022637903822293047
SdssC,0.24391902834909907,0.4883706394740642,0.5072781038527946,0.01224367781234617
BCUTare-1l,0.2434238652234102,0.48632657214588154,0.5024043372523594,0.01737689934484666
VSA_EState2,0.24264383734287032,0.5739110737487882,0.5758271098682853,0.014167781205420725
AXp-5d,0.2414676689934092,0.5245801446344028,0.5562683368976453,0.019172405327381147
Xch-6dv,0.23542338059184997,0.5082660404195708,0.5217360683589859,0.01691291999595134
GGI7,0.23403640021853978,0.3739417949380392,0.394894405199993,0.0184440573688753
piPC6,0.2271194908416736,0.5047565701772423,0.4979010385262021,0.014060853165111162
BCUTi-1h,0.22692394645606573,0.33102140790390716,0.32784639857525594,0.01638781316517391
