pIC50,AATS1i,AATS2i,AATS3i,AATS4i,AATS5d,AATS6i,AATS7s,AATS8s,AATSC0v,AETA_alpha,AETA_beta_ns_d,AMID_C,ATSC1d,ATSC1dv,ATSC7d,ATSC8dv,AXp-0d,Ali_Log_S,CIC1,CIC2,ESOL_Solubility_(mg/ml),EState_VSA4,EState_VSA5,ETA_dAlpha_B,ETA_dEpsilon_D,ETA_epsilon_5,GATS1d,GATS1dv,GATS1i,GATS1v,GATS2c,GATS2d,GATS2i,GATS2v,GATS3c,GATS3dv,GATS3i,GATS3s,GATS4dv,GATS4i,GATS4s,GATS5d,GATS5i,GATS5p,GATS6dv,GATS6p,GATS6s,GATS7dv,GATS7i,GATS7p,GATS8c,GATS8dv,GATS8i,GGI6,GGI7,IC1,JGI4,MATS6s,MATS8s,MAXaaCH,MLOGP,MOMI-Z,Mor03m,Mor13m,Mor26m,Mor30m,Mor31m,PEOE_VSA1,PEOE_VSA4,PEOE_VSA6,PEOE_VSA9,RNCG,RNCS,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA9,SaaS,SdO,SddssS,SdssC,SlogP_VSA10,SlogP_VSA3,SlogP_VSA4,SpDiam_A,SsNH2,SssS,VSA_EState8,VSA_EState9,Xc-3dv,Xc-5dv,Xc-6dv,ZMIC2
7.886056648,145.560325,150.7520497,156.5390026,155.8494569,3.446428571,157.8136342,2.713833492,2.589976983,50.40263578,0.4916666667,0.015625,1.63637924,9.136094675,56.75805391,-6.461538462,0.8027613412,0.6848636974,-5.59,2.225408552,1.169396833,0.00305,44.92947468,0.0,0.008333333333,0.01464646465,0.7686868687,0.7010103383,0.5338529013,1.106744432,0.8105966151,1.307613246,1.131203008,1.255474299,0.8869107625,1.182502241,1.102882377,0.9948518972,1.21797018,1.046089306,1.041741393,0.9211550059,1.113827538,1.142098622,1.108727882,1.07260214,0.9473605507,1.058993957,1.033053036,0.9807791387,0.9889785624,1.179218062,0.9775824878,1.024371889,0.7413151927,0.474029195,3.475031166,0.0381678487,-0.03525356625,-0.0421398553,2.03988502,2.13,3201.186331,-3.436424346,-1.251029408,-0.348939037,0.5026020939,-0.3174309568,5.316788604,5.098681808,42.54970879,23.27208584,0.1626234389,21.57365644,0.0,24.73242031,0.0,22.51475897,0.0,0.0,0.0,0.6790551438,5.687386275,6.544756406,6.9237372,4.876664293,0.0,0.0,2.431664893,0.0,0.915641771,0.07129411522,0.0,36.57587505
6.189767482,143.9205754,148.497033,155.7072841,157.6903983,3.638554217,156.1471078,2.775983348,2.513594118,49.36971113,0.4938271605,0.01851851852,1.645994822,8.611111111,47.5648778,-11.11111111,-49.07432603,0.6747025075,-5.7,1.971019137,1.017358475,0.00211,44.70847628,0.0,0.006172839506,0.01728395062,0.7666666667,0.6357555488,0.4925806497,1.097914098,0.7586816813,0.928830155,1.046116046,1.162316982,0.8736319481,1.359112878,1.046212291,1.069299139,1.059650804,1.096330246,1.153244123,1.134986036,1.09849187,1.001694662,0.9087220074,1.262825586,0.7062011674,1.36756626,1.087030257,0.9636005185,0.9363242298,0.8892957006,1.06378838,0.945521376,0.4734240363,0.3871527778,3.421298286,0.03834795322,-0.3256048181,-0.2231714005,2.091736636,2.83,2341.143937,-4.349804826,-1.364894195,-0.2638964467,0.3145197949,-0.1177401881,5.316788604,0.0,24.26546827,21.41454618,0.1884334693,20.66219208,0.0,15.28474565,4.992404733,0.0,1.623420283,0.0,0.0,0.6099706843,11.37477255,0.0,13.08951281,4.903407469,0.0,0.0,1.966259719,0.0,0.7609291239,0.09332482137,0.0,31.3110809
8.236572006,147.4612651,157.7221058,159.9476082,159.1225334,4.1,162.9607215,5.453186535,4.534979424,43.86052541,0.4843253968,0.0,1.332445565,3.752066116,40.2265075,-11.12396694,-81.96755433,0.7040406978,-6.27,1.049369409,0.4928685608,0.00251,15.91054863,22.67357176,0.01567460317,0.02512698413,0.903047619,0.9346405229,0.3964611406,0.8505278771,0.7117645346,1.066337923,0.9322033898,0.7492637709,0.7793836392,0.6916775797,0.7824128347,0.5185500431,0.4570906609,0.8466251836,0.9734528773,0.8341697233,1.175490196,0.9434064182,0.9520079746,1.087901579,1.339381988,1.049784255,1.329232471,1.424684863,0.9366503436,0.8996855229,1.56203012,1.45619129,0.7413151927,0.5721017574,3.995024711,0.05052380952,-0.02532760127,-0.337053202,1.810150227,2.09,2275.114305,-6.198717848,-0.5802035465,-0.309865363,0.155164361,0.1592967637,4.983978521,13.17124514,6.066367068,21.4210879,0.1746651557,31.96666154,13.17124514,19.93591408,0.0,21.95893118,2.703659126,0.0,0.0,0.0,13.17124514,6.176298517,6.9237372,4.853464981,0.0,0.0,1.792035689,0.0,0.8991335537,0.1350287976,0.003018408053,36.71808007
7.318758763,144.0134583,150.126197,156.8461685,153.5723163,3.865979381,156.7137158,2.356688122,2.087254445,51.04803271,0.4928571429,0.01923076923,1.710001269,12.73336939,67.91639792,-20.64196863,-38.35570779,0.679730678,-4.76,1.882225511,0.7536365571,0.00255,47.37110857,16.82083098,0.007142857143,0.0,0.7879120879,0.5602350279,0.4318447912,1.098254068,0.8150876153,1.314057055,0.9656629185,1.20195393,0.8248936248,1.162451852,1.122979597,0.9005178782,1.07024599,1.142759713,1.026477864,1.104286557,1.277430991,1.254770926,0.9894774431,1.240392507,0.9625365914,1.264429857,1.226162045,1.006670644,1.045596152,0.7989429637,1.006643446,0.9886050964,0.6131972789,0.4288548753,3.544039244,0.04044973545,-0.1398244797,-0.1514373106,2.125990226,3.15,2177.837598,-2.909144122,-1.147689069,-0.4462850492,0.3119019792,-0.02368572528,0.0,5.098681808,29.8000411,21.92719002,0.1910926599,9.627587987,0.0,19.74844179,0.0,22.51475897,0.0,0.0,0.0,0.0,0.0,12.96557803,6.9237372,5.000147947,0.0,0.0,2.883960967,0.0,0.8170731478,0.2038753515,0.0,27.68479521
7.522878745,147.0512604,153.298533,156.1439246,155.2239887,3.094827586,159.1124828,2.709876543,2.687134503,48.51601673,0.4752688172,0.01612903226,1.62492247,7.98615917,42.68319877,-3.813148789,-22.8769704,0.6736212297,-4.12,2.169459979,0.7946926473,0.0199,46.0664067,0.0,0.0247311828,0.0156922043,0.7864583333,0.6499575191,0.5717269661,1.228519539,0.8670340307,1.411693982,1.171505828,1.067066962,0.8997839579,0.9917209535,1.142848717,0.9167204453,1.065979522,1.003537061,1.137439012,0.9966995856,0.9330688044,0.9905744916,0.9596107075,0.9344976561,0.9400515136,0.8165135332,0.9230159947,1.028564315,1.081529766,0.8696566776,1.032606284,1.097846121,0.4251247166,0.2830569728,3.502965363,0.02094315245,0.08922032047,-0.0753821893,2.061706428,1.06,1149.515575,-3.466205219,-1.430672584,-0.1871286353,0.5062090867,-0.2306665933,9.303962602,5.098681808,6.066367068,24.25993247,0.2060016448,58.60524924,4.736862954,29.71639883,0.0,39.52165029,0.0,0.0,0.0,0.0,0.0,6.544756406,0.0,4.818141123,0.0,0.0,1.342149728,0.0,0.5972872317,0.0761440227,0.0,29.22376832
7.408935393,150.1287662,155.577371,160.8336168,160.1316994,3.292682927,162.70947,2.714285714,2.789990421,47.59726111,0.4707070707,0.0303030303,1.520040716,11.33190083,75.49586777,-7.836033058,-30.43801653,0.6904812668,-3.54,2.01541337,0.9461654549,0.0997,51.71376917,13.26227256,0.02929292929,0.04335016835,0.7768518519,0.7054229688,0.4701755915,1.310822657,0.871503092,0.9914120486,1.158493597,1.247799371,0.9051268693,1.168480885,1.19744908,0.9763069501,1.302360769,0.9728418609,1.060873201,0.6744874859,1.076028109,1.137021822,1.105722788,0.9851563148,0.9531900847,0.8858995568,1.02001469,0.919064009,0.8993950898,0.8860151522,0.9872794965,1.021017094,0.6931972789,0.6067885488,3.765946344,0.04250591017,-0.06916580264,-0.01353165484,1.98359253,1.49,2114.754709,-3.795521347,-1.560207532,-0.2816104061,0.3924517219,-0.1512194368,15.61755573,5.425791397,12.14238718,23.62654039,0.134539768,33.07316149,4.794537184,25.38663948,4.992404733,11.38785599,0.0,11.20180083,0.0,0.8135728293,11.37477255,11.33929359,13.08951281,4.84862861,0.0,0.0,3.944364098,0.0,0.8586399347,0.06365387513,0.0,30.46303494
8.0,148.1175792,151.9245659,158.2982398,158.696275,3.341463415,161.1531869,2.80839895,3.054613936,47.983974,0.4737373737,0.01515151515,1.598107469,11.32441701,58.86419753,-3.121056241,5.827160494,0.6904812668,-4.64,2.122284425,0.9624846009,0.0228,50.88435568,0.0,0.02626262626,0.05492765493,0.7531531532,0.688132401,0.4928064814,1.186259354,0.808654492,0.955881863,1.158783241,1.227336624,0.9098394126,0.9643030855,1.151037647,0.9725137957,0.9824538378,1.066814244,1.143224984,1.013548257,1.122177974,1.111315097,1.045308634,1.04828938,0.9447017455,0.9170307425,1.015392516,0.9664313761,0.9154061091,0.6810049159,0.9283487331,0.9440686449,0.6156462585,0.6198625283,3.632603077,0.0446875,-0.1184005841,0.1569820465,1.986135868,0.81,2131.473555,-4.334610185,-1.809740532,-0.1644850658,0.3809179098,-0.3172304735,16.0344346,0.0,18.19910121,34.65994183,0.1360091594,32.24398834,4.794537184,24.9198926,5.733667477,22.64523548,0.0,11.46922204,0.0,-0.4665311897,5.687386275,6.544756406,6.9237372,4.874959471,5.391845875,0.0,2.382704181,0.0,0.8291328182,0.08505527698,0.0,32.00740331
6.970616222,142.568784,147.0264186,150.228361,156.1724908,3.465517241,159.8089967,2.506858711,2.574133074,51.19414657,0.5112554113,0.02272727273,1.613859381,6.387543253,37.25823401,-10.49134948,-42.15075398,0.6865492513,-6.13,1.743653309,0.9045555148,0.000727,31.81196091,5.563451492,0.0,0.0,0.7978354978,0.702740662,0.5496909568,0.9601897125,0.7324090131,1.054521134,1.076825843,1.168403169,0.7950806361,0.9514008569,0.9484975008,1.072127304,1.01926616,0.9355006689,1.140327832,1.03888694,1.046033514,1.156503074,0.8949825732,1.28728987,1.429588173,1.590509625,1.498679609,0.9274549705,1.141796019,0.7659585896,1.328864352,0.7764336092,0.3788208617,0.3411635488,3.343809532,0.04555555556,-0.1232475129,-0.3969541693,2.137281307,4.07,390.8279117,-4.431175036,-0.4233779371,-0.2706113907,0.3611107697,-0.1605658084,0.0,5.098681808,58.8330126,11.89077157,0.1752600273,98.50396462,0.0,14.59805822,0.0,21.82845468,1.592402954,0.0,0.0,0.0,0.0,0.0,6.9237372,4.773957061,0.0,0.0,2.084179544,0.0,0.9040054457,0.09878289721,0.0,29.43827486
8.346787486,148.0204164,152.3036628,155.6241958,156.38011,3.673267327,158.8298829,3.069279636,3.01016703,46.40783287,0.4854166667,0.015625,1.505162424,9.277777778,57.61651235,-9.638888889,9.116898148,0.6899617195,-5.68,1.797995053,0.7767544274,0.00554,28.16193619,6.327320075,0.01458333333,0.0154040404,0.7929292929,0.6778846154,0.4601794321,1.094092438,0.7739194071,0.9978933536,1.125945643,1.163808843,0.8461781675,1.126749375,1.063892821,0.9937935412,0.7653077486,0.991449361,1.105641658,1.009087887,1.120078287,1.096946365,1.012838732,1.12475115,0.9224867734,1.002180955,1.016003688,1.013083517,1.293880102,0.8043402298,0.9313135294,0.9865388069,0.7772789116,0.6137329932,3.786967448,0.04255787037,-0.1418998546,0.1431020664,1.953568543,2.39,1979.218291,-4.59435954,-1.107443043,-0.335460334,0.4681407602,-0.3277556437,5.316788604,15.45925517,12.13273414,17.3266008,0.1536834849,33.40773965,0.0,29.36252149,0.0,28.58398029,0.0,0.0,0.0,0.3785173112,5.687386275,0.0,18.25485007,4.859112107,0.0,0.0,1.941264622,0.0,0.8818553705,0.1048899075,0.0,30.77061433
8.15490196,147.9609889,153.6858859,157.3723122,158.2847916,3.313559322,161.3962539,2.541629027,2.600173273,50.24069857,0.488172043,0.03225806452,1.551691863,12.75,75.74556213,-2.8125,-19.08481262,0.6841461785,-4.85,1.948806929,0.8084442311,0.0132,46.02638289,4.895483476,0.01182795699,0.0302378625,0.7686868687,0.6275510204,0.4858885136,1.202428832,0.8419519833,1.14525196,1.099378882,1.170031011,0.8883641275,1.104223281,1.134299115,0.9967102316,1.101451631,1.036806387,1.115373092,1.093347265,1.140435835,1.130021224,0.9966874993,0.9887735485,0.920388143,1.081734953,1.027397085,0.9392508828,0.818590741,1.038133593,1.009299348,1.026507014,0.614829932,0.5130385488,3.751632789,0.04176767677,-0.01507438131,0.08008636736,2.135101973,2.51,2480.208982,-4.27403285,-1.305590239,-0.005907292768,0.4375679667,-0.2402819089,10.30076712,5.425791397,18.20875424,23.62654039,0.1590730809,31.87239538,0.0,25.38663948,4.992404733,11.38785599,0.0,0.0,0.0,0.9473948809,5.687386275,6.544756406,13.08951281,4.848683342,0.0,1.723645122,2.559945921,0.0,0.877368674,0.06365387513,0.0,29.27400652
