SpDiam_A,AATS5d,AATS7s,AATS8s,AATS1i,AATS2i,AATS3i,AATS4i,AATS6i,ATSC1dv,ATSC8dv,ATSC1d,ATSC7d,AATSC0v,MATS6s,MATS7s,MATS8s,GATS2c,GATS3c,GATS8c,GATS1dv,GATS3dv,GATS4dv,GATS6dv,GATS7dv,GATS8dv,GATS1d,GATS2d,GATS5d,GATS2s,GATS3s,GATS4s,GATS6s,GATS1v,GATS2v,GATS5p,GATS6p,GATS7p,GATS1i,GATS2i,GATS3i,GATS4i,GATS5i,GATS7i,GATS8i,RNCG,RPCG,Xc-3dv,Xc-5dv,Xc-6dv,AXp-0d,SdssC,SsNH2,SdO,SssO,SssS,SaaS,SddssS,MAXaaCH,AETA_alpha,AETA_beta_ns_d,ETA_dAlpha_B,ETA_epsilon_5,ETA_dEpsilon_D,IC1,CIC1,CIC2,ZMIC2,PEOE_VSA1,PEOE_VSA4,PEOE_VSA6,PEOE_VSA9,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA9,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA10,EState_VSA4,EState_VSA5,VSA_EState8,VSA_EState9,AMID_C,TopoPSA(NO),GGI6,GGI7,JGI4,RNCS,Mor02m,Mor03m,Mor13m,Mor26m,Mor30m,Mor31m,MOMI-Z,MLOGP,ESOL_Solubility_(mg/ml),Ali_Log_S,SpMax_A,VE1_A,AATS8dv,ATSC8d,ATSC0p,ATSC0i,MATS1c,MATS2s,MATS3s,GATS4c,GATS5dv,GATS6d,GATS7d,GATS3v,GATS1p,GATS6i,BCUTc-1h,BCUTd-1l,BCUTs-1h,Xch-5d,Xch-7d,Xc-5d,AXp-1d,SaasC,SaaaC,SssssC,SssNH,SsOH,SdS,AETA_beta_s,AETA_eta_L,AETA_eta_F,IC2,ZMIC1,PEOE_VSA2,SlogP_VSA1,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA6,EState_VSA9,VSA_EState3,VSA_EState7,MDEC-33,GGI3,GGI5,GGI8,GGI9,JGI2,JGI5,FPSA3,RPCS,Mor06m,Mor08m,Mor11m,Mor16m,Mor23m,XLOGP3,Silicos-IT_Log_P,ESOL_Log_S,Ali_Solubility_(mg/ml),Silicos-IT_Solubility_(mg/ml)
4.945982674,3.30075188,2.445249597,2.30734127,147.5978611,157.8321886,157.1610552,160.7924871,161.2686912,95.75510204,-134.0714286,17.59183673,-23.42091837,50.93265931,-0.09325959212,0.07908645055,-0.2040327227,1.635793006,1.101169241,1.092100555,0.4872254059,0.9891450263,0.9209003747,1.128760745,1.149116523,1.230211318,0.6028183716,1.086986778,1.045489507,0.8086185044,1.092232767,0.9377631241,1.183776933,0.9924155931,0.7696552482,1.028415375,0.8508560912,1.148701918,1.418977275,1.047773367,1.078228218,0.8969788832,1.176815358,1.135099677,1.091952783,0.1662440571,0.05993567359,1.067258904,0.1288113406,0.0,0.6888187153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.251293462,0.48,0.0,0.02,0.78,0.0,3.491860676,2.315494246,0.9627883386,27.46169931,9.467009379,5.098681808,18.20875424,35.29333391,0.0,29.21545116,0.0,22.51475897,49.85555154,13.08951281,6.9237372,0.0,70.99110724,0.0,4.838045859,4.220524565,1.659158216,51.77,0.8187301587,0.6345663265,0.03414251208,3.860452175,25.76288881,-2.833120026,-1.712049124,-0.3516320659,0.3456944555,-0.1783070703,2137.502982,2.3,0.0144,-3.99,2.597850078,4.101665835,1.26119403,-13.83767361,11.16728167,72.82102943,-0.3860697834,0.1572707599,-0.05661729883,0.8128885896,1.188467447,1.385646218,1.169289244,1.137579186,1.012467805,1.149255504,0.3863274904,0.991510793,6.002808208,0.1466088019,1.229032715,0.7194749337,0.423750376,6.542281956,0.0,0.1731802327,0.0,9.67224571,0.0,0.62,0.2419431816,0.889479317,4.398802147,44.2804485,9.665781456,0.0,0.0,11.1645023,5.917906046,12.13273414,10.08266033,14.61084548,0.0,10.00980201,2.833333333,1.278611111,0.3797004913,0.096875,0.0826873385,0.03118563686,0.03896814881,105.2326043,0.5408248503,-2.326330623,0.3945932708,0.0256806776,-0.4857751605,4.05,4.26,-4.83,0.005,8.28e-05
4.942378428,3.226027397,2.301198257,2.331757289,146.2472804,155.0665108,160.0276797,159.9665408,160.4586872,93.66565886,-42.11413454,14.48652053,-5.41723356,50.61721457,0.01987775498,0.1411001885,-0.04150680153,1.385687364,1.201758997,1.075495661,0.4998098034,1.102617453,1.167587636,0.951149575,0.9101594863,1.057963164,0.6592034203,0.9870040283,1.059541571,1.02202004,1.170926028,1.211932411,0.9964098172,0.9885089361,0.9218194606,1.03738592,0.9557179295,1.014957504,1.341906357,1.169470853,0.9743470307,0.950950482,1.16071508,1.019900356,1.041049839,0.1456046687,0.06484728411,0.8190725202,0.1288113406,0.0,0.6737412396,0.0,0.0,0.0,11.54632504,0.0,0.0,0.0,2.176777181,0.4754901961,0.0,0.02450980392,0.8039215686,0.0,3.523004188,2.454275736,1.022323364,30.02085899,14.04082556,5.098681808,18.20875424,41.90021587,9.473725908,24.31554143,0.0,22.51475897,43.81933209,22.56323872,6.9237372,0.0,83.89487604,6.420821623,5.186592111,0.0,1.669179994,66.99,0.7340136054,0.5217191043,0.03283333333,17.84970761,28.28447932,-5.251998152,-1.940031414,-0.2424870751,0.3372714553,-0.08202178319,2336.466524,2.52,0.00361,-5.02,2.597850078,4.101665835,1.26119403,-13.83767361,11.16728167,72.82102943,-0.3860697834,0.1572707599,-0.05661729883,0.8128885896,1.188467447,1.385646218,1.169289244,1.137579186,1.012467805,1.149255504,0.3863274904,0.991510793,6.002808208,0.1466088019,1.229032715,0.7194749337,0.423750376,6.542281956,0.0,0.1731802327,0.0,9.67224571,0.0,0.62,0.2419431816,0.889479317,4.398802147,44.2804485,9.665781456,0.0,0.0,11.1645023,5.917906046,12.13273414,10.08266033,14.61084548,0.0,10.00980201,2.833333333,1.278611111,0.3797004913,0.096875,0.0826873385,0.03118563686,0.03896814881,105.2326043,0.5408248503,-2.326330623,0.3945932708,0.0256806776,-0.4857751605,4.05,4.26,-4.83,0.005,8.28e-05
4.929552615,3.780487805,2.585518102,2.42440225,146.6934932,151.7346049,156.4534982,154.8694075,157.2106152,54.62984878,-45.90664037,10.82117028,-16.59434583,48.68718614,-0.1814485991,0.1143808457,-0.1888823613,1.145238383,1.034833562,0.9778018234,0.453322684,1.119566292,1.047057063,1.139602858,1.113357116,1.084651032,0.5582902205,1.000269978,1.200323974,0.811582298,1.148448627,0.9849907897,1.247896255,0.8087763166,0.8306297425,0.9908930956,0.987697696,1.10844714,1.134124049,1.171483515,0.9641591692,1.046496374,1.131839,0.978669644,1.071483421,0.2097399158,0.1019598315,0.6673631067,0.1044262599,0.0,0.6706519733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.114904573,0.4791666667,0.0,0.02083333333,0.764,0.01933333333,3.547185554,1.738216665,0.6770864604,25.00643644,4.983978521,5.098681808,18.20875424,35.29333391,0.0,24.73242031,0.0,22.51475897,24.73242031,6.544756406,6.9237372,0.0,51.4807728,0.0,2.806967831,0.0,1.676679689,59.39,0.5689795918,0.3315972222,0.03904320988,41.20627215,21.23321958,-3.052922224,-1.151841564,-0.2127517232,0.3868126365,-0.2556954959,1782.335708,2.02,0.0234,-3.86,2.597850078,4.101665835,1.26119403,-13.83767361,11.16728167,72.82102943,-0.3860697834,0.1572707599,-0.05661729883,0.8128885896,1.188467447,1.385646218,1.169289244,1.137579186,1.012467805,1.149255504,0.3863274904,0.991510793,6.002808208,0.1466088019,1.229032715,0.7194749337,0.423750376,6.542281956,0.0,0.1731802327,0.0,9.67224571,0.0,0.62,0.2419431816,0.889479317,4.398802147,44.2804485,9.665781456,0.0,0.0,11.1645023,5.917906046,12.13273414,10.08266033,14.61084548,0.0,10.00980201,2.833333333,1.278611111,0.3797004913,0.096875,0.0826873385,0.03118563686,0.03896814881,105.2326043,0.5408248503,-2.326330623,0.3945932708,0.0256806776,-0.4857751605,4.05,4.26,-4.83,0.005,8.28e-05
4.864588,3.202380952,3.14172163,3.324057208,144.775219,147.1915212,155.8267923,158.771623,157.4010174,20.81425475,46.83666529,6.147928994,4.351742275,47.09045049,0.0360866479,-0.1164609041,0.06598173248,0.7765750213,1.212874598,0.7863925804,0.5499137854,1.008740849,1.076988932,0.9183002771,1.024197882,0.8072723091,0.7240049367,1.139701551,0.9526380747,0.6167583804,0.952594945,1.027062828,0.7314889713,0.7143467684,0.9105186018,0.987686915,0.995896079,0.9632520521,0.9203991109,1.116963593,1.108215123,0.9821725007,0.9704861299,0.9065594642,0.8693869923,0.2637362504,0.1524323098,0.727356777,0.08469947665,0.0,0.6959864369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.819003949,0.4820512821,0.07692307692,0.01794871795,0.805952381,0.03891941392,3.424297788,1.861104431,0.7315211542,28.6523244,10.423316,0.0,17.66730696,22.2842392,9.496942443,9.967957042,0.0,17.00689132,15.07448444,0.0,5.817220841,15.7651876,0.0,18.19910121,0.0,0.0,1.625955818,58.04,0.386122449,0.2864583333,0.03749287749,78.43899978,22.01041359,-4.02754587,-1.308588109,-0.4286383181,0.4802769356,-0.240679363,951.9338672,3.26,0.00116,-5.65,2.597850078,4.101665835,1.26119403,-13.83767361,11.16728167,72.82102943,-0.3860697834,0.1572707599,-0.05661729883,0.8128885896,1.188467447,1.385646218,1.169289244,1.137579186,1.012467805,1.149255504,0.3863274904,0.991510793,6.002808208,0.1466088019,1.229032715,0.7194749337,0.423750376,6.542281956,0.0,0.1731802327,0.0,9.67224571,0.0,0.62,0.2419431816,0.889479317,4.398802147,44.2804485,9.665781456,0.0,0.0,11.1645023,5.917906046,12.13273414,10.08266033,14.61084548,0.0,10.00980201,2.833333333,1.278611111,0.3797004913,0.096875,0.0826873385,0.03118563686,0.03896814881,105.2326043,0.5408248503,-2.326330623,0.3945932708,0.0256806776,-0.4857751605,4.05,4.26,-4.83,0.005,8.28e-05
4.859076679,3.455357143,3.03894081,2.917866941,149.9215863,153.2231385,156.0873279,156.7402181,159.811369,61.56200607,13.88222479,10.8792772,-10.59207997,46.90235383,0.04857823646,-0.08990521132,0.06739460723,0.8132428522,0.992438935,0.6330643064,0.4712530987,1.122740841,1.001590804,1.038395451,1.033784504,0.9177407739,0.6951708023,1.152706687,1.038069374,0.5108919971,0.9676971736,1.006810245,0.4895083172,0.7696251407,0.8483334008,0.9767755275,0.9580830047,1.165863699,1.100146157,1.182124876,1.020155448,1.12448727,1.095328816,0.9975627089,1.054195681,0.140427677,0.09533335505,0.9407809356,0.1245317625,0.0,0.6954248033,-0.1191489073,5.309393804,11.30015538,0.0,0.0,0.0,0.0,1.945794737,0.4808080808,0.01515151515,0.01919191919,0.7842592593,0.04402356902,3.793728528,1.878696814,0.7310629905,29.89809159,11.05045608,10.19736362,6.066367068,5.693927995,4.794537184,29.36252149,5.733667477,22.51475897,40.3821381,0.0,6.9237372,5.687386275,28.16193619,6.327320075,1.934878506,0.0,1.464208038,116.02,0.734829932,0.7387329932,0.044138322,128.4215519,30.06621847,-4.158371024,-1.377038032,-0.299926762,0.3267209139,-0.3304276365,2624.044637,2.01,0.0183,-5.21,2.597850078,4.101665835,1.26119403,-13.83767361,11.16728167,72.82102943,-0.3860697834,0.1572707599,-0.05661729883,0.8128885896,1.188467447,1.385646218,1.169289244,1.137579186,1.012467805,1.149255504,0.3863274904,0.991510793,6.002808208,0.1466088019,1.229032715,0.7194749337,0.423750376,6.542281956,0.0,0.1731802327,0.0,9.67224571,0.0,0.62,0.2419431816,0.889479317,4.398802147,44.2804485,9.665781456,0.0,0.0,11.1645023,5.917906046,12.13273414,10.08266033,14.61084548,0.0,10.00980201,2.833333333,1.278611111,0.3797004913,0.096875,0.0826873385,0.03118563686,0.03896814881,105.2326043,0.5408248503,-2.326330623,0.3945932708,0.0256806776,-0.4857751605,4.05,4.26,-4.83,0.005,8.28e-05
4.824033268,3.034782609,3.005393743,2.876068376,147.1820149,153.4795538,155.7123705,156.9596397,157.6497143,49.33564014,-19.85813149,11.08304498,-0.9134948097,48.91808,0.04176275362,0.0340408739,-0.04858408434,1.273009574,0.8510924523,0.9485205852,0.5452365016,0.9846160342,1.047161619,0.8751369113,0.9805971459,1.024096386,0.6268436578,1.079168343,0.9484417083,0.8017522325,0.9048572102,1.364320662,0.6045779587,0.8870558559,0.8786172393,0.8809349247,1.068306732,1.015685971,1.1614955,1.060724935,0.9995415387,1.149799635,0.9614227774,0.950632126,1.118169519,0.1606839127,0.10528379,0.5582009643,0.09315436814,0.0,0.6920312592,-0.1261945102,0.0,12.15042233,4.949871137,0.0,0.0,0.0,2.004919144,0.4722222222,0.0,0.02777777778,0.7854166667,0.03236111111,3.609673195,2.062752147,0.809494363,28.73446707,10.05365156,5.098681808,18.19910121,17.99473795,9.531400138,25.48210926,0.0,33.77213846,46.3339363,4.736862954,0.0,0.0,33.77213846,0.0,0.9573687972,1.602107478,1.600638701,92.79,0.4806802721,0.3420493197,0.02398989899,120.9183069,26.65185095,-3.348389093,-1.299248066,-0.1422831748,0.2972729381,-0.337707163,1359.879051,0.95,0.0734,-3.77,2.597850078,4.101665835,1.26119403,-13.83767361,11.16728167,72.82102943,-0.3860697834,0.1572707599,-0.05661729883,0.8128885896,1.188467447,1.385646218,1.169289244,1.137579186,1.012467805,1.149255504,0.3863274904,0.991510793,6.002808208,0.1466088019,1.229032715,0.7194749337,0.423750376,6.542281956,0.0,0.1731802327,0.0,9.67224571,0.0,0.62,0.2419431816,0.889479317,4.398802147,44.2804485,9.665781456,0.0,0.0,11.1645023,5.917906046,12.13273414,10.08266033,14.61084548,0.0,10.00980201,2.833333333,1.278611111,0.3797004913,0.096875,0.0826873385,0.03118563686,0.03896814881,105.2326043,0.5408248503,-2.326330623,0.3945932708,0.0256806776,-0.4857751605,4.05,4.26,-4.83,0.005,8.28e-05
4.849116668,3.283333333,2.564246914,2.661155203,147.9609889,153.6858859,157.3442561,157.7077439,161.6377542,76.74556213,-56.00460224,13.75,-1.9375,50.24069857,0.05878208115,0.04017452146,-0.1093473555,1.174959601,1.020395464,1.186186566,0.4810350213,1.158207059,1.072603217,0.9047576196,1.059640339,1.112932764,0.5969387755,1.080745342,1.05,0.7813184696,1.097053819,1.056067791,0.9661400282,0.8419519833,0.8883641275,1.089909807,0.8544840436,0.7841151186,1.202428832,1.170031011,1.012033715,1.127195336,1.14152256,0.8774295087,0.9531486201,0.1566820121,0.09185342235,0.8388566744,0.1146849114,0.0,0.6841461785,0.947518529,0.0,0.0,0.0,1.71746793,0.0,0.0,2.107141054,0.488172043,0.03225806452,0.01182795699,0.7686868687,0.0302378625,3.751632789,1.948806929,0.8614228369,30.72059456,10.30076712,5.425791397,24.27512131,23.62654039,0.0,25.38663948,4.992404733,11.38785599,32.55515263,6.544756406,13.08951281,5.687386275,46.02638289,4.895483476,2.56029826,0.0,1.551484447,83.3,0.5331972789,0.5538548753,0.0390617284,20.34371107,29.21401461,-4.352685478,-1.739690349,-0.01357394355,0.4967982155,-0.2431900401,2334.442946,2.51,0.0132,-4.85,2.597850078,4.101665835,1.26119403,-13.83767361,11.16728167,72.82102943,-0.3860697834,0.1572707599,-0.05661729883,0.8128885896,1.188467447,1.385646218,1.169289244,1.137579186,1.012467805,1.149255504,0.3863274904,0.991510793,6.002808208,0.1466088019,1.229032715,0.7194749337,0.423750376,6.542281956,0.0,0.1731802327,0.0,9.67224571,0.0,0.62,0.2419431816,0.889479317,4.398802147,44.2804485,9.665781456,0.0,0.0,11.1645023,5.917906046,12.13273414,10.08266033,14.61084548,0.0,10.00980201,2.833333333,1.278611111,0.3797004913,0.096875,0.0826873385,0.03118563686,0.03896814881,105.2326043,0.5408248503,-2.326330623,0.3945932708,0.0256806776,-0.4857751605,4.05,4.26,-4.83,0.005,8.28e-05
4.852763733,3.369747899,2.819333333,2.881018519,145.7399843,151.6176975,157.2517157,158.6214866,159.0802236,65.85938056,-52.67141331,11.41046636,-7.743681025,48.7992792,-0.08789543262,-0.04911403994,0.08541488505,1.191630292,0.8516917766,0.9522513535,0.4849390068,1.043200668,1.083811977,0.9866575168,1.066937327,1.074240463,0.6426382412,1.083304464,1.165312201,0.6428460608,0.7215789145,1.059323526,0.9117261125,0.8535014844,0.894064931,1.028010687,0.9930206748,0.9284735004,1.181960564,1.120570244,0.9958436832,1.149643081,1.153994611,0.979682613,0.9246652909,0.1656998431,0.08431228547,0.7211465865,0.06263564417,0.0,0.6848636974,0.0,0.0,0.0,11.0125403,0.0,0.0,0.0,2.018617256,0.4739583333,0.015625,0.02604166667,0.7803921569,0.0300245098,3.709658437,2.018262017,0.9429088387,31.0661429,19.77449303,5.261891555,19.05647134,35.25921319,9.473725908,14.95193556,0.0,40.21348046,21.74487787,12.96557803,11.33111287,5.687386275,52.0212877,0.0,2.783400981,0.0,1.640540121,95.85,0.614829932,0.5538548753,0.04082125604,155.2055286,30.53157844,-3.154877816,-1.840477807,-0.5391049505,0.4722204238,-0.3878206079,3260.296642,1.5,0.00229,-5.95,2.597850078,4.101665835,1.26119403,-13.83767361,11.16728167,72.82102943,-0.3860697834,0.1572707599,-0.05661729883,0.8128885896,1.188467447,1.385646218,1.169289244,1.137579186,1.012467805,1.149255504,0.3863274904,0.991510793,6.002808208,0.1466088019,1.229032715,0.7194749337,0.423750376,6.542281956,0.0,0.1731802327,0.0,9.67224571,0.0,0.62,0.2419431816,0.889479317,4.398802147,44.2804485,9.665781456,0.0,0.0,11.1645023,5.917906046,12.13273414,10.08266033,14.61084548,0.0,10.00980201,2.833333333,1.278611111,0.3797004913,0.096875,0.0826873385,0.03118563686,0.03896814881,105.2326043,0.5408248503,-2.326330623,0.3945932708,0.0256806776,-0.4857751605,4.05,4.26,-4.83,0.005,8.28e-05
4.849748974,3.255813953,2.519444444,2.7,147.1267119,155.4926101,153.8604697,154.7423056,160.5518811,82.06887052,3.831037649,17.56826446,6.114049587,49.5433796,-0.08323872643,0.2263720605,0.02008862009,1.327952892,0.9690716316,0.9042829602,0.5032986119,1.046754328,1.188428787,0.8343994904,0.7392863864,0.918081473,0.5502299156,0.9868649161,1.038885702,1.102670439,0.9181392224,1.130769684,1.02427245,0.8848085675,0.720369697,1.119548288,1.050322085,1.146020669,1.246454741,0.9825257012,1.083243039,1.223509617,1.115057542,0.9748046223,1.041018816,0.1700935143,0.07625739634,0.9503966762,0.1474660367,0.0,0.6904812668,0.9961268768,0.0,0.0,10.98224063,0.0,1.571304065,0.0,2.004500121,0.4818181818,0.04545454545,0.01818181818,0.8117647059,0.01550802139,3.817215782,1.964143932,0.950266591,32.34373128,14.79051451,5.425791397,35.61190719,24.79067027,9.473725908,20.40266096,4.992404733,22.88687966,35.53500001,6.544756406,13.08951281,5.13155848,44.39282129,0.0,2.515238238,3.277664584,1.516857384,85.97,0.614829932,0.5538548753,0.0405664488,51.01493161,27.34525962,-4.56770909,-1.563893355,-0.261842053,0.2409274504,0.09389796053,2428.673969,2.2,0.00456,-5.61,2.597850078,4.101665835,1.26119403,-13.83767361,11.16728167,72.82102943,-0.3860697834,0.1572707599,-0.05661729883,0.8128885896,1.188467447,1.385646218,1.169289244,1.137579186,1.012467805,1.149255504,0.3863274904,0.991510793,6.002808208,0.1466088019,1.229032715,0.7194749337,0.423750376,6.542281956,0.0,0.1731802327,0.0,9.67224571,0.0,0.62,0.2419431816,0.889479317,4.398802147,44.2804485,9.665781456,0.0,0.0,11.1645023,5.917906046,12.13273414,10.08266033,14.61084548,0.0,10.00980201,2.833333333,1.278611111,0.3797004913,0.096875,0.0826873385,0.03118563686,0.03896814881,105.2326043,0.5408248503,-2.326330623,0.3945932708,0.0256806776,-0.4857751605,4.05,4.26,-4.83,0.005,8.28e-05
4.797866366,3.414285714,2.847457627,2.833333333,150.0679784,153.9194824,159.3868522,155.9591169,162.4927314,29.15570934,16.01384083,6.211072664,-0.339100346,45.70914731,-0.06332288401,0.1633156387,0.1832896168,1.226162554,0.9584354375,0.9076725832,0.5180527014,1.089809913,1.003955125,1.040182868,0.8854137779,0.9641825932,0.5791103604,1.041127874,1.071354167,1.033672035,0.9545454545,0.8673197492,1.050470219,0.8034947067,0.9247869939,0.9921028173,1.016326401,1.067674364,1.114878099,1.242668863,0.9090941507,1.234467219,1.094298239,0.83990913,1.122448978,0.182185791,0.1212804598,0.3914235927,0.06953456841,0.0,0.6717186416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.976481481,0.4727272727,0.0,0.02727272727,0.7869565217,0.02213438735,3.136921362,1.95054148,0.7136665443,25.94615458,0.0,10.19736362,6.066367068,5.693927995,0.0,29.9458054,0.0,28.33262175,29.9458054,0.0,0.0,0.0,28.33262175,0.0,0.0,0.0,1.526241476,72.28,0.2087528345,0.1927437642,0.02385416667,56.12759645,20.79991367,-2.494540355,-1.096020032,-0.0157224321,0.5093656477,-0.3064979401,921.8420309,1.07,0.166,-2.83,2.597850078,4.101665835,1.26119403,-13.83767361,11.16728167,72.82102943,-0.3860697834,0.1572707599,-0.05661729883,0.8128885896,1.188467447,1.385646218,1.169289244,1.137579186,1.012467805,1.149255504,0.3863274904,0.991510793,6.002808208,0.1466088019,1.229032715,0.7194749337,0.423750376,6.542281956,0.0,0.1731802327,0.0,9.67224571,0.0,0.62,0.2419431816,0.889479317,4.398802147,44.2804485,9.665781456,0.0,0.0,11.1645023,5.917906046,12.13273414,10.08266033,14.61084548,0.0,10.00980201,2.833333333,1.278611111,0.3797004913,0.096875,0.0826873385,0.03118563686,0.03896814881,105.2326043,0.5408248503,-2.326330623,0.3945932708,0.0256806776,-0.4857751605,4.05,4.26,-4.83,0.005,8.28e-05
