SpDiam_A,AATS5d,AATS7s,AATS8s,AATS1i,AATS2i,AATS3i,AATS4i,AATS6i,ATSC1dv,ATSC8dv,ATSC1d,ATSC7d,AATSC0v,MATS6s,MATS7s,MATS8s,GATS2c,GATS3c,GATS8c,GATS1dv,GATS3dv,GATS4dv,GATS6dv,GATS7dv,GATS8dv,GATS1d,GATS2d,GATS5d,GATS2s,GATS3s,GATS4s,GATS6s,GATS1v,GATS2v,GATS5p,GATS6p,GATS7p,GATS1i,GATS2i,GATS3i,GATS4i,GATS5i,GATS7i,GATS8i,RNCG,RPCG,Xc-3dv,Xc-5dv,Xc-6dv,AXp-0d,SdssC,SsNH2,SdO,SssO,SssS,SaaS,SddssS,MAXaaCH,AETA_alpha,AETA_beta_ns_d,ETA_dAlpha_B,ETA_epsilon_5,ETA_dEpsilon_D,IC1,CIC1,CIC2,ZMIC2,PEOE_VSA1,PEOE_VSA4,PEOE_VSA6,PEOE_VSA9,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA9,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA10,EState_VSA4,EState_VSA5,VSA_EState8,VSA_EState9,AMID_C,TopoPSA(NO),GGI6,GGI7,JGI4,RNCS,Mor02m,Mor03m,Mor13m,Mor26m,Mor30m,Mor31m,MOMI-Z,MLOGP,ESOL_Solubility_(mg/ml),Ali_Log_S,AATS2s,AATS3d,AATS3v,AATSC0c,ATSC0i,ATSC8d,AXp-1d,BCUTi-1h,BCUTi-1l,BCUTs-1h,BCUTs-1l,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA6,ETA_dEpsilon_C,GATS1c,GATS2dv,GATS3d,GATS3p,GATS5c,GATS5dv,GATS6d,GATS6i,GATS6v,GATS7c,GATS7d,GATS8d,GGI5,GGI8,GGI9,IC2,JGI3,MATS1c,MATS2s,MINaasC,Mor10m,Mor11m,Mor12m,Mor16m,Mor21m,Mor22m,Mor23m,PEOE_VSA11,PEOE_VSA2,PEOE_VSA3,PEOE_VSA7,SMR_VSA5,SMR_VSA6,SaaNH,SdCH2,SdS,SdsCH,SdsN,Silicos-IT_Log_P,SsCH3,SsOH,SsssCH,TASA,TSRW10,VSA_EState7,Xc-4dv,Xc-5d,Xch-6d,iLOGP
5.015108728,3.571428571,2.631991051,2.365774534,147.897182,153.2500106,159.8000222,158.4352573,156.5160676,72.73256198,-2.237024793,14.57487603,-10.73586777,49.76772029,0.0274089292,-0.08780878329,-0.05223775724,1.052637781,0.963340124,0.9363942786,0.4693557578,0.9446395246,1.147607674,1.182902024,1.122437907,0.9319946198,0.5839789217,0.9204824621,1.298889625,0.6404486558,0.8226436839,1.345580498,0.8846520018,0.8880320811,0.9492248359,0.969858803,1.093431052,1.163814925,1.168735181,1.184679694,0.9198820902,0.9564230304,1.080397992,1.075039646,1.010904983,0.1554476511,0.110785658,0.6759707009,0.1476931915,0.0,0.6841461785,-0.1081919926,5.51115406,12.46795355,0.0,0.0,0.0,0.0,2.033670292,0.4752688172,0.0,0.0247311828,0.7578431373,0.04430740038,3.659357268,2.122002445,1.00293199,29.99511672,11.05045608,5.098681808,12.13273414,11.21062871,4.794537184,25.06523039,5.733667477,22.51475897,38.74513433,12.96557803,0.0,0.0,59.22490518,5.693927995,2.041327498,0.0,1.636943219,98.72,0.5683446712,0.4010416667,0.03583877996,15.27572621,24.3618497,-3.285621319,-1.615521938,0.04160494237,0.3046910244,-0.1291054674,2401.104149,1.47,0.109,-3.5,28.17248,-57.795013,-73.264984,15.850507,80.82931,9.3054085,29.261444,58.842667,66.222,42.341194,31.680414,50.561623,45.66057,47.10927,4.1225357,-29.711266,44.099243,-36.72592,-29.489124,5.4358473,-1.6171536,-41.799797,-29.60794,-12.08312,9.440914,24.55648,-14.78431,-17.932188,-2.2671115,9.66272,34.61373,46.822758,-22.835289,-23.687262,4.2590446,-50.744568,13.6224375,7.1706066,19.366734,-25.344837,-2.0649815,68.67673,-18.068195,-18.035883,4.991614,60.544437,-40.564133,39.610832,30.514305,78.915886,1.3022288,-56.815285,68.59237,80.37486,-33.980583,2.9822783,-33.148396,-10.1480465,6.863177,37.984207,40.071564,17.033125,6.9022403,2.6292477,-48.97672
4.864593247,3.483050847,2.94782104,3.083008447,149.6332189,153.5084168,157.7599988,157.2192571,160.7445904,82.18396586,1.973479652,13.19753086,-7.111111111,47.8684679,-0.11615908,0.02239802629,0.1495119544,0.793187053,1.084199053,0.7390117862,0.4336304974,1.183528418,1.05674659,1.05378825,0.9454974802,0.9128850839,0.6982758621,1.10106383,1.036016949,0.4684992733,1.059406173,0.9981567466,0.9169378448,0.7954671425,0.8361767842,1.033486127,0.8988694408,1.249862736,1.114434772,1.231462965,1.007970944,1.117036366,1.124706416,1.000424952,1.118805803,0.1405155554,0.09542225169,1.040780936,0.1245317625,0.0,0.7005665294,-0.1768189317,5.394398156,11.51864932,0.0,0.0,0.0,0.0,1.952955596,0.481372549,0.01470588235,0.01862745098,0.781981982,0.04252782194,3.836320413,1.918567089,0.9266500003,31.50827223,11.05045608,10.19736362,12.13273414,5.693927995,4.794537184,29.36252149,5.733667477,22.51475897,40.3821381,0.0,13.8474744,5.687386275,28.16193619,0.0,3.784963637,0.0,1.476522243,116.02,0.8736507937,0.7170493197,0.04313034188,128.9502109,33.09550291,-4.48738988,-1.433660259,-0.3981594592,0.2868187101,-0.2885717592,2398.000947,2.22,0.009,-5.63,29.700562,-52.598274,-68.50659,18.72742,80.62103,10.154993,29.704098,57.741005,67.52124,41.272346,34.809666,50.17971,42.941784,51.825714,7.228094,-31.10207,46.47989,-36.88342,-26.899496,9.162056,-0.16765785,-43.385418,-30.221779,-14.730729,4.497759,26.932014,-15.030758,-15.2712965,-1.1404548,12.373493,36.5089,47.74813,-28.308632,-25.542955,2.9471283,-49.975014,13.74839,9.105274,24.81847,-25.826324,-3.5681338,71.03746,-20.992191,-13.657393,4.609681,64.18053,-39.269558,33.463207,29.067818,84.210976,1.308758,-54.379684,72.33189,86.770584,-39.580276,0.6050563,-34.84989,-11.269164,8.145193,40.760612,42.69003,14.697749,8.562979,1.4590445,-54.17399
4.899567567,3.3125,2.633499171,2.324404762,145.2236585,149.1514683,154.0889835,152.6440717,161.9569224,43.41666667,-3.444444444,9.592592593,-5.24691358,49.49423033,-0.009073121504,-0.1330254378,0.005526650006,1.165050455,0.9818617667,0.8532268875,0.481025641,1.077631579,1.042631579,1.166075949,1.174328358,1.0,0.5547337278,1.016483516,1.092548077,0.8941783768,1.054548473,0.867221107,1.147146907,0.7998243965,0.8655335382,1.097782018,0.9568820966,1.042223191,1.001194482,1.144084148,0.9261065715,1.117415903,1.225300192,0.9251387058,0.830404064,0.2077652636,0.138308809,0.5306069401,0.09087175382,0.0,0.6791339464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.081466837,0.4818181818,0.0,0.01818181818,0.752173913,0.02055335968,3.205229003,1.964695999,0.9308270835,27.50802119,0.0,5.098681808,24.26546827,11.21062871,0.0,20.16532066,0.0,22.51475897,20.16532066,0.0,6.9237372,0.0,39.1116119,0.0,1.983792569,0.0,1.72006025,54.46,0.3192290249,0.1518920068,0.03140522876,48.49656944,12.03307684,-2.806878962,-1.118763185,-0.2748183316,0.330003265,-0.1698428165,1298.743643,1.98,0.0195,-3.95,31.335445,-52.29264,-67.928345,6.62837,82.28539,7.537507,23.005955,68.83255,59.613132,37.268227,30.016193,46.025833,42.848797,38.857918,1.1698484,-26.098536,43.943413,-39.713707,-31.991638,10.245897,4.511428,-33.789436,-23.254797,-20.317818,7.8285136,24.79663,-8.862966,-19.585361,-8.802782,0.32188118,23.691235,31.419262,-19.18381,-22.266077,10.145651,-57.90734,10.252237,8.992191,13.827578,-26.872738,4.46179,66.68579,-20.125204,-16.018253,-2.6282918,60.68808,-41.808037,35.21856,24.67882,64.26634,1.248447,-51.228405,64.21319,74.90864,-26.192028,5.0144863,-34.445557,-8.180163,2.2548952,25.88216,35.08174,18.306698,5.174522,-3.1767826,-41.737083
4.933105502,3.768292683,2.549450549,2.420833333,146.5154789,153.69586,154.4824564,156.3614444,155.9861939,54.62984878,-60.50558843,11.82117028,-9.504273504,48.68718614,-0.2011455542,0.1363277034,-0.03075848675,1.479755545,0.8994308687,1.141602007,0.4655770391,1.059872436,1.148423363,1.058623428,0.9591910251,1.229550162,0.5210708725,1.011384089,1.249117632,0.9112127984,0.9309523064,1.154399846,1.148325263,0.843559247,0.7578813484,0.9871552647,1.075194469,1.135618409,1.233982263,1.058187476,1.042088171,1.018556236,1.098173712,1.048833616,0.9354415781,0.2065253099,0.07374049156,0.6597440455,0.1397268263,0.0,0.6706519733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.179351852,0.4791666667,0.0,0.02083333333,0.7833333333,0.0,3.426930273,1.858471946,0.6770864604,25.00643644,4.567099648,5.098681808,18.20875424,35.29333391,0.0,24.31554143,7.047671983,22.51475897,24.31554143,13.59242839,0.0,0.0,45.78684481,0.0,0.8086522896,2.014978899,1.673129435,48.53,0.4170521542,0.4244614512,0.03484567901,6.629331589,23.38320668,-2.644903442,-1.225903154,-0.1097559832,0.3438174447,-0.3340264312,1675.99095,2.02,0.045,-3.16,21.982851,-60.616188,-79.951004,3.321034,83.560394,-13.896384,18.948915,68.65181,59.693092,31.370968,28.76127,41.439842,41.141182,29.482632,-10.62006,-18.993626,42.40199,-34.97975,-34.85916,3.3324652,-0.8900976,-39.489372,-19.286182,-16.995674,4.851522,24.954786,8.085764,-9.210125,-11.933238,2.1913624,24.187693,36.606213,-16.79227,-20.86126,14.661382,-54.54238,14.881427,10.960327,9.298407,-27.689487,5.763185,71.94436,-21.796406,-17.118277,-7.603225,59.860962,-37.614777,48.201195,28.211082,64.34662,1.2197458,-53.913464,71.06641,76.65094,-23.063972,8.198698,-32.851273,-7.0508842,7.3649883,31.863018,39.47644,17.524008,1.6481013,9.5865135,-39.91421
4.87862781,3.518181818,2.851364522,2.794001967,143.0263923,147.2379897,153.7283912,156.6873333,157.9621341,54.56,-27.08,9.9336,-10.3024,49.59300473,-0.1119247403,0.1267220834,-0.08504151787,1.002611425,1.157469684,0.8636708116,0.480081826,1.092054264,1.084749553,1.092894629,1.064565483,0.9542344104,0.6667444211,1.178708887,1.075450092,0.5120748762,0.7913634388,0.9574627346,1.067443475,0.8006899081,0.9096887762,1.019252084,0.8713394097,0.9366248321,1.063024221,1.122396289,1.04526311,1.068405771,1.164393103,0.8596356559,1.004579115,0.1793978374,0.0886063362,0.8235086609,0.07026332943,0.0,0.6841461785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.109014669,0.4838709677,0.0,0.01612903226,0.75,0.01451612903,3.358962553,2.284893636,1.11548875,31.44058453,4.983978521,5.261891555,30.33183534,34.23115751,0.0,19.93591408,0.0,28.71445679,19.93591408,6.420821623,18.25485007,0.0,50.62994439,0.0,1.981682321,0.0,1.764174135,78.25,0.7356462585,0.4462514172,0.03880434783,25.51876313,31.31991702,-3.097626129,-1.657906649,-0.3905481873,0.4828985212,-0.3199275181,2090.993894,2.2,0.00087,-6.06,27.830303,-54.667095,-71.463615,9.120832,82.256226,-1.413759,23.514233,63.57994,63.275173,35.13144,30.202747,45.50817,40.17746,39.164825,-1.8836546,-22.552965,46.57737,-37.98979,-31.05842,9.821349,1.2753043,-40.33161,-25.190434,-18.206306,2.1832886,27.53873,-3.6007645,-10.851305,-8.119228,6.75007,30.372547,38.451885,-25.00953,-25.536625,9.993691,-52.959236,11.267813,11.058064,18.02104,-27.17925,-0.4596014,71.57028,-21.478973,-15.929009,-3.8890722,64.25014,-41.262012,38.523483,23.690601,74.132195,1.1679932,-56.23605,75.67114,86.79617,-29.892406,4.1154337,-35.408558,-9.520647,7.7560654,34.826317,41.4425,16.386063,4.8538713,4.582842,-51.165234
4.830967851,3.082644628,2.497516397,2.308666088,146.8104866,154.9455879,161.3904776,160.9577363,159.608501,88.99589002,7.893424036,12.66836735,-6.530612245,51.13517741,-0.1396544643,0.1485603848,-0.02193898849,1.078827989,0.9543023615,0.855673272,0.4705006297,1.020392696,1.035828361,1.118439868,0.872814873,0.8935884108,0.6948367859,0.9854656339,1.148989899,0.6455485653,1.121669844,1.237345569,1.33869002,0.9773250885,0.9440614041,0.8819080523,1.100297595,1.152231848,1.313549791,1.174396416,0.9605082762,1.05234692,1.028396791,0.9848130722,1.056761062,0.1646906487,0.08379878171,0.7368419724,0.07931626887,0.0,0.6974691495,0.1215681455,0.0,11.77331419,10.97043888,0.0,1.587612778,0.0,2.029786661,0.4811111111,0.0,0.01888888889,0.8052083333,0.03368055556,3.772563192,2.03479173,0.8531149556,29.65311583,19.77449303,0.0,6.9237372,5.693927995,14.26826309,20.26872417,0.0,33.45795484,34.196814,11.21535881,6.9237372,0.0,77.20433024,0.0,5.025525567,0.0,1.518409135,89.13,0.6630839002,0.3680909864,0.03703252033,156.0293329,26.87280381,-4.113241296,-1.666890384,-0.08270949534,0.3802555449,0.2006403332,2440.144633,1.53,0.0101,-5.98,31.662533,-59.20735,-73.65785,19.25769,82.96946,14.096035,31.674305,61.05495,66.04048,45.392128,31.687906,51.63186,49.137093,48.711494,4.86057,-32.175865,46.201965,-37.245243,-30.935333,5.9647017,-2.067913,-40.7314,-30.728918,-12.017687,11.016127,23.18322,-16.992342,-20.935526,-4.2519455,7.356807,33.857956,44.687946,-22.88696,-25.01093,5.2627964,-54.113136,14.418503,6.219102,20.211971,-25.246475,0.13446999,65.099556,-19.334934,-15.69716,3.4220002,59.499138,-42.110172,38.292435,32.322655,77.13422,1.4493651,-58.034878,64.41102,76.735306,-30.317936,2.6426148,-33.072517,-10.721145,5.322591,35.515263,34.73871,16.323048,4.5389643,-1.3613052,-45.762756
4.976090825,3.572815534,2.636087768,2.748248248,146.94792,152.5312104,159.9369804,161.5140242,157.7866144,68.16345679,-11.20296296,10.88345679,-17.80049383,49.30967614,-0.09617441852,0.04674258288,0.0004611167629,0.7991332812,1.064684973,0.8392189399,0.4227900943,1.025702555,1.178381933,1.045881552,0.9651116528,0.996175354,0.6977861788,1.05397066,1.169392328,0.5312802104,0.8352204022,1.011175076,0.8109808117,0.8924210639,0.9502477462,1.037942051,1.040636805,1.164158622,1.21486115,1.172509348,1.103003927,0.9960623896,1.092462978,1.057080007,1.022566517,0.168103657,0.1387698918,0.7957274555,0.1458456799,0.0,0.679730678,0.0,0.0,12.21552075,0.0,0.0,0.0,0.0,2.044765684,0.4743589744,0.01923076923,0.02564102564,0.787654321,0.01875593542,3.670299879,1.821553217,0.7949875002,25.81328012,4.983978521,0.0,18.55355576,23.27208584,0.0,20.37772696,5.917906046,0.0,20.99377639,0.0,18.88348407,5.817862778,35.95872634,12.7481417,1.987411367,0.0,1.63025785,75.98,0.6661678005,0.5043579932,0.04253387534,43.01328283,24.49081827,-3.660197484,-1.241504586,-0.3071880361,0.4700211901,-0.04538118536,1935.60158,3.06,0.0326,-3.68,30.436838,-54.597733,-70.374466,10.239275,83.253586,6.139947,26.33754,67.618355,64.37758,40.143288,31.77939,48.679916,44.352722,43.73683,2.846054,-26.999855,45.602875,-40.422146,-31.398561,10.727021,2.557722,-38.028587,-25.660212,-18.638935,6.6545506,26.200798,-8.495091,-17.084488,-7.9469814,4.4305983,28.49242,37.77082,-21.799032,-24.519882,8.004639,-57.538483,10.76927,8.859672,18.475729,-28.364023,2.101759,68.93921,-20.324245,-16.444683,-0.95635986,63.433018,-42.71797,36.155556,24.52602,73.199165,1.2455367,-55.827835,69.65782,81.464806,-30.139387,4.2541513,-35.315887,-9.141901,2.7012682,30.593254,38.03044,17.51897,5.2017965,-1.9307756,-47.33566
4.782522541,3.305882353,3.010198604,3.040196078,147.6606619,154.64466,163.5888857,162.2767769,160.4872522,67.47658402,-23.52800735,9.641528926,-13.37603306,50.76727958,-0.0203974743,0.01715333706,0.01985879814,0.9750356332,1.06810565,0.8995354701,0.42622798,1.118561244,1.04507822,1.048897097,1.016955088,0.9930200821,0.7402756041,1.054163571,1.123689511,0.5430004698,1.130821924,1.085026067,0.7125822492,0.908847825,0.9386461188,0.8489467275,1.17975814,1.117044226,1.11394938,1.135942566,0.8984430075,1.041720081,0.9137359688,1.049935806,0.9524929355,0.1706753545,0.1075556018,0.681984921,0.06542737998,0.0,0.7124476124,-0.005671073105,0.0,11.68415648,0.0,0.0,1.505444365,0.0,1.959476488,0.4820952381,0.02,0.0179047619,0.8091710758,0.04073368607,3.945131835,1.514299784,0.5343130683,25.40060836,10.30076712,0.0,6.9237372,12.2386844,9.184952232,20.26872417,0.0,21.95893118,20.85911529,11.33929359,12.74095804,4.390415048,28.3797528,23.46952001,4.203868702,0.0,1.477486721,70.67,0.5406349206,0.521789966,0.0427124183,15.79293262,21.45729,-2.730995998,-0.8155418155,-0.06155549106,0.07431723209,0.1671958509,2157.481791,1.68,0.0431,-4.67,27.967997,-59.30799,-75.05149,9.837606,84.185715,3.1192832,26.472569,68.53491,63.682438,41.294014,30.035378,49.487465,46.487186,40.65708,-0.04125786,-26.755262,43.654022,-39.056015,-33.230618,5.540796,-0.30382586,-39.29579,-25.2631,-15.196641,10.194054,24.205402,-6.3141446,-17.303894,-9.279263,3.5624857,28.292519,39.881805,-17.893938,-23.125454,8.743996,-58.110603,11.525963,7.789285,15.780071,-28.335606,3.7881417,66.57116,-18.908993,-18.650417,-0.49979758,60.577507,-41.639244,41.603546,26.95224,70.332565,1.3851832,-57.501408,66.72087,76.31289,-26.646473,4.626898,-33.828636,-9.161072,2.3850021,30.572819,36.38302,17.281258,2.52227,0.024307251,-44.035633
5.015075563,3.801801802,2.743405276,2.565118397,145.4483366,151.8452865,157.7991108,154.8832424,155.2950731,60.96,40.68,12.7904,-7.3536,48.50866702,-0.01789490347,-0.05492856553,0.005818675611,1.107962755,0.8795490602,0.8382428825,0.4763888889,0.9810560345,1.195779817,1.041724806,1.016133094,0.871557377,0.5764779202,0.9053616221,1.341606029,0.710762688,0.6923643735,1.149771598,0.6301484994,0.8740111102,0.9003036372,1.016925607,1.132918464,1.129528642,1.150889609,1.159598231,0.8919580082,1.034431385,1.167634127,1.043516976,0.9482045186,0.1932632161,0.142022543,0.6666063312,0.1445717349,0.0,0.6833808251,-0.4733771778,0.0,12.17061795,5.027775736,0.0,0.0,0.0,1.994744098,0.47,0.0,0.03,0.8129032258,0.01709677419,3.695854381,1.948001808,0.8330296891,29.76070055,9.843390349,5.098681808,12.13273414,23.38096217,14.63792753,19.74844179,0.0,22.51475897,44.0380384,17.70244098,0.0,0.0,47.28738284,5.693927995,0.6707660241,0.0,1.625579303,90.13,0.5683446712,0.4010416667,0.03655555556,38.82563308,24.61592899,-3.584926957,-1.219345458,-0.3702908775,0.2236858134,-0.2867259117,2353.989797,1.66,0.0527,-3.81,34.042816,-56.200233,-70.98339,17.73979,80.58046,23.237156,29.13308,57.059494,65.82941,46.85337,32.177914,51.82908,48.50421,48.748062,7.5987835,-33.577656,42.87259,-37.2987,-27.972404,6.5509186,-1.6245794,-39.627697,-33.48085,-11.241457,14.123282,22.691391,-25.271755,-25.409101,-1.7587779,7.751725,33.366665,45.888847,-24.299652,-21.926992,2.8997917,-51.255882,13.945927,5.683938,18.710474,-21.701797,-2.383041,64.748886,-17.334053,-18.789349,7.867644,57.56584,-42.340828,36.398525,30.91326,75.87608,1.2945696,-56.495102,63.1743,74.92793,-34.72196,0.6788244,-31.70877,-10.451019,5.902687,35.65947,36.46991,18.355417,8.821143,-1.9946604,-46.930412
4.859112107,3.673267327,3.069279636,3.01016703,148.0204164,152.3036628,155.6241958,156.38011,158.8298829,57.61651235,9.116898148,9.277777778,-9.638888889,46.40783287,-0.1418998546,0.002369970634,0.1431020664,0.9978933536,1.126749375,0.8043402298,0.4601794321,1.063892821,0.991449361,1.12475115,1.016003688,0.9313135294,0.6778846154,1.125945643,1.120078287,0.5263290549,0.7653077486,1.009087887,1.002180955,0.7739194071,0.8461781675,1.012838732,0.9224867734,1.293880102,1.094092438,1.163808843,0.9937935412,1.105641658,1.096946365,1.013083517,0.9865388069,0.1536834849,0.09195694048,0.8818553705,0.1048899075,0.0,0.6899617195,0.3785173112,0.0,0.0,0.0,0.0,0.0,0.0,1.953568543,0.4854166667,0.015625,0.01458333333,0.7929292929,0.0154040404,3.786967448,1.797995053,0.7767544274,30.77061433,5.316788604,15.45925517,12.13273414,17.3266008,0.0,29.36252149,0.0,28.58398029,34.47495837,0.0,18.25485007,5.687386275,28.16193619,6.327320075,1.941264622,0.0,1.505162424,96.72,0.7772789116,0.6137329932,0.04255787037,33.40773965,26.70073695,-4.59435954,-1.107443043,-0.335460334,0.4681407602,-0.3277556437,1979.218291,2.39,0.00554,-5.68,32.051167,-51.203995,-66.66773,14.954242,81.04295,12.744691,27.31401,60.832897,64.55513,40.864216,33.427628,49.790497,43.173923,48.40483,6.688489,-31.068703,44.95616,-38.37022,-27.703804,10.442571,1.6964464,-40.077152,-28.426662,-16.69935,6.5285816,25.850616,-15.457605,-18.326065,-2.9791076,7.9014587,31.969822,42.112442,-25.672417,-23.677402,4.4894466,-52.621105,12.147593,8.722753,21.308876,-25.269165,-0.46432447,68.27212,-20.754766,-14.772052,3.7216997,62.17652,-40.373573,32.30197,27.051838,77.60185,1.301611,-53.213276,67.71794,81.19191,-35.41548,1.1299419,-34.752556,-10.214232,5.30686,35.565014,38.95993,16.116106,8.474755,-1.539752,-49.736023
