Molecule|SMILES|Formula_x|SpDiam_A|AATS5d|AATS7s|AATS8s|AATS1i|AATS2i|AATS3i|AATS4i|AATS6i|ATSC1dv|ATSC8dv|ATSC1d|ATSC7d|AATSC0v|MATS6s|MATS7s|MATS8s|GATS2c|GATS3c|GATS8c|GATS1dv|GATS3dv|GATS4dv|GATS6dv|GATS7dv|GATS8dv|GATS1d|GATS2d|GATS5d|GATS2s|GATS3s|GATS4s|GATS6s|GATS1v|GATS2v|GATS5p|GATS6p|GATS7p|GATS1i|GATS2i|GATS3i|GATS4i|GATS5i|GATS7i|GATS8i|RNCG|RPCG|Xc-3dv|Xc-5dv|Xc-6dv|AXp-0d|SdssC|SsNH2|SdO|SssO|SssS|SaaS|SddssS|MAXaaCH|AETA_alpha|AETA_beta_ns_d|ETA_dAlpha_B|ETA_epsilon_5|ETA_dEpsilon_D|IC1|CIC1|CIC2|ZMIC2|PEOE_VSA1|PEOE_VSA4|PEOE_VSA6|PEOE_VSA9|SMR_VSA1|SMR_VSA3|SMR_VSA4|SMR_VSA9|SlogP_VSA2|SlogP_VSA3|SlogP_VSA4|SlogP_VSA10|EState_VSA4|EState_VSA5|VSA_EState8|VSA_EState9|AMID_C|TopoPSA(NO)|GGI6|GGI7|JGI4|RNCS|Mor02m|Mor03m|Mor13m|Mor26m|Mor30m|Mor31m|MOMI-Z|MLOGP|ESOL_Solubility_(mg/ml)|Ali_Log_S|pIC50
4k_a46|Oc1ccc(cc1)c1c(nn2c1[C@H](C)C(C2)(C)C)c1cccc(n1)C|C21H23N3O|4.993807265|3.095238095|2.49173028|2.312396352|145.0869966|151.630624|153.5821454|162.0972247|153.8110988|86.00520833|-66.89236111|17.62630208|-25.73480903|52.02985719|-0.1134696196|0.007532301879|-0.003017361532|0.8136231018|0.9565816542|0.8559290985|0.4774777405|1.057402812|1.01343373|1.383259482|1.156994298|0.9869634458|0.7772133273|1.470557872|1.135710031|0.5107568841|0.9459305761|0.6861882481|0.8074267202|0.9584479136|0.8125377887|0.7802471478|1.128724974|1.233874327|1.135304618|1.13458482|1.234656487|0.9911808129|0.9233410433|1.099788169|1.02037886|0.3013639207|0.1738843431|1.799994583|0.4665289338|0.1020620726|0.7106888094|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.023902759|0.4813333333|0.02|0.01866666667|0.7602564103|0.01841025641|3.404520514|2.180441986|1.186160354|27.20665253|5.106527395|5.098681808|38.9703128|11.38785599|5.106527395|14.76446326|5.414990469|28.26427081|19.87099066|6.544756406|12.33872767|0.0|34.75344337|5.693927995|9.756531676|0.0|1.726902799|50.94|0.8785034014|0.641510771|0.05101139601|119.4858903|19.71787636|-3.256377732|-1.21846473|-0.05172541729|0.1774534813|0.009248698229|1844.765861|2.84|0.00493|-4.82|7.096910013
12k_a30|COc1ccc(cc1)CNc1sc(c(n1)c1cccc(n1)C)C1=CN2[C](C=C1)N=C[N]2|C23H20N6OS|4.848604167|3.354545455|2.765855725|2.653451178|146.6826228|153.8360163|154.393322|155.5745751|158.4971807|65.71322995|-9.547396301|12.51557093|-10.23529412|49.79497264|-0.09346467055|0.08357969071|0.05190511898|1.154989437|1.051754668|0.8145217849|0.5229137409|1.086841448|0.9933038209|1.074392778|0.9371297311|0.9601867527|0.6231671554|1.066308244|1.074963343|0.9945878704|1.036202292|1.124858731|1.179787543|0.850069437|0.7856842935|1.094985792|1.042817834|1.444234896|1.192605992|1.032417708|1.062812281|1.204043191|1.08234411|1.216995818|0.9243527456|0.202199992|0.08993796578|0.9242705142|0.1146045727|0.0|0.6841461785|1.019725553|0.0|0.0|5.234125561|0.0|1.602924671|0.0|2.043666788|0.4860215054|0.03225806452|0.01397849462|0.7947916667|0.01596102151|3.763837885|1.908587457|0.7850803925|28.80703149|10.05365156|5.425791397|35.61190719|17.68087273|4.736862954|20.40266096|4.992404733|17.13736782|28.42520247|6.544756406|13.08951281|5.13155848|50.14233313|0.0|2.652372549|1.66852335|1.551471636|76.74|0.5723809524|0.5755385488|0.04273901809|91.84114925|29.51563794|-4.40313787|-1.630922844|-0.1549428418|0.3293047376|0.1962706546|2348.487522|2.51|0.00508|-5.44|7.614393726
12f_a36|CCc1ccccc1NCc1nc(c([nH]1)c1cccc(n1)C)C1=CN2[C](C=C1)N=C[N]2|C24H23N7|4.849116668|3.138461538|2.598621878|2.623352166|148.4885439|154.5722891|158.9896464|159.1024899|162.7737755|82.0|-57.0|14.19753086|-2.546296296|49.59307996|0.1409532813|-0.02441645532|-0.09221780131|1.132674117|1.007721208|1.178607732|0.4710273729|1.10899004|1.08837712|0.8696387818|1.107608088|1.119408527|0.6075489282|1.098690443|0.9982952183|0.7862587419|1.023980623|1.105977208|0.9024530485|0.8958941687|0.9031476427|1.07261661|0.9195151966|0.8241019034|1.273040708|1.187985996|0.9995576389|1.130326292|1.126691111|0.8913461082|1.005424227|0.1578230799|0.09235507944|0.7641420517|0.09311665768|0.0|0.6841461785|0.9516337554|0.0|0.0|0.0|0.0|0.0|0.0|2.144178091|0.4774193548|0.01612903226|0.02258064516|0.7606060606|0.02971652004|3.707531182|2.04735632|0.8665553244|29.21815788|10.30076712|5.425791397|37.26522558|23.62654039|0.0|25.38663948|4.992404733|11.38785599|26.29938345|12.96557803|13.08951281|5.687386275|52.44720452|5.563451492|4.735971546|0.0|1.612736344|83.3|0.5331972789|0.5538548753|0.0390617284|14.63916453|29.11265259|-3.47326956|-1.729343433|-0.1333336245|0.2697267306|-0.1275928476|2317.426478|2.45|0.0109|-4.61|7.958607315
17a_a50|CN(CCCn1cnc2c1cc(cc2)c1c2C=CCn2nc1c1cccc(n1)C)C|C24H26N6|4.945982674|3.30075188|2.445249597|2.30734127|147.5978611|157.8321886|157.1610552|160.7924871|161.2686912|95.75510204|-134.0714286|17.59183673|-23.42091837|50.93265931|-0.09325959212|0.07908645055|-0.2040327227|1.635793006|1.101169241|1.092100555|0.4872254059|0.9891450263|0.9209003747|1.128760745|1.149116523|1.230211318|0.6028183716|1.086986778|1.045489507|0.8086185044|1.092232767|0.9377631241|1.183776933|0.9924155931|0.7696552482|1.028415375|0.8508560912|1.148701918|1.418977275|1.047773367|1.078228218|0.8969788832|1.176815358|1.135099677|1.091952783|0.1662440571|0.05993567359|1.067258904|0.1288113406|0.0|0.6888187153|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.251293462|0.48|0.0|0.02|0.78|0.0|3.491860676|2.315494246|0.9627883386|27.46169931|9.467009379|5.098681808|18.20875424|35.29333391|0.0|29.21545116|0.0|22.51475897|49.85555154|13.08951281|6.9237372|0.0|70.99110724|0.0|4.838045859|4.220524565|1.659158216|51.77|0.8187301587|0.6345663265|0.03414251208|3.860452175|25.76288881|-2.833120026|-1.712049124|-0.3516320659|0.3456944555|-0.1783070703|2137.502982|2.3|0.0144|-3.99|7.070581074
GW6604_a52|c1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1|C19H14N4|4.808350992|3.307692308|2.595588235|2.598870056|144.7629259|147.7589175|153.50475|153.9041889|157.9388272|26.51862673|-0.1607012418|6.734842951|-1.685902118|49.22976446|-0.1005165051|0.09118856424|0.07486897859|1.233316744|0.8490926167|0.9127689359|0.563096817|1.017292389|1.040318302|1.090552143|0.9179279139|1.025513645|0.5911242604|1.079036348|1.086253983|1.03106203|0.8978491903|0.9035789474|1.115573061|0.7846235028|0.9533476093|0.9340563371|1.007845284|1.090007646|0.97878136|1.152129437|0.975662232|1.155467498|1.053043714|0.9989757454|1.077909055|0.1934537568|0.1287815026|0.4238365946|0.0761440227|0.0|0.6732572563|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.076018519|0.4826086957|0.0|0.01739130435|0.75|0.01956521739|2.774861885|2.434591481|1.11403462|30.60576651|0.0|5.098681808|36.39820241|11.38785599|0.0|20.16532066|0.0|33.77213846|20.16532066|0.0|0.0|0.0|33.77213846|0.0|0.0|0.0|1.735372024|54.46|0.2586394558|0.1962159864|0.02134680135|53.96419523|20.9493021|-2.789726047|-1.178525788|-0.09450641028|0.3661234005|-0.2843668516|1329.437404|1.91|0.0207|-3.87|6.970616222
13a_a6|N#Cc1cccc(c1)NCc1nc(c([nH]1)c1cccc(n1)C)c1ccc2c(c1)OCO2|C24H19N5O2|4.848683342|3.427272727|2.864942529|2.993569959|145.817401|151.454821|156.37978|158.4776418|159.5420573|56.6336|-22.4928|9.9336|-7.0656|48.00479604|-0.1041976237|-0.05203226847|0.09083916499|1.194764311|0.8824120773|0.941498962|0.4979332692|1.086578615|1.034689303|1.002944024|1.06648165|0.9993731107|0.6667444211|1.1269372|1.145588142|0.6376763403|0.7756154388|1.004462757|0.9369932415|0.8296626622|0.8657354966|1.020508794|0.9589293484|0.9574142706|1.169962633|1.106385139|1.006789333|1.158187527|1.157114002|0.9809719636|0.960657298|0.1687985428|0.0858889825|0.7589589384|0.06263564417|0.0|0.6841461785|0.0|0.0|0.0|10.98059471|0.0|0.0|0.0|1.97940729|0.4731182796|0.01612903226|0.02688172043|0.7828282828|0.0311502118|3.682055263|1.961800927|0.959483369|31.26935238|19.77449303|5.261891555|12.13273414|35.25921319|9.473725908|14.95193556|0.0|40.21348046|21.74487787|6.544756406|18.25485007|5.687386275|45.60046608|0.0|2.658324812|0.0|1.629061707|95.85|0.614829932|0.5130385488|0.04176767677|152.9772102|28.84626541|-3.322802922|-1.754984888|-0.4622425229|0.5825388497|-0.4711483017|2452.50927|1.29|0.00417|-5.51|7.337242168
3b_a12|Clc1ccc(cc1)C1=N[C](c2c([N]1)cccc2)Nc1ccncc1|C19H13ClN4|4.8884035|3.685714286|2.659451998|2.451205173|144.3174032|148.2158062|155.5005704|160.1483726|150.6606291|25.58788518|-1.629665702|4.756026297|-9.604821037|48.70120046|-0.08592558512|-0.08702436199|0.0002973963039|0.8817985326|1.403654175|0.4955967438|0.5698652577|0.9912602227|1.127954012|1.165705981|1.023766761|0.9505280413|0.7089972527|1.103610675|1.254631083|0.869590542|1.003693386|1.164775022|0.9397280068|0.7501828975|0.929009831|0.650734107|0.9815847903|1.084202037|1.132512957|1.140049471|1.228018363|1.046167488|0.8716138248|1.040063116|0.9511288463|0.2216261846|0.1305005678|0.5982691087|0.05143799709|0.0|0.681465016|0.6545581381|0.0|0.0|0.0|0.0|0.0|0.0|2.004462449|0.4922619048|0.04166666667|0.007738095238|0.7754285714|0.01980952381|3.040836313|2.168617053|1.005926512|29.99218522|5.316788604|0.0|29.8000411|5.687386275|0.0|10.30076712|4.992404733|0.0|10.81959831|0.0|6.165775612|11.37477255|28.66745114|0.0|0.0|0.0|1.668598938|51.38|0.3844897959|0.2725694444|0.0375|29.63332311|21.92741253|-3.326694307|-1.232877387|-0.44083332|0.4441419449|-0.1631997952|1372.303956|3.58|0.00759|-4.26|7.30980392
14a_a5|O=C(C1CCOCC1)Nc1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1|C25H23N5O2|4.821864782|3.0234375|2.528490028|2.638383838|146.3467283|151.2254929|157.186806|159.0318735|156.633458|50.20297521|43.61818182|8.479338843|1.247933884|49.47834402|-0.07109127655|0.0355086687|0.144729708|1.098436452|1.016168077|0.7786952573|0.5436466395|1.043135494|1.043135494|0.9738463563|0.777126301|0.8916458408|0.7281739687|1.186132075|0.9923349057|0.7414861039|1.053732652|1.393481191|0.8417966211|0.8795727074|0.9889053603|0.8184946154|1.048252812|1.146973605|1.131669773|1.171715426|1.015878179|1.08278471|0.8995710157|1.089856057|1.026381936|0.1606741544|0.09569664158|0.7104330604|0.1056068053|0.0|0.6797656753|0.0585009185|0.0|12.45432442|5.337351856|0.0|0.0|0.0|2.034631883|0.4739583333|0.015625|0.02604166667|0.7803921569|0.0300245098|3.693485395|2.087874319|0.8823513639|29.45497848|10.05365156|5.098681808|18.19910121|11.38785599|9.531400138|20.16532066|5.917906046|33.77213846|39.28626432|9.531400138|5.917906046|5.687386275|52.30116798|0.0|1.301084642|0.0|1.646727263|92.79|0.3786394558|0.3785076531|0.02737588652|142.3191854|29.60938638|-4.556060394|-1.438365411|-0.2568511041|0.2918328058|-0.2183428283|1432.418675|1.37|0.0256|-4.15|6.950781977
13h_a6|CCc1cccc(n1)c1[nH]c(nc1c1ccc2c(c1)nccn2)CNc1ccc(cc1)C#N|C26H21N7|4.877336081|3.371900826|2.744929453|2.780939476|146.1247147|151.1860971|158.7179693|158.6785616|159.4257582|64.76680384|-53.96707819|11.32441701|-8.49382716|48.76662659|0.04574526033|-0.08135202692|-0.02560021309|1.15952663|0.9908573102|0.9957910982|0.4684334539|1.08262818|1.136644661|1.001028816|1.110977255|1.090981533|0.6424311093|1.120631709|1.158449171|0.5735563184|0.7354402211|1.106012103|0.6014069537|0.8329574266|0.9297753277|1.046671151|0.979257006|0.9256106712|1.193380188|1.21712373|0.9367748703|1.095910684|1.129738505|0.9470969825|0.9988111824|0.1593193784|0.0708162659|0.7323949012|0.06541342195|0.0|0.6855377302|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.026312773|0.4787878788|0.01515151515|0.02121212121|0.7571428571|0.02770562771|3.631828189|2.123059313|0.9254475639|30.95983989|10.30076712|5.261891555|19.05647134|46.29261463|0.0|24.9198926|0.0|28.71445679|24.9198926|12.96557803|11.33111287|5.687386275|57.3051773|0.0|2.591937797|0.0|1.654040529|103.17|0.5731972789|0.6606788549|0.04393617021|26.0493072|31.66904098|-2.969454678|-1.710474999|-0.3975811033|0.4440482265|-0.2810697766|3358.107916|1.13|0.0038|-5.56|7.327902142
12af_a36|CC(=O)Nc1cccc(c1)NCc1nc(c([nH]1)c1cccc(n1)C)C1=CN2[C](C=C1)N=C[N]2|C24H22N8O|4.84872166|3.341463415|2.748106061|2.791894353|150.1287662|155.577371|160.8336168|160.1387595|162.5521344|75.49586777|-2.421487603|11.33190083|-3.483636364|47.59726111|0.02791545152|-0.06188380767|-0.06019558339|0.9983987644|1.185920903|1.1312054|0.4701755915|1.182222662|0.9728418609|0.9583467224|1.052699229|0.9470689873|0.7054229688|1.141330729|1.109865471|0.5704406583|1.312861561|0.6390663656|0.7748292652|0.871503092|0.9051268693|1.094277983|0.9608184825|0.9262473304|1.310822657|1.247799371|0.9763069501|1.056870471|1.169295384|0.8864739701|1.061783366|0.1343410739|0.07858035979|0.8586399347|0.06365387513|0.0|0.6904812668|0.7953104794|0.0|11.33939598|0.0|0.0|0.0|0.0|1.980502618|0.4707070707|0.0303030303|0.02929292929|0.7768518519|0.04335016835|3.765946344|2.01541337|0.9098018185|29.638011|15.61755573|5.425791397|18.20875424|23.62654039|4.794537184|25.38663948|4.992404733|11.38785599|32.20656318|11.33929359|13.08951281|11.37477255|51.71376917|13.26227256|3.918105847|0.0|1.519969228|112.4|0.7356462585|0.5130385488|0.0399537037|33.44055909|31.04069865|-3.435346892|-1.670162037|-0.2684374989|0.3533697405|-0.2098917096|2410.562961|1.49|0.0997|-3.54|7.823908741
