SpMax_A,VE1_A,AATS8dv,AATS8s,AATS2i,ATSC1dv,ATSC8d,ATSC0p,ATSC0i,MATS1c,MATS2s,MATS3s,MATS6s,MATS7s,MATS8s,GATS4c,GATS1dv,GATS5dv,GATS7dv,GATS6d,GATS7d,GATS2s,GATS3s,GATS2v,GATS3v,GATS1p,GATS6p,GATS3i,GATS6i,GATS8i,BCUTc-1h,BCUTd-1l,BCUTs-1h,RPCG,Xch-5d,Xch-7d,Xc-5d,Xc-5dv,Xc-6dv,AXp-1d,SdssC,SaasC,SaaaC,SssssC,SsNH2,SssNH,SsOH,SssO,SdS,SddssS,MAXaaCH,AETA_beta_s,AETA_eta_L,AETA_eta_F,ETA_epsilon_5,IC1,IC2,CIC2,ZMIC1,PEOE_VSA1,PEOE_VSA2,PEOE_VSA9,SlogP_VSA1,SlogP_VSA2,SlogP_VSA10,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA6,EState_VSA9,VSA_EState3,VSA_EState7,VSA_EState8,MDEC-33,TopoPSA(NO),GGI3,GGI5,GGI6,GGI7,GGI8,GGI9,JGI2,JGI5,FPSA3,RPCS,Mor02m,Mor03m,Mor06m,Mor08m,Mor11m,Mor13m,Mor16m,Mor23m,XLOGP3,Silicos-IT_Log_P,ESOL_Log_S,ESOL_Solubility_(mg/ml),Ali_Log_S,Ali_Solubility_(mg/ml),Silicos-IT_Solubility_(mg/ml)
2.443940753,4.178208277,4.048780488,2.760162602,150.6171579,26.32421875,-1.061523438,6.670138466,58.36712249,-0.2495754875,-0.1658202617,0.07415431724,-0.06752133943,0.0172003215,0.03554139831,0.9134624341,0.4987709497,1.126852886,1.037747837,1.071025181,0.9369451056,1.028766213,0.9485281798,0.9234438227,0.8775167219,0.8532366153,1.082922621,0.9820893794,1.118539237,0.8725859419,0.4025161837,1.734391607,3.05962641,0.1271728419,0.1178511302,0.54401925,0.2749716524,0.06587175382,0.0,0.4339923432,0.0,3.400490783,1.742872103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.965147392,0.6666666667,0.1705503255,1.008816529,0.7727272727,2.925608112,3.924800876,1.075199124,48.09388221,0.0,15.06663885,22.42125742,0.0,25.14929918,0.0,0.0,0.0,0.0,12.39368714,0.0,7.197510865,5.362040921,0.0,6.238979992,67.35,0.8055555556,0.4377777778,0.2277097506,0.1771187642,0.06701152683,0.026875,0.06734006734,0.01683760684,0.04752837564,208.0356705,18.1625912,-1.931001647,0.6398500192,-1.096148384,0.4682079224,-1.045147515,0.5708497276,-0.6661725059,1.79,3.42,-3.27,0.147,-2.82,0.411,4.07e-05
2.479157266,4.547174271,4.033898305,2.642655367,154.9564336,88.0,-3.561728395,11.85822227,91.83830858,-0.5025169592,0.2016279898,-0.1131975417,0.0005662273498,0.03522916934,0.007790212621,1.196503118,0.4638192268,0.8658313908,1.012285554,0.9045160161,1.0505197,0.7223819476,1.120536096,0.8342492746,1.042052105,0.9915273299,0.9082556436,1.055806262,1.009188059,1.040191426,0.3960615043,0.9925253549,3.057290442,0.09344475674,0.2140761751,0.933003347,0.441638319,0.1469872085,0.0,0.430390951,0.9490615476,7.994668476,0.0,0.0,0.0,3.467632958,0.0,0.0,0.0,0.0,2.153620492,0.6693548387,0.219804709,0.9860002839,0.7606060606,3.703354099,4.671011113,1.083876389,51.59183433,10.30076712,4.983978521,23.62654039,10.74258,26.29938345,5.687386275,0.0,0.0,6.544756406,11.34744789,9.967957042,5.222065127,8.24322367,6.799987372,10.43192897,83.3,1.791666667,0.7225,0.6540136054,0.5755385488,0.2902730537,0.291882716,0.07111111111,0.01680232558,0.04146533037,82.66757944,29.42344251,-3.419458659,1.197715931,-2.414231418,1.131052016,-1.607888217,0.4188119352,-0.7600180486,3.41,3.76,-4.6,0.0102,-4.54,0.0117,1.86e-05
2.553610548,4.432197729,2.90625,2.304340278,156.9133286,92.22650542,5.06122449,14.09195414,100.4224909,-0.2751540405,0.0149525344,0.03047550106,-0.07990210193,-0.09930677768,0.02910676718,0.847141121,0.4862824265,1.03404136,1.05066548,1.230992351,0.9107292747,0.6749311295,0.9650771388,0.8483989624,0.9219519721,1.121394396,0.9506064234,0.8817956871,0.9898505025,0.9929475273,0.4424941269,0.9779932935,7.008272534,0.09868344179,0.1964185503,1.030935911,0.5136135945,0.1629577072,0.0,0.4292459108,0.02347896387,5.902849627,1.863045777,0.0,0.0,0.0,0.0,5.882335879,0.0,0.0,2.057913278,0.6857142857,0.2333987871,1.04224639,0.8123809524,3.576391666,4.808618766,1.168661157,55.51302955,14.53668242,19.44429716,11.21062871,4.736862954,75.28902055,0.0,0.0,12.51406169,5.749511833,6.196843572,9.835544762,5.95607603,5.730236915,4.250004265,11.53929686,76.38,2.131944444,1.271388889,0.6679365079,0.4444444444,0.3522297808,0.204382716,0.0701754386,0.02154896422,0.04001368536,41.41371798,22.92103684,-5.036230522,0.5193297199,-3.467645881,0.378965901,-1.815896137,-0.01702475692,-0.712726534,2.43,3.31,-4.32,0.0222,-3.68,0.0986,2.22e-05
2.47919456,4.548122311,5.666666667,3.126075571,153.9753421,53.14073739,-4.259393391,13.12962953,128.7701358,-0.5376742661,0.03598751821,-0.1386815457,-0.09491617076,0.05164021434,0.009572478241,1.081111078,0.4474048177,1.156148328,0.8524908636,1.023757817,1.079192979,0.5778282529,1.065779493,0.8361368736,0.9995091245,0.8367681157,1.076638462,1.02585155,0.8122309652,0.8781389542,0.4070083021,0.9929188504,8.002961739,0.09759523029,0.2140761751,0.933003347,0.2749716524,0.1146045727,0.0,0.4299099009,0.9154223356,3.154837548,0.0,0.0,0.0,3.174007937,0.0,0.0,0.0,0.0,1.934558389,0.6693548387,0.2165514338,1.022102659,0.8404761905,3.861316321,4.81512316,0.7394656915,52.38439031,5.316788604,4.983978521,10.57107519,10.74258,21.31540493,13.91238858,11.63444168,6.544756406,10.69500997,5.008912524,4.983978521,5.495451352,7.98291635,2.165769906,10.56715887,67.51,2.166666667,0.6669444444,0.696462585,0.5130385488,0.3023904006,0.324691358,0.05777777778,0.01551033592,0.04023394184,79.1519404,27.48782268,-4.410404488,0.6940619003,-2.541873193,0.5423020925,-1.006514612,0.1203656052,-0.5396658437,4.07,4.67,-5.17,0.00291,-5.49,0.00141,3e-05
2.478793984,4.473770881,4.373737374,2.677141788,151.8999972,51.29797294,-9.028972386,12.85516249,84.79436911,-0.5367914382,0.02063624676,-0.06348175292,-0.1557494756,0.1425932307,0.02832576314,1.121246232,0.5385371777,0.9958392936,0.998869326,1.094129555,1.231608073,0.9153877665,1.044931333,0.8623184619,0.9781826456,0.8383316469,1.090015135,1.041303052,0.9524748865,0.9772727927,0.3973278676,0.9938424863,3.05728196,0.1044982807,0.2140761751,0.8209768448,0.2749716524,0.1146045727,0.0,0.4320955403,1.03385855,5.822983486,0.0,0.0,0.0,3.452896825,0.0,0.0,0.0,0.0,2.100379751,0.6637931034,0.2218733688,0.9457569232,0.7755555556,3.584304619,4.533861863,1.020726988,54.57724258,5.316788604,4.983978521,10.57107519,10.74258,21.31540493,5.13155848,0.0,0.0,0.0,22.68423376,9.967957042,6.092148815,8.373354593,2.710479527,8.195794628,67.51,1.416666667,0.6669444444,0.5331972789,0.5130385488,0.2398904006,0.164691358,0.05797101449,0.01626693767,0.04288710874,77.31421802,27.64460032,-4.026870123,1.723809373,-2.790862041,1.06425679,-1.106356984,0.2511484296,-0.5864022038,3.87,3.84,-4.85,0.0056,-5.28,0.00208,9.21e-05
2.484687723,4.465964913,3.336805556,2.984889403,152.868582,40.64373019,-6.315074694,18.31808442,87.07591279,-0.586122949,0.2900007613,-0.1435173172,-0.06774345629,-0.00825629086,0.05612796893,1.379687663,0.5942320026,1.113730073,1.01977527,0.984142107,1.179139566,0.5549929326,1.24442414,0.8799382887,0.8872348941,1.004882607,0.9993169796,0.8627145148,1.047052377,1.033896445,0.4236308734,0.9715724923,7.014207891,0.09732883382,0.3319273053,0.7727998196,0.2749716524,0.1110709264,0.0,0.4338265007,0.0,4.810712649,2.033356859,0.0,0.0,2.603917549,0.0,0.0,0.0,-3.309492663,2.064991772,0.6517857143,0.2480447407,0.9154599937,0.8177777778,4.019717246,5.038319437,0.516269415,42.41603426,4.983978521,0.0,33.71869792,4.722094864,34.10656467,0.0,10.02329115,12.29761001,12.24522612,11.33678588,0.0,2.777683976,0.5667098363,3.889570084,9.398776366,100.63,1.826388889,0.6838888889,0.7741950113,0.6180909864,0.377196712,0.3087654321,0.07407407407,0.01709722222,0.03412516047,0.0,31.92182127,-5.022537656,2.999491374,-3.176877805,0.5465229577,-0.7121389858,0.997304713,-0.7572712575,3.14,5.4,-4.55,0.0123,-6.28,0.000225,1.1e-05
2.526633439,4.574682887,5.560747664,3.900830737,150.5716193,39.74102079,-4.850661626,10.08164077,74.48233525,-0.4949766607,0.04521201485,-0.02607332754,-0.1244186777,-0.01119422128,0.2294700291,0.9655820482,0.4916131253,1.002873503,0.9475536428,1.179711246,0.995130575,0.5904261633,0.8802461836,0.8555152636,1.007327983,0.8979102989,0.8724568458,1.207620206,0.9139932815,0.9634348594,0.4933234128,0.9727749776,7.009368063,0.0952698347,0.1964185503,0.8637232909,0.6297166902,0.1275821809,0.0,0.4298292218,-0.5318461614,4.502003375,0.0,0.0,5.31165637,0.0,0.0,10.86650503,0.0,0.0,1.852930653,0.6666666667,0.189290737,1.170587662,0.8050505051,3.506544483,4.540534109,0.9830278467,58.83161689,15.20739338,19.6717347,22.63869376,20.76666028,27.4645853,0.0,5.907179729,12.3522092,39.70116891,48.66141305,15.20739338,3.172627551,1.636103324,0.1623294823,12.11288487,112.23,2.361111111,1.288888889,0.6538321995,0.4756944444,0.3908100277,0.2493904321,0.07709750567,0.02742316785,0.05844367322,93.73003835,27.90289226,-3.705846229,0.8242329482,-2.275622193,0.2597373308,-1.70740037,0.331449438,-0.6818815627,2.4,3.13,-4.14,0.0292,-4.4,0.016,6.96e-05
2.554864625,4.505469282,3.833333333,2.68132716,152.5405354,95.29427573,-2.948400967,13.86438235,97.66969536,-0.3566992165,0.05049341764,0.04760436691,0.03940090273,0.06080921197,-0.02603706995,1.156377285,0.4383071664,0.9947445943,0.9235367654,0.959038262,0.9735691448,0.6296649041,0.8954575719,0.8105015071,0.9293953632,1.005515702,1.055587651,1.022186978,1.018159063,0.9385346693,0.4155290271,0.9777394418,7.008273069,0.1045499747,0.1964185503,1.006528142,0.6844375989,0.191540908,0.0,0.4287931716,-0.04130506027,7.153051097,1.880539113,0.0,0.0,0.0,0.0,6.175691526,0.0,0.0,2.051964949,0.6597222222,0.2050367286,1.174417951,0.7981481481,3.517966614,4.724777947,1.20595939,64.43583387,9.636772685,19.44429716,11.21062871,4.736862954,44.65087521,0.0,0.0,5.907179729,17.06247516,37.3248314,9.835544762,5.935344461,5.714453295,0.9155404988,14.0606891,73.14,2.381944444,1.111666667,0.8368707483,0.5243055556,0.3275384228,0.279691358,0.06779661017,0.01764550265,0.03737352224,44.06087177,26.52293225,-5.335498201,-0.6879556277,-3.256283525,0.4759143069,-1.995095772,0.2320451249,-0.6498553789,4.1,4.64,-5.53,0.0014,-5.34,0.00217,2.03e-07
2.483893655,4.469239665,4.78,2.96941358,151.4510451,53.31095679,-0.07638888889,13.36759567,80.33790092,-0.5423423379,0.0378510845,-0.06615637717,-0.05855874559,-0.02112203811,0.04529252885,1.213863074,0.5126343013,0.9620575943,0.9783379595,1.056533658,1.075158859,0.7036757073,0.997261901,0.8494276874,0.9891210266,0.8746046099,1.181391838,0.9977120468,1.137599562,0.9397990846,0.4923785496,0.9779936759,7.008272213,0.08888261617,0.3319273053,0.8317253847,0.3928227826,0.0963266143,0.0,0.4314657775,-0.1497476129,6.913494022,0.0,0.0,0.0,2.911211787,0.0,10.93236962,0.0,0.0,1.990367405,0.675,0.2096745819,1.023086584,0.8052083333,3.872862303,4.678508855,0.9064536459,49.6914278,19.77449303,4.794537184,12.2386844,14.79051451,27.6520576,0.0,0.0,19.24487844,17.13736782,12.13273414,14.45770443,5.718294693,0.0,2.445035208,11.76179079,89.13,1.763888889,0.7744444444,0.6157823129,0.4748795351,0.3817476064,0.2340740741,0.06944444444,0.01843915344,0.04718965172,52.09327347,32.99708002,-4.634639296,0.8024933896,-3.022810595,0.2962533188,-1.439853838,0.6692323693,-0.8539439372,3.47,5.51,-4.77,0.00715,-5.62,0.00101,3.07e-06
2.434987024,4.391028702,4.367088608,2.718706048,150.6142273,48.92438563,-1.884688091,10.32970731,74.40034618,-0.269653478,-0.04586740534,-0.1096004394,-0.02482699162,-0.04657048201,0.03008587098,0.9975985884,0.5009480565,0.9552872861,0.8870872404,0.9861451049,0.8848363175,0.7564420335,1.340935981,0.9013067383,0.9820213868,0.9560249657,1.047841496,0.9832045458,0.9630119569,1.042534085,0.4040766798,0.9729522094,7.008271862,0.09015818944,0.1178511302,0.4939224973,0.2749716524,0.0761440227,0.0,0.4420487077,-0.01179028347,6.014776924,0.0,0.0,0.0,0.0,0.0,5.416356525,0.0,0.0,2.016593259,0.6339285714,0.1842839566,1.087213094,0.7942528736,3.5254445,4.756513858,0.7670480982,51.89864598,4.736862954,19.86117603,11.38785599,4.736862954,32.55544757,0.0,0.0,12.39012691,5.749511833,12.39368714,4.736862954,7.290200368,5.392220783,1.572168719,7.238886727,80.76,0.9930555556,0.8613888889,0.4194557823,0.3229520975,0.2262692114,0.112183642,0.06878306878,0.02153472222,0.04510615375,291.0594611,24.84350472,-3.220402971,1.250028196,-1.744620654,0.290697516,-1.358320487,0.3658094751,-0.713038085,2.78,4.79,-4.1,0.0294,-4.13,0.0273,1.26e-06
