pIC50,AATS8dv,AETA_beta_s,AETA_eta_F,AETA_eta_L,ATSC0i,ATSC0p,ATSC8d,AXp-1d,Ali_Solubility_(mg/ml),BCUTc-1h,BCUTd-1l,BCUTs-1h,ESOL_Log_S,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA6,EState_VSA9,FPSA3,GATS1p,GATS3v,GATS4c,GATS5dv,GATS6d,GATS6i,GATS7d,GGI3,GGI5,GGI8,GGI9,IC2,JGI2,JGI5,MATS1c,MATS2s,MATS3s,MDEC-33,Mor06m,Mor08m,Mor11m,Mor16m,Mor23m,PEOE_VSA2,RPCS,SaaaC,SaasC,SdS,Silicos-IT_Log_P,Silicos-IT_Solubility_(mg/ml),SlogP_VSA1,SpMax_A,SsOH,SssNH,SssssC,VE1_A,VSA_EState3,VSA_EState7,XLOGP3,Xc-5d,Xch-5d,Xch-7d,ZMIC1
7.522878745,4.048780488,0.6666666667,1.008816529,0.1705503255,58.36712249,6.670138466,-1.061523438,0.4339923432,0.411,0.4025161837,1.734391607,3.05962641,-3.27,0.0,0.0,0.0,12.39368714,0.0,0.04752837564,0.8532366153,0.8775167219,0.9134624341,1.126852886,1.071025181,1.118539237,0.9369451056,0.8055555556,0.4377777778,0.06701152683,0.026875,3.924800876,0.06734006734,0.01683760684,-0.2495754875,-0.1658202617,0.07415431724,6.238979992,0.6398500192,-1.096148384,0.4682079224,0.5708497276,-0.6661725059,15.06663885,208.0356705,1.742872103,3.400490783,0.0,3.42,4.07e-05,0.0,2.443940753,0.0,0.0,0.0,4.178208277,7.197510865,5.362040921,1.79,0.2749716524,0.1178511302,0.54401925,48.09388221
7.769551079,4.033898305,0.6693548387,0.9860002839,0.219804709,91.83830858,11.85822227,-3.561728395,0.430390951,0.0117,0.3960615043,0.9925253549,3.057290442,-4.6,0.0,0.0,6.544756406,11.34744789,9.967957042,0.04146533037,0.9915273299,1.042052105,1.196503118,0.8658313908,0.9045160161,1.009188059,1.0505197,1.791666667,0.7225,0.2902730537,0.291882716,4.671011113,0.07111111111,0.01680232558,-0.5025169592,0.2016279898,-0.1131975417,10.43192897,1.197715931,-2.414231418,1.131052016,0.4188119352,-0.7600180486,4.983978521,82.66757944,0.0,7.994668476,0.0,3.76,1.86e-05,10.74258,2.479157266,0.0,3.467632958,0.0,4.547174271,5.222065127,8.24322367,3.41,0.441638319,0.2140761751,0.933003347,51.59183433
7.30980392,2.90625,0.6857142857,1.04224639,0.2333987871,100.4224909,14.09195414,5.06122449,0.4292459108,0.0986,0.4424941269,0.9779932935,7.008272534,-4.32,0.0,12.51406169,5.749511833,6.196843572,9.835544762,0.04001368536,1.121394396,0.9219519721,0.847141121,1.03404136,1.230992351,0.9898505025,0.9107292747,2.131944444,1.271388889,0.3522297808,0.204382716,4.808618766,0.0701754386,0.02154896422,-0.2751540405,0.0149525344,0.03047550106,11.53929686,0.5193297199,-3.467645881,0.378965901,-0.01702475692,-0.712726534,19.44429716,41.41371798,1.863045777,5.902849627,0.0,3.31,2.22e-05,4.736862954,2.553610548,0.0,0.0,0.0,4.432197729,5.95607603,5.730236915,2.43,0.5136135945,0.1964185503,1.030935911,55.51302955
8.049635146,5.666666667,0.6693548387,1.022102659,0.2165514338,128.7701358,13.12962953,-4.259393391,0.4299099009,0.00141,0.4070083021,0.9929188504,8.002961739,-5.17,11.63444168,6.544756406,10.69500997,5.008912524,4.983978521,0.04023394184,0.8367681157,0.9995091245,1.081111078,1.156148328,1.023757817,0.8122309652,1.079192979,2.166666667,0.6669444444,0.3023904006,0.324691358,4.81512316,0.05777777778,0.01551033592,-0.5376742661,0.03598751821,-0.1386815457,10.56715887,0.6940619003,-2.541873193,0.5423020925,0.1203656052,-0.5396658437,4.983978521,79.1519404,0.0,3.154837548,0.0,4.67,3e-05,10.74258,2.47919456,0.0,3.174007937,0.0,4.548122311,5.495451352,7.98291635,4.07,0.2749716524,0.2140761751,0.933003347,52.38439031
7.946921557,4.373737374,0.6637931034,0.9457569232,0.2218733688,84.79436911,12.85516249,-9.028972386,0.4320955403,0.00208,0.3973278676,0.9938424863,3.05728196,-4.85,0.0,0.0,0.0,22.68423376,9.967957042,0.04288710874,0.8383316469,0.9781826456,1.121246232,0.9958392936,1.094129555,0.9524748865,1.231608073,1.416666667,0.6669444444,0.2398904006,0.164691358,4.533861863,0.05797101449,0.01626693767,-0.5367914382,0.02063624676,-0.06348175292,8.195794628,1.723809373,-2.790862041,1.06425679,0.2511484296,-0.5864022038,4.983978521,77.31421802,0.0,5.822983486,0.0,3.84,9.21e-05,10.74258,2.478793984,0.0,3.452896825,0.0,4.473770881,6.092148815,8.373354593,3.87,0.2749716524,0.2140761751,0.8209768448,54.57724258
7.769551079,3.336805556,0.6517857143,0.9154599937,0.2480447407,87.07591279,18.31808442,-6.315074694,0.4338265007,0.000225,0.4236308734,0.9715724923,7.014207891,-4.55,10.02329115,12.29761001,12.24522612,11.33678588,0.0,0.03412516047,1.004882607,0.8872348941,1.379687663,1.113730073,0.984142107,1.047052377,1.179139566,1.826388889,0.6838888889,0.377196712,0.3087654321,5.038319437,0.07407407407,0.01709722222,-0.586122949,0.2900007613,-0.1435173172,9.398776366,2.999491374,-3.176877805,0.5465229577,0.997304713,-0.7572712575,0.0,0.0,2.033356859,4.810712649,0.0,5.4,1.1e-05,4.722094864,2.484687723,0.0,2.603917549,0.0,4.465964913,2.777683976,0.5667098363,3.14,0.2749716524,0.3319273053,0.7727998196,42.41603426
4.101933339,5.560747664,0.6666666667,1.170587662,0.189290737,74.48233525,10.08164077,-4.850661626,0.4298292218,0.016,0.4933234128,0.9727749776,7.009368063,-4.14,5.907179729,12.3522092,39.70116891,48.66141305,15.20739338,0.05844367322,0.8979102989,1.007327983,0.9655820482,1.002873503,1.179711246,0.9139932815,0.995130575,2.361111111,1.288888889,0.3908100277,0.2493904321,4.540534109,0.07709750567,0.02742316785,-0.4949766607,0.04521201485,-0.02607332754,12.11288487,0.8242329482,-2.275622193,0.2597373308,0.331449438,-0.6818815627,19.6717347,93.73003835,0.0,4.502003375,0.0,3.13,6.96e-05,20.76666028,2.526633439,0.0,0.0,0.0,4.574682887,3.172627551,1.636103324,2.4,0.6297166902,0.1964185503,0.8637232909,58.83161689
5.958607315,3.833333333,0.6597222222,1.174417951,0.2050367286,97.66969536,13.86438235,-2.948400967,0.4287931716,0.00217,0.4155290271,0.9777394418,7.008273069,-5.53,0.0,5.907179729,17.06247516,37.3248314,9.835544762,0.03737352224,1.005515702,0.9293953632,1.156377285,0.9947445943,0.959038262,1.018159063,0.9735691448,2.381944444,1.111666667,0.3275384228,0.279691358,4.724777947,0.06779661017,0.01764550265,-0.3566992165,0.05049341764,0.04760436691,14.0606891,-0.6879556277,-3.256283525,0.4759143069,0.2320451249,-0.6498553789,19.44429716,44.06087177,1.880539113,7.153051097,0.0,4.64,2.03e-07,4.736862954,2.554864625,0.0,0.0,0.0,4.505469282,5.935344461,5.714453295,4.1,0.6844375989,0.1964185503,1.006528142,64.43583387
6.823908741,4.78,0.675,1.023086584,0.2096745819,80.33790092,13.36759567,-0.07638888889,0.4314657775,0.00101,0.4923785496,0.9779936759,7.008272213,-4.77,0.0,19.24487844,17.13736782,12.13273414,14.45770443,0.04718965172,0.8746046099,0.9891210266,1.213863074,0.9620575943,1.056533658,1.137599562,1.075158859,1.763888889,0.7744444444,0.3817476064,0.2340740741,4.678508855,0.06944444444,0.01843915344,-0.5423423379,0.0378510845,-0.06615637717,11.76179079,0.8024933896,-3.022810595,0.2962533188,0.6692323693,-0.8539439372,4.794537184,52.09327347,0.0,6.913494022,0.0,5.51,3.07e-06,14.79051451,2.483893655,0.0,2.911211787,0.0,4.469239665,5.718294693,0.0,3.47,0.3928227826,0.3319273053,0.8317253847,49.6914278
7.602059991,4.367088608,0.6339285714,1.087213094,0.1842839566,74.40034618,10.32970731,-1.884688091,0.4420487077,0.0273,0.4040766798,0.9729522094,7.008271862,-4.1,0.0,12.39012691,5.749511833,12.39368714,4.736862954,0.04510615375,0.9560249657,0.9820213868,0.9975985884,0.9552872861,0.9861451049,0.9630119569,0.8848363175,0.9930555556,0.8613888889,0.2262692114,0.112183642,4.756513858,0.06878306878,0.02153472222,-0.269653478,-0.04586740534,-0.1096004394,7.238886727,1.250028196,-1.744620654,0.290697516,0.3658094751,-0.713038085,19.86117603,291.0594611,0.0,6.014776924,0.0,4.79,1.26e-06,4.736862954,2.434987024,0.0,0.0,0.0,4.391028702,7.290200368,5.392220783,2.78,0.2749716524,0.1178511302,0.4939224973,51.89864598
7.397940009,4.116071429,0.6693548387,0.9765140263,0.2293193753,93.37712654,14.00398565,-3.75,0.4340286995,0.0061,0.3962348021,0.9878601675,3.057289002,-4.51,0.0,0.0,6.544756406,23.10933284,9.967957042,0.041435723,0.8697089075,0.9783077638,1.312093286,0.8903736318,1.015037594,0.9921134398,1.115763547,1.479166667,0.785,0.2590230537,0.211882716,4.930457026,0.06349206349,0.01825581395,-0.4995143091,0.185352577,-0.06027119327,8.797257867,1.699242867,-2.036631265,1.008356152,0.3656077369,-0.7394638663,4.983978521,82.16736547,0.0,6.662891981,0.0,3.33,3.83e-05,10.74258,2.478936865,0.0,3.441633335,0.0,4.51049676,5.194296877,10.30863816,3.19,0.2749716524,0.2140761751,0.8666591913,53.27622952
8.045757491,5.601941748,0.685483871,1.080595088,0.206097908,126.7583443,10.57944554,-4.06640625,0.430872001,0.0424,0.4315417132,0.9925445055,8.003004674,-4.32,11.63444168,12.23214268,11.51833249,5.008912524,4.983978521,0.04384414594,0.9471633203,0.9581582932,1.17204491,1.054946833,0.9250451041,0.8162745172,1.047273286,2.041666667,0.7780555556,0.3699058327,0.284691358,4.860902344,0.07555555556,0.01809431525,-0.4735516832,-0.003021478251,0.1705660726,11.14244263,1.055461367,-2.573080398,1.075240333,0.2604904114,-0.915551887,4.983978521,92.90611593,0.0,1.775581902,0.0,3.55,3.17e-05,10.74258,2.479665346,0.0,2.893697772,0.0,4.592143098,4.557895017,7.794033608,2.88,0.5072794607,0.2140761751,0.933003347,50.98871461
6.684029655,4.619834711,0.640625,1.166691595,0.1838961498,87.14913321,11.92201463,-2.418298327,0.4348055467,0.00169,0.4122082109,0.97795332,7.008272423,-5.29,0.0,12.45193614,0.0,10.87864651,5.098681808,0.03739062829,0.9180063141,0.9673682524,0.966223695,1.111519675,1.11814346,1.09375006,1.146050842,1.972222222,0.9380555556,0.4323664651,0.264066358,4.541871326,0.05333333333,0.01995862884,-0.3650620415,0.03788342654,-0.1598515607,9.281050037,2.000183774,-2.921958736,0.8255223115,0.1473571538,-0.7829290354,19.44429716,60.29828757,1.975771616,5.095236687,0.0,4.44,1.08e-07,5.316788604,2.477060554,0.0,2.908301157,0.0,4.55375734,8.689804809,3.689419282,4.16,0.2749716524,0.09622504486,0.76403551,65.41691288
7.142667504,3.717592593,0.6153846154,1.069395666,0.1871033944,72.39067622,12.9721988,-2.333333333,0.4395957733,0.00279,0.4499408153,0.9684575887,7.014213094,-4.39,10.02329115,4.895483476,11.49902367,12.13273414,9.875836691,0.03715825698,1.191785503,1.023310233,1.179333421,0.9431134218,0.7731884058,0.8590622216,1.004938272,1.8125,0.6597222222,0.3124212648,0.20125,4.186762964,0.07222222222,0.02274904215,-0.5716861687,0.4196841878,-0.1100179011,4.918766216,2.162414317,-2.676872075,1.156508286,0.08833317236,-0.494476765,4.983978521,19.27238645,0.0,4.749176086,0.0,2.36,2.69e-05,15.1926253,2.355558733,0.0,3.201210921,0.0,4.827861254,8.30543725,0.0,3.29,0.5508638321,0.0,0.4026386479,54.93104544
7.161150909,2.906666667,0.6893939394,0.9458827197,0.2455859152,97.51704162,13.69710277,-18.13571621,0.4278724429,0.0698,0.4014102777,0.993840093,3.510026325,-4.43,0.0,0.0,0.0,0.0,14.81952328,0.0418715081,1.125335128,0.92777316,0.7050656235,0.9080881519,1.032227575,0.9490612384,1.311390341,2.111111111,0.8097222222,0.2653533636,0.186257716,4.874895174,0.06172839506,0.01587690632,-0.2256811218,-0.005937840983,-0.01372955574,9.917457191,0.4853697671,-2.894746311,0.9127104968,0.1922801137,-0.7191453266,14.56569119,114.461692,2.193763306,6.296793905,0.0,3.59,7.08e-05,0.0,2.54695347,0.0,0.0,0.0,4.500490354,4.923479803,7.401129124,2.86,0.4184429249,0.2926435952,1.185573759,52.47138201
