SpMax_A,VE1_A,AATS8dv,AATS8s,AATS2i,ATSC1dv,ATSC8d,ATSC0p,ATSC0i,MATS1c,MATS2s,MATS3s,MATS6s,MATS7s,MATS8s,GATS4c,GATS1dv,GATS5dv,GATS7dv,GATS6d,GATS7d,GATS2s,GATS3s,GATS2v,GATS3v,GATS1p,GATS6p,GATS3i,GATS6i,GATS8i,BCUTc-1h,BCUTd-1l,BCUTs-1h,RPCG,Xch-5d,Xch-7d,Xc-5d,Xc-5dv,Xc-6dv,AXp-1d,SdssC,SaasC,SaaaC,SssssC,SsNH2,SssNH,SsOH,SssO,SdS,SddssS,MAXaaCH,AETA_beta_s,AETA_eta_L,AETA_eta_F,ETA_epsilon_5,IC1,IC2,CIC2,ZMIC1,PEOE_VSA1,PEOE_VSA2,PEOE_VSA9,SlogP_VSA1,SlogP_VSA2,SlogP_VSA10,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA6,EState_VSA9,VSA_EState3,VSA_EState7,VSA_EState8,MDEC-33,TopoPSA(NO),GGI3,GGI5,GGI6,GGI7,GGI8,GGI9,JGI2,JGI5,FPSA3,RPCS,Mor02m,Mor03m,Mor06m,Mor08m,Mor11m,Mor13m,Mor16m,Mor23m,XLOGP3,Silicos-IT_Log_P,ESOL_Log_S,ESOL_Solubility_(mg/ml),Ali_Log_S,Ali_Solubility_(mg/ml),Silicos-IT_Solubility_(mg/ml),AATS1i,AATS3i,AATS4i,AATS5d,AATS6i,AATS7s,AATSC0v,AETA_alpha,AETA_beta_ns_d,AMID_C,ATSC1d,ATSC7d,ATSC8dv,AXp-0d,CIC1,EState_VSA4,EState_VSA5,ETA_dAlpha_B,ETA_dEpsilon_D,GATS1d,GATS1i,GATS1v,GATS2c,GATS2d,GATS2i,GATS3c,GATS3dv,GATS4dv,GATS4i,GATS4s,GATS5d,GATS5i,GATS5p,GATS6dv,GATS6s,GATS7i,GATS7p,GATS8c,GATS8dv,JGI4,MLOGP,MOMI-Z,Mor26m,Mor30m,Mor31m,PEOE_VSA4,PEOE_VSA6,RNCG,RNCS,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA9,SaaS,SdO,SlogP_VSA3,SlogP_VSA4,SpDiam_A,SssS,VSA_EState9,Xc-3dv,ZMIC2
2.443940753,4.178208277,4.048780488,2.760162602,150.6171579,26.32421875,-1.061523438,6.670138466,58.36712249,-0.2495754875,-0.1658202617,0.07415431724,-0.06752133943,0.0172003215,0.03554139831,0.9134624341,0.4987709497,1.126852886,1.037747837,1.071025181,0.9369451056,1.028766213,0.9485281798,0.9234438227,0.8775167219,0.8532366153,1.082922621,0.9820893794,1.118539237,0.8725859419,0.4025161837,1.734391607,3.05962641,0.1271728419,0.1178511302,0.54401925,0.2749716524,0.06587175382,0.0,0.4339923432,0.0,3.400490783,1.742872103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.965147392,0.6666666667,0.1705503255,1.008816529,0.7727272727,2.925608112,3.924800876,1.075199124,48.09388221,0.0,15.06663885,22.42125742,0.0,25.14929918,0.0,0.0,0.0,0.0,12.39368714,0.0,7.197510865,5.362040921,0.0,6.238979992,67.35,0.8055555556,0.4377777778,0.2277097506,0.1771187642,0.06701152683,0.026875,0.06734006734,0.01683760684,0.04752837564,208.0356705,18.1625912,-1.931001647,0.6398500192,-1.096148384,0.4682079224,-1.045147515,0.5708497276,-0.6661725059,1.79,3.42,-3.27,0.147,-2.82,0.411,4.07e-05,198.3313611265077,235.9772229851207,215.23571471450282,0.26555054510499554,226.8371320205915,2.8482970934570333,35.43621071659243,0.28975936069231534,0.028429170318107128,0.3663607542847591,50.107155580333725,11.189252532451931,-366.9998041101489,0.7573674969197278,4.283188403221488,292.2116573890718,52.8065910061725,0.20287631638504378,0.1659735231717136,1.2640569164023647,3.762184983157292,2.2691046123471246,4.055026110576397,1.0868236137027694,0.9475554988867774,0.45011758326992946,0.7308339736961706,-0.1212359501375182,0.431873771106287,-0.24994533110426698,0.5007083019563647,1.2515227506695707,1.4151118107564857,0.22583985511635862,0.6763546177569384,0.8089459877317442,-0.2994416785661804,2.1435674533425377,1.54717057527523,0.059867103735736685,-8.271033542585261,10424.838187176869,0.2592384633945447,0.36435472504370153,-0.060769589135568375,25.966925810467945,-176.49471560316806,-0.59576847916609,-116.7498805760666,57.93606699671878,144.71482682188096,23.70351688755941,19.500760813744588,-0.6719176770001793,42.360898668898145,107.60736301312049,-9.357690242254268,5.401825028239504,-2.1113662887192746,14.447494407025523,2.701532017296665,41.46549936152607
2.479157266,4.547174271,4.033898305,2.642655367,154.9564336,88.0,-3.561728395,11.85822227,91.83830858,-0.5025169592,0.2016279898,-0.1131975417,0.0005662273498,0.03522916934,0.007790212621,1.196503118,0.4638192268,0.8658313908,1.012285554,0.9045160161,1.0505197,0.7223819476,1.120536096,0.8342492746,1.042052105,0.9915273299,0.9082556436,1.055806262,1.009188059,1.040191426,0.3960615043,0.9925253549,3.057290442,0.09344475674,0.2140761751,0.933003347,0.441638319,0.1469872085,0.0,0.430390951,0.9490615476,7.994668476,0.0,0.0,0.0,3.467632958,0.0,0.0,0.0,0.0,2.153620492,0.6693548387,0.219804709,0.9860002839,0.7606060606,3.703354099,4.671011113,1.083876389,51.59183433,10.30076712,4.983978521,23.62654039,10.74258,26.29938345,5.687386275,0.0,0.0,6.544756406,11.34744789,9.967957042,5.222065127,8.24322367,6.799987372,10.43192897,83.3,1.791666667,0.7225,0.6540136054,0.5755385488,0.2902730537,0.291882716,0.07111111111,0.01680232558,0.04146533037,82.66757944,29.42344251,-3.419458659,1.197715931,-2.414231418,1.131052016,-1.607888217,0.4188119352,-0.7600180486,3.41,3.76,-4.6,0.0102,-4.54,0.0117,1.86e-05,201.2278010679467,244.70075542680485,231.25641001161455,-1.028163108992688,244.7013238219792,0.5561063229136867,42.826327996702894,0.2887247436022904,0.04834597984488542,0.47092625095007823,66.97906280094132,6.525002086013605,-587.0793024940074,0.7519879249039602,6.3934768534026105,437.3316155469152,50.648955316826225,0.2038950038771128,0.11076544789646964,1.3780213631344096,4.833082110187668,2.8124812673391855,5.255913523558265,1.5273321493029506,1.194349626215361,1.2867902705166956,0.9750965697580826,-0.6420932168171489,0.10026010961179299,-0.8474570608300793,0.0521585716756654,1.6862224949265916,1.6241909697873813,0.04655126980089985,1.1535015217701325,0.5790372449264316,-0.7468008664106589,2.7251475335222564,1.6586621620257733,0.0656105237467663,-7.243559393148404,13758.515055282158,0.07913793334649671,0.7608064633644351,-0.17386475393114445,22.870654518861535,-167.87228947456632,-0.7506090853571223,-297.9377297723898,40.771142893827886,175.82332924172388,26.527139878182403,-1.4300426383738305,-2.3468983753073362,30.45982851934638,135.36758538452332,-0.5986998389952927,5.497180838055187,-1.4337435548132067,18.70972767932762,3.776641049093259,48.62790396041258
2.553610548,4.432197729,2.90625,2.304340278,156.9133286,92.22650542,5.06122449,14.09195414,100.4224909,-0.2751540405,0.0149525344,0.03047550106,-0.07990210193,-0.09930677768,0.02910676718,0.847141121,0.4862824265,1.03404136,1.05066548,1.230992351,0.9107292747,0.6749311295,0.9650771388,0.8483989624,0.9219519721,1.121394396,0.9506064234,0.8817956871,0.9898505025,0.9929475273,0.4424941269,0.9779932935,7.008272534,0.09868344179,0.1964185503,1.030935911,0.5136135945,0.1629577072,0.0,0.4292459108,0.02347896387,5.902849627,1.863045777,0.0,0.0,0.0,0.0,5.882335879,0.0,0.0,2.057913278,0.6857142857,0.2333987871,1.04224639,0.8123809524,3.576391666,4.808618766,1.168661157,55.51302955,14.53668242,19.44429716,11.21062871,4.736862954,75.28902055,0.0,0.0,12.51406169,5.749511833,6.196843572,9.835544762,5.95607603,5.730236915,4.250004265,11.53929686,76.38,2.131944444,1.271388889,0.6679365079,0.4444444444,0.3522297808,0.204382716,0.0701754386,0.02154896422,0.04001368536,41.41371798,22.92103684,-5.036230522,0.5193297199,-3.467645881,0.378965901,-1.815896137,-0.01702475692,-0.712726534,2.43,3.31,-4.32,0.0222,-3.68,0.0986,2.22e-05,206.1695051651663,253.5728748973126,234.70342742048774,-1.8097190496808029,251.1303644020701,-0.36909989827763434,42.25895341475619,0.27486368222485336,0.03383195387365914,0.3190038111568869,72.41249537390452,29.583811548588695,-473.5263415180323,0.7340425154904451,7.186708453756083,513.9268027059873,61.12331866772976,0.22085890020504786,0.11160656212883707,1.2405243179601517,5.114969485894121,3.084053858081689,5.690716134818377,1.1794987663484908,1.1388465285409022,1.149540608536683,0.8108149552314874,-0.7734348290032205,0.09865225583714898,-0.5034747066228302,-0.1457383496965905,1.4558004670705378,1.4658181072403318,0.08641153330510942,1.988600250682035,0.4531866818157382,-0.645845622361592,2.370339352470606,1.4153850882227181,0.05446902578455016,-8.345097706377558,13726.19484592816,0.9247615489760012,0.3592348275947533,0.4238615561151907,25.006295461221853,-206.35024658192293,-0.7682450663639739,-218.48558221487363,55.00398097948354,205.5094251756052,22.609238406818278,8.63391017263149,-0.7169767887971967,44.29753784148099,139.49921312337136,-37.13133067727756,5.6011002526657,-2.5183277479437094,22.685052773720493,3.395835158166665,52.291930097011814
2.47919456,4.548122311,5.666666667,3.126075571,153.9753421,53.14073739,-4.259393391,13.12962953,128.7701358,-0.5376742661,0.03598751821,-0.1386815457,-0.09491617076,0.05164021434,0.009572478241,1.081111078,0.4474048177,1.156148328,0.8524908636,1.023757817,1.079192979,0.5778282529,1.065779493,0.8361368736,0.9995091245,0.8367681157,1.076638462,1.02585155,0.8122309652,0.8781389542,0.4070083021,0.9929188504,8.002961739,0.09759523029,0.2140761751,0.933003347,0.2749716524,0.1146045727,0.0,0.4299099009,0.9154223356,3.154837548,0.0,0.0,0.0,3.174007937,0.0,0.0,0.0,0.0,1.934558389,0.6693548387,0.2165514338,1.022102659,0.8404761905,3.861316321,4.81512316,0.7394656915,52.38439031,5.316788604,4.983978521,10.57107519,10.74258,21.31540493,13.91238858,11.63444168,6.544756406,10.69500997,5.008912524,4.983978521,5.495451352,7.98291635,2.165769906,10.56715887,67.51,2.166666667,0.6669444444,0.696462585,0.5130385488,0.3023904006,0.324691358,0.05777777778,0.01551033592,0.04023394184,79.1519404,27.48782268,-4.410404488,0.6940619003,-2.541873193,0.5423020925,-1.006514612,0.1203656052,-0.5396658437,4.07,4.67,-5.17,0.00291,-5.49,0.00141,3e-05,200.48688358866139,240.27430324960568,222.51626126179076,-0.41971544511053027,235.71345011372185,2.3212049823248058,37.08431958642661,0.2914044910397987,0.0748603275197284,0.15272730057757244,54.86249504564876,20.80696528513469,-385.4165802789295,0.7762255776821054,4.377387871911671,316.744159032472,50.73453391358817,0.2017358477842793,0.150685013628075,1.3577151081564574,4.072449056513404,2.433176356388165,4.20093471544533,1.33347176500228,1.0012412399403738,0.9057653338485655,0.8980251995166738,-0.40499660037026475,0.43701292964348903,-0.5293702801871791,0.1959631698445332,1.2719807101983704,1.5099022469069885,0.0841261849992293,0.9236805042529398,0.713137567180259,-0.37669026864218513,2.249006197188439,1.4524596538719976,0.06721857276131556,-6.660348307374367,11379.271384145712,0.06705894920874717,0.6627881509440214,0.00934850776207874,26.88353949913716,-167.64070460812715,-0.6760367188751797,-106.72058544562546,61.05272269063778,153.4912872620334,24.538030123067422,4.787350653666195,0.304150940865535,36.58904726903874,109.11490005099803,10.977035235961834,5.257352407065415,-2.0441472244373258,15.741880974007506,3.1636264838853143,44.66781067265046
2.478793984,4.473770881,4.373737374,2.677141788,151.8999972,51.29797294,-9.028972386,12.85516249,84.79436911,-0.5367914382,0.02063624676,-0.06348175292,-0.1557494756,0.1425932307,0.02832576314,1.121246232,0.5385371777,0.9958392936,0.998869326,1.094129555,1.231608073,0.9153877665,1.044931333,0.8623184619,0.9781826456,0.8383316469,1.090015135,1.041303052,0.9524748865,0.9772727927,0.3973278676,0.9938424863,3.05728196,0.1044982807,0.2140761751,0.8209768448,0.2749716524,0.1146045727,0.0,0.4320955403,1.03385855,5.822983486,0.0,0.0,0.0,3.452896825,0.0,0.0,0.0,0.0,2.100379751,0.6637931034,0.2218733688,0.9457569232,0.7755555556,3.584304619,4.533861863,1.020726988,54.57724258,5.316788604,4.983978521,10.57107519,10.74258,21.31540493,5.13155848,0.0,0.0,0.0,22.68423376,9.967957042,6.092148815,8.373354593,2.710479527,8.195794628,67.51,1.416666667,0.6669444444,0.5331972789,0.5130385488,0.2398904006,0.164691358,0.05797101449,0.01626693767,0.04288710874,77.31421802,27.64460032,-4.026870123,1.723809373,-2.790862041,1.06425679,-1.106356984,0.2511484296,-0.5864022038,3.87,3.84,-4.85,0.0056,-5.28,0.00208,9.21e-05,199.2518505545329,238.26677660735663,220.9734381025627,-0.3880927234305833,233.2452793704902,1.94839203885909,38.477291723220446,0.2949537077981727,0.05782736305571531,0.2564886448421724,56.164103507251795,17.183512361890124,-390.6971243006152,0.7683286791804214,4.707821592807523,329.6529810002253,49.69526837089912,0.19874369979235382,0.1460747034614615,1.3226221862405116,4.1152919597917315,2.4626212790864015,4.277087807267884,1.2998576160007218,1.0151758079403927,0.8933974390790055,0.8716819460620482,-0.36413519096993174,0.3980978805369477,-0.4581950634522154,0.23555194141509173,1.3147966601550842,1.4706952674212117,0.131977653731011,0.9972717031069467,0.7313370504372594,-0.31885272015603494,2.205447021821911,1.431055709628857,0.06329734440629708,-6.967853851046408,11287.427241627174,0.12444082045580585,0.5525179026770475,0.03419985186522281,25.72805141143508,-166.88481865173543,-0.6553271193668557,-115.94882366636358,58.08295695442034,153.54354260767042,25.248451394608544,8.4945749350576,-0.10176729057853745,39.125794737327205,111.35117053003643,2.423972563078732,5.332429906727412,-2.0128313986874624,15.912057334403517,3.1751865337457645,44.38901293047171
2.484687723,4.465964913,3.336805556,2.984889403,152.868582,40.64373019,-6.315074694,18.31808442,87.07591279,-0.586122949,0.2900007613,-0.1435173172,-0.06774345629,-0.00825629086,0.05612796893,1.379687663,0.5942320026,1.113730073,1.01977527,0.984142107,1.179139566,0.5549929326,1.24442414,0.8799382887,0.8872348941,1.004882607,0.9993169796,0.8627145148,1.047052377,1.033896445,0.4236308734,0.9715724923,7.014207891,0.09732883382,0.3319273053,0.7727998196,0.2749716524,0.1110709264,0.0,0.4338265007,0.0,4.810712649,2.033356859,0.0,0.0,2.603917549,0.0,0.0,0.0,-3.309492663,2.064991772,0.6517857143,0.2480447407,0.9154599937,0.8177777778,4.019717246,5.038319437,0.516269415,42.41603426,4.983978521,0.0,33.71869792,4.722094864,34.10656467,0.0,10.02329115,12.29761001,12.24522612,11.33678588,0.0,2.777683976,0.5667098363,3.889570084,9.398776366,100.63,1.826388889,0.6838888889,0.7741950113,0.6180909864,0.377196712,0.3087654321,0.07407407407,0.01709722222,0.03412516047,0.0,31.92182127,-5.022537656,2.999491374,-3.176877805,0.5465229577,-0.7121389858,0.997304713,-0.7572712575,3.14,5.4,-4.55,0.0123,-6.28,0.000225,1.1e-05,201.71499835822573,240.1569992588116,219.8765351089176,-0.6427412493408315,236.35247841408372,1.1245211153360037,37.512613209158204,0.2903058942787695,0.004974203800108946,0.3443823310103187,56.69481195005541,25.94500081588679,-353.1699349464885,0.749569688684994,6.0245071573123745,404.1387612961013,46.96746119401936,0.2005283268241136,0.19357616262004634,1.43608711564612,4.3414629319903035,2.4161312154799583,4.3787237931859675,1.45155783179358,1.3730577699224797,0.7178763583444072,1.0957979999299523,-0.43056662376873844,0.451815763129951,-0.7524879755685216,0.1215514709466523,1.5351454207268524,1.5193363445331096,0.11362698359886048,0.6566742784058253,0.3902924953442277,-0.9388109691374507,1.8399595598360696,1.2365627218770585,0.06576778353454527,-11.465509739279302,12842.008725433887,0.3426270195531518,0.45227602608825923,-0.27583555913389235,19.31383221308728,-186.65023521427474,-0.736232277365338,-171.87652798435215,48.321108998331596,172.3851077602914,32.80584264242447,23.890627025722,-1.4249588423691697,58.920282293296545,123.78972883223905,-17.275183695139557,5.416618581065324,-1.9719845671738003,11.895120165561524,3.3155867219149706,55.43823223448072
2.526633439,4.574682887,5.560747664,3.900830737,150.5716193,39.74102079,-4.850661626,10.08164077,74.48233525,-0.4949766607,0.04521201485,-0.02607332754,-0.1244186777,-0.01119422128,0.2294700291,0.9655820482,0.4916131253,1.002873503,0.9475536428,1.179711246,0.995130575,0.5904261633,0.8802461836,0.8555152636,1.007327983,0.8979102989,0.8724568458,1.207620206,0.9139932815,0.9634348594,0.4933234128,0.9727749776,7.009368063,0.0952698347,0.1964185503,0.8637232909,0.6297166902,0.1275821809,0.0,0.4298292218,-0.5318461614,4.502003375,0.0,0.0,5.31165637,0.0,0.0,10.86650503,0.0,0.0,1.852930653,0.6666666667,0.189290737,1.170587662,0.8050505051,3.506544483,4.540534109,0.9830278467,58.83161689,15.20739338,19.6717347,22.63869376,20.76666028,27.4645853,0.0,5.907179729,12.3522092,39.70116891,48.66141305,15.20739338,3.172627551,1.636103324,0.1623294823,12.11288487,112.23,2.361111111,1.288888889,0.6538321995,0.4756944444,0.3908100277,0.2493904321,0.07709750567,0.02742316785,0.05844367322,93.73003835,27.90289226,-3.705846229,0.8242329482,-2.275622193,0.2597373308,-1.70740037,0.331449438,-0.6818815627,2.4,3.13,-4.14,0.0292,-4.4,0.016,6.96e-05,202.0977994455967,238.49363932796757,218.60518053585105,-0.8062815693980161,232.55922337164452,1.4085699552455355,34.10323618051336,0.2726050012405213,-0.007997297512783004,0.2747102714141152,55.308664956455985,38.123226411576795,-233.07681140372546,0.7657069712218699,5.880335802862572,386.80185081682174,36.06751354002807,0.21535243774081997,0.24515947947012537,1.5188408781448788,4.252444757841353,2.3731292638274573,3.8581462368526744,1.4932621996350783,1.4746361869991982,0.4802533456881064,1.148334562433171,-0.372383128445827,0.654255705930496,-0.578160639728315,0.12789165790347579,1.448967123093792,1.434097199268236,0.05339332342466263,0.2515259971329804,0.34469319874650817,-0.8079807063363684,1.2638037099641206,0.8749724474377951,0.07008787091036829,-13.124358404108138,13217.546301374878,-0.01213012793358112,0.5309090103082001,-0.502922332377898,18.390585899002833,-203.60079980899036,-0.7857763702719929,29.10553218207449,67.74225689645728,162.56021171525225,36.336610819626515,49.09892658051231,-1.3971891133152405,78.32671038268845,120.99801067700045,-20.67077989905596,5.350971373924622,-2.822526220977895,8.890841345603636,3.2998953113088065,59.63079773853903
2.554864625,4.505469282,3.833333333,2.68132716,152.5405354,95.29427573,-2.948400967,13.86438235,97.66969536,-0.3566992165,0.05049341764,0.04760436691,0.03940090273,0.06080921197,-0.02603706995,1.156377285,0.4383071664,0.9947445943,0.9235367654,0.959038262,0.9735691448,0.6296649041,0.8954575719,0.8105015071,0.9293953632,1.005515702,1.055587651,1.022186978,1.018159063,0.9385346693,0.4155290271,0.9777394418,7.008273069,0.1045499747,0.1964185503,1.006528142,0.6844375989,0.191540908,0.0,0.4287931716,-0.04130506027,7.153051097,1.880539113,0.0,0.0,0.0,0.0,6.175691526,0.0,0.0,2.051964949,0.6597222222,0.2050367286,1.174417951,0.7981481481,3.517966614,4.724777947,1.20595939,64.43583387,9.636772685,19.44429716,11.21062871,4.736862954,44.65087521,0.0,0.0,5.907179729,17.06247516,37.3248314,9.835544762,5.935344461,5.714453295,0.9155404988,14.0606891,73.14,2.381944444,1.111666667,0.8368707483,0.5243055556,0.3275384228,0.279691358,0.06779661017,0.01764550265,0.03737352224,44.06087177,26.52293225,-5.335498201,-0.6879556277,-3.256283525,0.4759143069,-1.995095772,0.2320451249,-0.6498553789,4.1,4.64,-5.53,0.0014,-5.34,0.00217,2.03e-07,201.41598195773886,245.30260010203597,231.11227112739994,-1.2919319774628075,244.82641286558825,0.22695854133709092,43.41360650704509,0.28661818470242445,0.04450462533999836,0.4569035562008763,69.36601698795545,13.672988843591291,-540.7248610267837,0.7428725516697977,6.696721519486951,459.3130844602716,53.64608705177471,0.2071282248223678,0.09197079123358529,1.2665090210801768,4.900868962037395,2.9435466707655946,5.4856801200151715,1.3131665073229375,1.0918343545207794,1.261646311076634,0.8532856009025318,-0.6391095096799433,0.10121646480351953,-0.5284310003423967,-0.016130514141774688,1.5579348657915713,1.5269408968495481,0.05489153190091334,1.6218932976396374,0.6261721718629546,-0.4779012351574228,2.578142872829287,1.575277657560314,0.054796970798875994,-6.570254140672432,13159.540177318922,0.38961782558776803,0.5712898298057159,0.13904460990047063,25.056881916902768,-175.9901170245997,-0.7235189565938618,-243.6556654113668,48.65392247865145,183.90033416164067,22.84826965670831,3.556850411506897,-1.6095484842082262,33.14593214585398,134.4863820818004,-18.57595798264086,5.544639833282033,-1.8972490617448763,21.29696900336991,3.561341219136054,48.40297094311042
2.483893655,4.469239665,4.78,2.96941358,151.4510451,53.31095679,-0.07638888889,13.36759567,80.33790092,-0.5423423379,0.0378510845,-0.06615637717,-0.05855874559,-0.02112203811,0.04529252885,1.213863074,0.5126343013,0.9620575943,0.9783379595,1.056533658,1.075158859,0.7036757073,0.997261901,0.8494276874,0.9891210266,0.8746046099,1.181391838,0.9977120468,1.137599562,0.9397990846,0.4923785496,0.9779936759,7.008272213,0.08888261617,0.3319273053,0.8317253847,0.3928227826,0.0963266143,0.0,0.4314657775,-0.1497476129,6.913494022,0.0,0.0,0.0,2.911211787,0.0,10.93236962,0.0,0.0,1.990367405,0.675,0.2096745819,1.023086584,0.8052083333,3.872862303,4.678508855,0.9064536459,49.6914278,19.77449303,4.794537184,12.2386844,14.79051451,27.6520576,0.0,0.0,19.24487844,17.13736782,12.13273414,14.45770443,5.718294693,0.0,2.445035208,11.76179079,89.13,1.763888889,0.7744444444,0.6157823129,0.4748795351,0.3817476064,0.2340740741,0.06944444444,0.01843915344,0.04718965172,52.09327347,32.99708002,-4.634639296,0.8024933896,-3.022810595,0.2962533188,-1.439853838,0.6692323693,-0.8539439372,3.47,5.51,-4.77,0.00715,-5.62,0.00101,3.07e-06,200.52500363577454,240.52976658988018,222.70381850368344,-1.0085502829229682,235.3117285232244,1.1750725950310617,37.155007823590225,0.2792437974799118,0.0245943271593127,0.24405136408304706,57.91071527480081,35.12808088603695,-289.41465791783787,0.7644218519504863,5.713113033802475,396.73152937823664,37.72271855110153,0.21066126184679643,0.19424321455072335,1.4343310286349578,4.40402271570017,2.5564474943289754,4.229573741096219,1.3719938221404322,1.2504481473623865,0.7433379192516183,1.0204741037616665,-0.44539454763114517,0.5399873714258757,-0.41952279341471654,0.07517643670729557,1.375002782239835,1.4100138100845256,0.05106030108038495,0.8643071644325799,0.4806290595327176,-0.5489389792608408,1.605990105466525,1.0336609859068056,0.06708120620616147,-10.329565993298722,13058.912994262217,0.01729100456065913,0.579147691798825,-0.13336437063835194,20.844724966051228,-195.6111754886225,-0.7404717344606142,37.31683116421114,71.2565711038081,160.90134518132487,28.60428879786327,37.95687650863559,-0.20543320988706654,59.67639518794043,122.90234657565217,-13.050736266921906,5.346628984294771,-2.736986321466511,13.014720576052602,3.297349803004817,54.79975300534859
2.434987024,4.391028702,4.367088608,2.718706048,150.6142273,48.92438563,-1.884688091,10.32970731,74.40034618,-0.269653478,-0.04586740534,-0.1096004394,-0.02482699162,-0.04657048201,0.03008587098,0.9975985884,0.5009480565,0.9552872861,0.8870872404,0.9861451049,0.8848363175,0.7564420335,1.340935981,0.9013067383,0.9820213868,0.9560249657,1.047841496,0.9832045458,0.9630119569,1.042534085,0.4040766798,0.9729522094,7.008271862,0.09015818944,0.1178511302,0.4939224973,0.2749716524,0.0761440227,0.0,0.4420487077,-0.01179028347,6.014776924,0.0,0.0,0.0,0.0,0.0,5.416356525,0.0,0.0,2.016593259,0.6339285714,0.1842839566,1.087213094,0.7942528736,3.5254445,4.756513858,0.7670480982,51.89864598,4.736862954,19.86117603,11.38785599,4.736862954,32.55544757,0.0,0.0,12.39012691,5.749511833,12.39368714,4.736862954,7.290200368,5.392220783,1.572168719,7.238886727,80.76,0.9930555556,0.8613888889,0.4194557823,0.3229520975,0.2262692114,0.112183642,0.06878306878,0.02153472222,0.04510615375,291.0594611,24.84350472,-3.220402971,1.250028196,-1.744620654,0.290697516,-1.358320487,0.3658094751,-0.713038085,2.78,4.79,-4.1,0.0294,-4.13,0.0273,1.26e-06,201.2622613940419,240.4723166495125,221.73676688186245,-0.7335222899140081,234.66334875067457,1.2754327381341457,37.575807779590065,0.2843606524705541,0.033686692395372406,0.2900907337380383,57.01363376891159,27.495563861813284,-322.84735993548793,0.75615742237574,5.359635157314226,371.3729481741281,48.996408113891604,0.2069262438328199,0.16639038682546411,1.3173581728033388,4.264331669695091,2.524196722723071,4.367771965535999,1.2735501009282753,1.1752264302368898,0.812930921359317,0.9394147387589946,-0.38095672572042694,0.4218725027743476,-0.4189037184458557,0.16893187743323823,1.3200303331095586,1.4156057445355155,0.10312563661044238,0.9955335443756539,0.5495910789256263,-0.43714924089727525,1.9112894032582142,1.2081452361887062,0.05729913291604158,-8.816049599996074,11561.990452369319,0.3863487357972265,0.44931533573266147,-0.009490226728931767,23.812622654648784,-185.55027555152284,-0.6860463540251946,-96.72985705560524,60.224252721748314,164.41868711454998,27.89311659159315,17.67218317545432,-0.7089103975992515,53.01777537212662,116.84113665606912,-16.181994336764717,5.384835443596641,-2.2962069539030203,14.772579310755297,3.070086929192159,47.821474814009235
