Molecule|SMILES|Formula_x|SpDiam_A|AATS3d|AATS2s|AATS3v|AATS1i|AATS2i|AATS3i|AATS4i|ATSC8dv|ATSC1d|ATSC8d|ATSC0i|AATSC0c|MATS1c|MATS2s|MATS7s|GATS1c|GATS2c|GATS5c|GATS7c|GATS8c|GATS2dv|GATS5dv|GATS7dv|GATS8dv|GATS1d|GATS3d|GATS5d|GATS6d|GATS7d|GATS8d|GATS2s|GATS6s|GATS6v|GATS3p|GATS5p|GATS1i|GATS6i|BCUTs-1h|BCUTs-1l|BCUTi-1h|BCUTi-1l|RPCG|Xch-6d|Xc-5d|Xc-3dv|Xc-4dv|AXp-1d|SsCH3|SdCH2|SdsCH|SsssCH|SaaNH|SdsN|SsOH|SssO|SdS|SaaS|SddssS|MINaasC|AETA_alpha|AETA_beta_ns_d|ETA_epsilon_5|ETA_dEpsilon_C|IC2|ZMIC2|PEOE_VSA1|PEOE_VSA2|PEOE_VSA3|PEOE_VSA6|PEOE_VSA7|PEOE_VSA11|SMR_VSA5|SMR_VSA6|SlogP_VSA2|SlogP_VSA3|EState_VSA1|EState_VSA2|EState_VSA3|EState_VSA6|VSA_EState7|AMID_C|TopoPSA(NO)|GGI5|GGI7|GGI8|GGI9|JGI3|TSRW10|TASA|Mor02m|Mor10m|Mor11m|Mor12m|Mor16m|Mor21m|Mor22m|Mor23m|iLOGP|Silicos-IT_Log_P|pIC50
2_a1|Fc1ccc(cc1)c1c(nc2n1CCC2)c1ccccn1|C17H14FN3|4.88992845|3.5|3.118376068|201.1764999|145.1110422|151.9787193|161.0443566|159.704181|58.10938776|7.356734694|6.515102041|78.85408391|0.01092948001|-0.4228638672|0.04183598966|0.05973679281|1.411474643|1.241301361|1.219414471|0.6687349069|0.3716833065|0.7565473178|1.120447178|0.8096902412|0.8543797543|0.6209929924|1.140831203|1.490126042|1.061273738|0.7725448536|0.6584189093|0.5427486526|0.6173003329|1.215961632|0.8648817852|0.993902228|1.075316709|0.8590237592|8.001917432|1.348828131|17.42477098|10.9520472|0.0919280896|0.5386030745|0.2823601614|0.4724481531|0.0|0.4302708267|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-0.2228733098|0.4755102041|0.02380952381|0.8102040816|-0.08059510478|4.396383461|24.15772897|4.567099648|4.983978521|9.374393569|6.066367068|42.81902403|0.0|19.38639965|0.0|14.53505669|12.96557803|0.0|5.817220841|0.0|6.196843572|3.869334425|1.70389011|30.71|0.5980555556|0.2777777778|0.1128826531|0.03|0.04318576389|71.27650742|426.9106324|18.49914231|0.9280222783|0.1966631146|1.065551657|0.2915168367|-0.144674288|-0.2651385864|-0.3662594047|2.69|4.0|5.236572006
7_a1|c1ccc(nc1)c1nc2n(c1c1ccc3c(c1)OCO3)CCC2|C18H15N3O2|4.920619776|3.712643678|3.060121766|209.4347232|144.8697502|152.8502441|157.4491661|156.5676654|-23.85872576|9.083102493|-1.879501385|60.51029278|0.02276401408|-0.4410545484|0.037220738|0.01980245561|1.438625798|1.254815702|0.7699262812|0.8808102807|1.053221326|0.881819731|1.050075232|0.9795867011|1.133609767|0.5477922078|1.234106583|1.359079402|1.057805643|0.944743083|0.873970474|0.9611229649|1.015676246|1.130421146|0.9089283728|1.015335348|1.304927117|1.070832173|3.517051553|1.348826331|14.5580823|10.9513015|0.1180634227|0.6899777895|0.3656934947|0.5273052045|0.0|0.4221844254|0.0|0.0|0.0|0.0|0.0|0.0|0.0|10.95591545|0.0|0.0|0.0|0.7944609263|0.4724637681|0.0|0.8188405797|-0.08784699454|4.523986066|26.86770968|14.04082556|4.983978521|4.983978521|6.066367068|36.75265697|11.49902367|19.38639965|6.792942306|21.327999|12.96557803|0.0|6.792942306|0.0|0.0|3.968240793|1.667782255|49.17|0.6047222222|0.2777777778|0.06627928949|0.02500771605|0.04205246914|75.06730801|440.1204641|22.80739312|1.238326648|0.4610090612|1.191031748|0.3948251619|-0.1704483677|-0.2986949644|-0.4033257034|2.83|3.43|6.337242168
8_a1 (SB-202620)|Fc1ccc(cc1)c1nc([nH]c1c1ccncc1)c1ccc(cc1)C(=O)O|C21H14FN3O2|4.814805348|3.704545455|4.194847021|232.4594881|144.7227279|147.5160065|153.9030889|158.3535104|43.6989887|6.431290898|3.530041642|88.14717408|0.02252518381|-0.6120048039|0.1186626501|0.114627386|1.517919242|0.6908396102|1.058018761|0.2821001767|0.8222143444|0.7661439631|1.006932066|0.7195069712|0.8656022048|0.7253674469|1.153148249|1.091151031|1.271914003|0.8754583856|0.7138913662|0.4849171343|0.3994307111|1.011461589|1.06469341|0.7548596531|0.9275797067|0.7937061844|8.001919869|1.432397384|17.42477227|10.94957568|0.1540712279|0.4353954059|0.441638319|0.6162743575|0.0|0.4371397847|0.0|0.0|0.0|0.0|3.296085365|0.0|9.054265439|0.0|0.0|0.0|0.0|-0.3155280302|0.4686067019|0.01851851852|0.805090312|-0.1042647296|4.315379908|33.19656922|10.09050592|4.983978521|14.16893075|12.13273414|48.53093655|0.0|0.0|0.0|26.02776825|0.0|5.969305288|11.38067233|11.51833249|36.65915542|3.372901092|1.64054541|78.87|1.202222222|0.2795493197|0.3567806752|0.275|0.03356481481|76.22777559|407.3670746|24.50755053|1.356765458|0.7668384381|1.623002601|0.5939711467|-0.0740671933|-0.1688572701|-0.7048237197|2.21|4.86|6.397940009
9_a1|Fc1ccc(cc1)c1nc([nH]c1c1ccncc1)c1ccc(cc1)C(=O)C|C22H16FN3O|4.814805348|3.630434783|3.528528529|229.2555462|143.8137918|148.3911564|153.9889948|156.88388|4.38831801|8.650621958|1.625743645|90.87374503|0.01271820306|-0.4833355777|0.01837599915|0.08860061291|1.379699805|0.9262783355|1.284585769|0.4636616931|0.9464013669|0.8243279905|0.9249283001|0.7850527796|0.9274281063|0.6934664461|1.173558601|1.034937888|1.259068149|0.9294713439|0.7177795031|0.5846769149|0.4106612094|0.9446103021|1.013637991|0.7939766727|0.9581243064|0.7678443509|8.001919505|1.432397289|17.42477216|10.94877277|0.09584756743|0.4353954059|0.441638319|0.6726928837|0.0|0.4371397847|1.537779396|0.0|0.0|0.0|3.358585365|0.0|0.0|0.0|0.0|0.0|0.0|-0.2918593912|0.4747795414|0.01851851852|0.7957482993|-0.08355659641|4.321987|32.63405351|4.983978521|9.778515705|9.374393569|24.26546827|43.32193961|5.783244946|6.9237372|0.0|20.73518051|0.0|0.0|11.60046579|11.38785599|36.65915542|3.428456648|1.703865908|58.64|1.202222222|0.2795493197|0.3567806752|0.275|0.03356481481|76.22777559|484.547771|24.19727328|1.153717328|0.9034625287|1.356030399|0.4882116712|-0.289756009|-0.1627215949|-0.716194481|2.66|5.86|5.22184875
11_a1|OC(=O)c1ccc(cc1)c1[nH]c(c(n1)c1ccc2c(c1)OCO2)c1ccccn1|C22H15N3O4|4.853817463|3.870967742|4.040764791|235.6658848|144.5439569|148.7065052|152.1736865|157.3046597|-11.42975207|8.123966942|-4.423553719|69.32119832|0.03207697787|-0.5636502535|0.1429251188|0.1111542013|1.510833507|0.9426219243|0.8760524954|0.5897973458|0.9025846082|0.8507194245|0.9633891101|0.9121528523|0.9637435766|0.6575212174|1.205641621|1.038191396|1.226953468|0.9583305193|0.9136084284|0.5224802162|0.4128385344|0.914509217|1.073839626|0.8199272774|1.095905021|1.021122069|7.008294851|1.430935838|14.55647172|10.94957487|0.1175519077|0.586770121|0.5249716524|0.652347798|0.0|0.4298991874|0.0|0.0|0.0|0.0|3.336151738|0.0|9.114944218|10.90025445|0.0|0.0|0.0|0.2233796721|0.4666666667|0.0|0.811827957|-0.1090785355|4.414564154|34.25659207|19.56423182|4.983978521|9.778515705|18.19910121|42.46456948|11.49902367|0.0|6.792942306|32.82071055|0.0|5.969305288|12.3563938|17.32342816|30.46231185|1.723140361|1.615142992|97.33|1.153333333|0.3229166667|0.3595600277|0.2493904321|0.03351449275|80.65955342|435.6973327|29.31488305|1.074122317|0.7380910885|1.602259196|0.4797615884|-0.2510199821|-0.1240451189|-0.8177436317|2.31|4.28|6.769551079
12_a1|N#Cc1ccc(cc1)c1[nH]c(c(n1)c1ccc2c(c1)OCO2)c1ccccn1|C22H14N4O2|4.852978103|3.887640449|3.501876877|237.6548291|143.6934201|148.22701|151.9976332|157.3721192|-3.98185941|7.653061224|-4.918367347|69.69803018|0.02303927909|-0.4870737722|-0.05438965816|0.05306328891|1.45882827|1.182526524|1.000220728|0.7925476826|0.8673836307|0.9054987981|0.9694505591|0.9731172148|0.9640498482|0.6162104133|1.204293245|1.144576224|1.265432099|0.9864618406|0.9510721248|0.672143842|0.5058055152|0.9185446458|1.061019811|0.8306773574|1.081907969|0.9939328315|6.027275696|1.430936075|14.56378354|10.94945122|0.09981804825|0.586770121|0.3583049857|0.6067042515|0.0|0.4316873246|0.0|0.0|0.0|0.0|3.389457436|0.0|0.0|10.92810365|0.0|0.0|0.0|0.6076389314|0.4738095238|0.0|0.7942528736|-0.09152046784|4.410905972|31.43174763|14.45770443|4.983978521|4.983978521|6.066367068|54.59730362|11.49902367|0.0|6.792942306|21.74487787|0.0|0.0|6.792942306|17.13736782|18.32957771|1.750975531|1.66738319|83.82|1.090833333|0.3229166667|0.3283100277|0.1693904321|0.02935606061|79.45611918|524.619363|28.1510087|0.7872086107|0.868660303|1.402044203|0.5441170775|-0.2649883083|-0.246643004|-0.764628785|2.72|4.87|5.530177984
3_a3|Nc1sc(c(n1)c1nccs1)c1ccnc2c1cccc2|C15H10N4S2|4.906947239|4.116666667|2.987421384|260.8185109|143.5536717|145.3246565|150.2568993|146.2381587|-1.775002891|7.598335068|3.055150884|60.3732225|0.0167388806|-0.599804962|-0.1197196038|-0.07960188916|1.58393888|0.7376386731|0.7953751871|1.103927897|1.103136588|0.9003552263|1.09584588|1.164197235|1.084880422|0.5551334925|1.158210332|1.217712177|1.231549815|0.9850348503|0.7019456558|0.9325971332|1.060716724|1.220991466|0.9451078014|1.074807339|0.9043208365|1.259870748|4.005273314|0.6050005136|14.55237825|10.31154314|0.1164339197|0.4420442044|0.3027494302|0.7129266205|0.0|0.4302708267|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.051544758|0.0|0.5519383031|0.5126984127|0.02380952381|0.7579710145|-0.09759281926|4.450659521|28.22793167|5.733667477|4.983978521|9.967957042|29.53588708|12.13273414|5.13155848|0.0|5.733667477|14.95193556|0.0|0.0|0.0|5.13155848|17.53362945|3.600377771|1.521881656|64.69|0.5730555556|0.1432468821|0.05921674225|0.006558641975|0.041015625|70.90527225|412.6731705|12.04494473|0.04834091165|0.2775847025|1.328669903|1.19815412|0.2214998877|-0.6025143542|-0.3664350506|2.39|5.0|5.929962133
4_a3|Nc1nc(c(s1)c1ccnc2c1cccc2)c1ccccc1F|C18H12FN3S|4.926665293|3.932432432|3.3468107|249.9786442|143.5946678|145.4059212|152.2057646|152.4566434|-14.76761905|8.488163265|1.565714286|83.36677966|0.01409895107|-0.6072386337|-0.02670373727|-0.1143776401|1.573693854|0.6211049462|1.049664916|1.294439015|1.141082675|0.7849154689|1.077461931|1.193010722|1.157987707|0.5973038864|1.128304735|1.265910194|1.288119144|1.058318196|0.7462912504|0.6409026574|0.7218430218|1.164055159|0.9573398227|1.33279839|0.8028274852|1.066461121|8.001917793|0.60501714|17.42477132|10.31162267|0.1133692921|0.4420442044|0.3864886488|0.7027192373|0.0|0.4321993632|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.35805839|0.0|-0.30795215|0.4921325052|0.04347826087|0.7712380952|-0.08496732026|4.028445159|32.78778218|5.733667477|4.983978521|9.374393569|41.66862122|24.26546827|5.13155848|0.0|5.733667477|9.967957042|0.0|0.0|5.817220841|16.38893797|24.39594478|1.748717876|1.660194215|51.8|0.8791666667|0.2621527778|0.1143864953|0.038125|0.04696637427|71.73738146|429.1424414|10.75902422|-0.3954789132|0.3002194933|1.692349156|0.3143011848|-0.1618161032|-0.1818265524|-0.5730146426|2.6|5.3|5.89997427
6_a3|Nc1nc(c(s1)c1ccnc2c1cccc2)c1ccc(cn1)Cl|C17H11ClN4S|4.913771694|3.971428571|3.09333759|258.0447071|143.9739518|146.0842685|151.6380716|149.2113874|-20.53116323|7.123702422|1.901384083|60.55942475|0.01503348894|-0.5943088524|-0.09716905219|-0.01475592122|1.577655479|0.7340575899|0.8730383952|1.158347712|1.051831294|0.9015856647|1.051737393|1.077322915|1.153044318|0.6381751853|1.07012233|1.203634757|1.163176446|1.01161103|0.8142235123|0.8886730673|1.219868386|1.13015878|1.005094507|1.210849983|0.9610720325|1.225628315|4.005274667|0.6050165637|14.55238461|10.3116226|0.1131187036|0.4420442044|0.3027494302|0.82952794|0.0|0.4315517958|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.447233796|0.0|0.507077192|0.5064182195|0.04347826087|0.7700952381|-0.09880952381|4.274183887|30.99869023|5.733667477|9.967957042|4.983978521|41.13682697|24.26546827|5.13155848|0.0|5.733667477|14.95193556|0.0|0.0|0.0|10.15419179|18.46005421|3.41022744|1.572415124|64.69|0.7991666667|0.3047052154|0.1385739481|0.0925|0.04147897898|71.68708612|477.0733678|20.25030454|-0.1937372504|0.9069631829|1.265458768|0.9853328887|-0.2352933237|-0.4711268904|-0.6125296875|2.65|4.96|5.750068243
9_a3|Nc1nc(c(s1)c1cccc2c1cccc2)c1ccccn1|C18H13N3S|4.90972599|3.810810811|2.956069959|243.2818867|142.4614202|143.9704743|149.9020112|148.335526|-29.91555556|8.52|1.44|59.86728489|0.01277709619|-0.6141702865|-0.0952369979|-0.1107754564|1.622947299|0.6652041742|0.8279465038|1.392104207|1.227069266|0.906020925|1.052880218|1.221047813|1.09564371|0.570622986|1.125206839|1.271316746|1.259435281|1.106181603|0.7109401138|0.8617703935|1.272580453|1.129280385|0.9407857705|1.197030362|0.8750258402|1.249029952|4.00527352|0.6050171284|14.55153766|10.31162238|0.1198964762|0.4607729437|0.3027494302|0.6593293144|0.0|0.4330599936|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.503799131|0.0|0.5588770786|0.5015151515|0.02272727273|0.7277777778|-0.05464052288|3.75859249|34.92864387|5.733667477|4.983978521|4.983978521|59.86772243|22.90518257|5.13155848|0.0|5.733667477|9.967957042|0.0|0.0|0.0|5.13155848|6.196843572|1.77554658|1.733026006|51.8|0.6880555556|0.1770833333|0.07306626354|0.0225|0.04206349206|70.43257471|474.7126932|14.31050003|0.1718755552|0.7108389548|1.330778704|0.8457273196|-0.1811691556|-0.3865220163|-0.5580243806|2.44|4.9|4.959991364
