pIC50,AATS2s,AATS3d,AATS3v,AATSC0c,ATSC0i,ATSC8d,AXp-1d,BCUTi-1h,BCUTi-1l,BCUTs-1h,BCUTs-1l,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA6,ETA_dEpsilon_C,GATS1c,GATS2dv,GATS3d,GATS3p,GATS5c,GATS5dv,GATS6d,GATS6i,GATS6v,GATS7c,GATS7d,GATS8d,GGI5,GGI8,GGI9,IC2,JGI3,MATS1c,MATS2s,MINaasC,Mor10m,Mor11m,Mor12m,Mor16m,Mor21m,Mor22m,Mor23m,PEOE_VSA11,PEOE_VSA2,PEOE_VSA3,PEOE_VSA7,SMR_VSA5,SMR_VSA6,SaaNH,SdCH2,SdS,SdsCH,SdsN,Silicos-IT_Log_P,SsCH3,SsOH,SsssCH,TASA,TSRW10,VSA_EState7,Xc-4dv,Xc-5d,Xch-6d,iLOGP
7.522878745,3.390909091,3.787878788,228.5324078,0.01397489853,58.36712249,-1.061523438,0.4339923432,14.69085683,10.96965878,3.05962641,1.43179288,0.0,0.0,0.0,12.39368714,-0.08899521531,1.182327592,0.841361097,1.230805161,0.8922283984,1.133463905,1.126852886,1.071025181,1.118539237,1.075745611,0.9915227988,0.9369451056,0.9323746417,0.4377777778,0.06701152683,0.026875,3.924800876,0.02517361111,-0.2495754875,-0.1658202617,0.7975373205,0.5432375962,0.4682079224,1.737758926,0.5708497276,0.06138746374,-0.2431574667,-0.6661725059,0.0,15.06663885,4.983978521,36.39820241,0.0,0.0,2.897754472,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0,416.4490182,68.744902,5.362040921,0.0,0.2749716524,0.3895195512,1.81
7.769551079,2.954467354,3.495652174,217.3192547,0.01425164682,91.83830858,-3.561728395,0.430390951,14.63947554,10.94639828,3.057290442,1.434148518,0.0,0.0,6.544756406,11.34744789,-0.06522875817,1.611680411,0.9092731438,1.151004193,1.033133869,1.040639598,0.8658313908,0.9045160161,1.009188059,0.9200111328,1.191607552,1.0505197,0.9986234191,0.7225,0.2902730537,0.291882716,4.671011113,0.03732638889,-0.5025169592,0.2016279898,0.8381679894,0.8716442058,1.131052016,1.432149594,0.4188119352,-0.2513881744,-0.1137559505,-0.7600180486,0.0,4.983978521,14.98529578,62.23960296,27.315968,5.316788604,3.480510519,0.0,0.0,7.445865085,4.228406519,3.76,6.223711232,0.0,0.0,633.9944889,82.90283416,8.24322367,0.0,0.441638319,0.5652352563,0.0
7.30980392,2.771579431,3.412903226,199.2136073,0.01574823075,100.4224909,5.06122449,0.4292459108,14.69239096,10.92970797,7.008272534,1.343850104,0.0,12.51406169,5.749511833,6.196843572,-0.08553201185,1.323837456,0.9806644077,1.166666667,0.8918131867,1.156991004,1.03404136,1.230992351,0.9898505025,0.9714662444,0.8634870136,0.9107292747,0.7517199612,1.271388889,0.3522297808,0.204382716,4.808618766,0.03675766284,-0.2751540405,0.0149525344,0.6479740833,1.32652771,0.378965901,1.896691312,-0.01702475692,-0.4200626083,-0.06707575848,-0.712726534,6.606881965,19.44429716,0.0,55.78460206,19.38639965,39.83357957,0.0,0.0,0.0,0.0,0.0,3.31,2.075821541,0.0,0.0,664.6460842,87.87697752,5.730236915,0.0,0.5136135945,0.674685838,3.66
8.049635146,3.62988993,3.656565657,232.6788054,0.01549032751,128.7701358,-4.259393391,0.4299099009,17.42581788,10.31162892,8.002961739,0.6049847703,11.63444168,6.544756406,10.69500997,5.008912524,-0.1201982331,1.543132941,0.8361575094,1.005928527,0.9731639697,0.8777650361,1.156148328,1.023757817,0.8122309652,0.9065858464,1.003565555,1.079192979,1.022153181,0.6669444444,0.3023904006,0.324691358,4.81512316,0.04609929078,-0.5376742661,0.03598751821,-0.6088775295,0.02029542686,0.5423020925,1.683786806,0.1203656052,-0.008272208518,-0.451531824,-0.5396658437,5.13155848,4.983978521,23.76612587,42.82867707,13.46849361,5.316788604,0.0,0.0,0.0,7.237568955,4.181762676,4.67,1.925263429,0.0,0.0,521.4002569,82.88111178,7.98291635,0.0,0.2749716524,0.5652352563,0.0
7.946921557,2.999367842,3.555555556,224.5095143,0.01349493528,84.79436911,-9.028972386,0.4320955403,14.63943665,10.31162903,3.05728196,0.6049850547,0.0,0.0,0.0,22.68423376,-0.07265173645,1.605557444,0.9369893347,1.023674242,0.9762742353,1.024601083,0.9958392936,1.094129555,0.9524748865,0.8710982429,1.249043924,1.231608073,1.16734782,0.6669444444,0.2398904006,0.164691358,4.533861863,0.03294573643,-0.5367914382,0.02063624676,0.8618948413,0.02180851767,1.06425679,0.742252457,0.2511484296,-0.0101566461,-0.2890510852,-0.5864022038,5.13155848,4.983978521,14.98529578,30.69594294,13.46849361,5.316788604,0.0,0.0,0.0,7.557686138,4.228838311,3.84,1.991639716,0.0,0.0,611.7259744,80.46990232,8.373354593,0.0,0.2749716524,0.5992559472,0.0
7.769551079,3.503875969,3.277227723,208.1079645,0.01444978724,87.07591279,-6.315074694,0.4338265007,14.55717173,10.31100078,7.014207891,0.2980105395,10.02329115,12.29761001,12.24522612,11.33678588,-0.1289248763,1.614372904,0.6900152619,1.000684215,0.8750426108,1.123802496,1.113730073,0.984142107,1.047052377,0.9668929306,1.266936745,1.179139566,1.090948227,0.6838888889,0.377196712,0.3087654321,5.038319437,0.04565972222,-0.586122949,0.2900007613,0.5573450491,-0.0630462131,0.5465229577,0.3952347066,0.997304713,-0.1030917389,-0.8665326994,-0.7572712575,0.0,0.0,28.09182741,25.47729296,26.81305243,5.752853607,3.2902303,0.0,0.0,0.0,0.0,5.4,3.775986215,0.0,0.0,553.5748055,80.42540071,0.5667098363,0.07216878365,0.2749716524,0.5997530532,2.48
4.101933339,3.887860082,3.909090909,235.7354696,0.02916173558,74.48233525,-4.850661626,0.4298292218,14.69241021,10.94951956,7.009368063,1.401734117,5.907179729,12.3522092,39.70116891,48.66141305,-0.1140752033,1.486387289,0.8517541176,1.255180989,1.070056407,0.8945637726,1.002873503,1.179711246,0.9139932815,0.8907468047,0.9311638669,0.995130575,0.9114280033,1.288888889,0.3908100277,0.2493904321,4.540534109,0.04722222222,-0.4949766607,0.04521201485,0.3604620607,1.42947192,0.2597373308,2.106107968,0.331449438,-0.2853101583,-0.1876807207,-0.6818815627,11.49902367,19.6717347,4.681802935,54.59730362,0.0,6.792942306,3.172627551,0.0,0.0,0.0,0.0,3.13,0.0,0.0,0.0,465.1469369,82.10710869,1.636103324,0.0,0.6297166902,0.634753638,2.75
5.958607315,3.00719246,3.65,219.6874826,0.01411582004,97.66969536,-2.948400967,0.4287931716,14.69237363,10.92966136,7.008273069,1.343837143,0.0,5.907179729,17.06247516,37.3248314,-0.07446040144,1.358289805,0.8419966176,1.142888526,0.9663319512,0.9526759143,0.9947445943,0.959038262,1.018159063,1.063490339,0.8002199202,0.9735691448,0.8822129467,1.111666667,0.3275384228,0.279691358,4.724777947,0.03904826958,-0.3566992165,0.05049341764,0.6198719781,1.678773877,0.4759143069,2.497010411,0.2320451249,-0.316712198,-0.2635333507,-0.6498553789,0.0,19.44429716,0.0,79.06876542,19.38639965,14.09534397,0.0,0.0,0.0,0.0,0.0,4.64,3.47790223,0.0,0.0,685.2884189,89.06078288,5.714453295,0.0,0.6844375989,0.674685838,4.14
6.823908741,3.33240023,3.595959596,222.4636425,0.02566272021,80.33790092,-0.07638888889,0.4314657775,14.55672932,10.31169772,7.008272213,0.6101356715,0.0,19.24487844,17.13736782,12.13273414,-0.1062627033,1.56315811,0.9127178814,1.130891,0.9196415132,0.9032349666,0.9620575943,1.056533658,1.137599562,1.019999973,1.186500644,1.075158859,1.010149254,0.7744444444,0.3817476064,0.2340740741,4.678508855,0.04008838384,-0.5423423379,0.0378510845,0.6072428409,1.143065544,0.2962533188,0.6041077112,0.6692323693,-0.03222247175,-0.5703335731,-0.8539439372,11.49902367,4.794537184,9.967957042,37.25557254,13.46849361,6.792942306,3.348289714,0.0,0.0,0.0,0.0,5.51,1.952277995,0.0,0.0,558.7091708,82.76115118,0.0,0.0,0.3928227826,0.7018151258,2.78
7.602059991,3.312236287,3.505263158,220.3603927,0.0170240073,74.40034618,-1.884688091,0.4420487077,14.69084662,10.94877953,7.008271862,1.427567332,0.0,12.39012691,5.749511833,12.39368714,-0.08759305211,1.189782636,0.9801925041,1.133281192,0.9509612956,0.8964784221,0.9552872861,0.9861451049,0.9630119569,1.072108108,0.8070235967,0.8848363175,0.9963375232,0.8613888889,0.2262692114,0.112183642,4.756513858,0.02422086721,-0.269653478,-0.04586740534,0.6549790798,1.258085386,0.290697516,1.450149492,0.3658094751,-0.2063855443,-0.1551051709,-0.713038085,5.783244946,19.86117603,0.0,61.01812524,6.9237372,6.606881965,2.930680267,0.0,0.0,0.0,0.0,4.79,1.498885423,0.0,0.0,562.6658015,76.78218309,5.392220783,0.0,0.2749716524,0.4048115028,2.14
7.397940009,2.956622383,3.574074074,222.1989868,0.01506305891,93.37712654,-3.75,0.4340286995,14.63947534,10.33556631,3.057289002,0.6294009932,0.0,0.0,6.544756406,23.10933284,-0.07507002801,1.593991991,0.8511665696,1.134920635,0.9628516802,0.9144295364,0.8903736318,1.015037594,0.9921134398,0.8928851384,1.424769528,1.115763547,1.033163265,0.785,0.2590230537,0.211882716,4.930457026,0.03147163121,-0.4995143091,0.185352577,0.8342003916,0.2683412712,1.008356152,1.69991549,0.3656077369,-0.4620515532,-0.02110102187,-0.7394638663,0.0,4.983978521,14.98529578,55.6537289,18.36397708,11.57255779,3.472952911,0.0,0.0,7.43851296,4.225979082,3.33,4.061561316,0.0,0.0,641.8043703,82.788247,10.30863816,0.0,0.2749716524,0.5805272079,0.0
