SpDiam_A,AATS3d,AATS2s,AATS3v,AATS1i,AATS2i,AATS3i,AATS4i,ATSC8dv,ATSC1d,ATSC8d,ATSC0i,AATSC0c,MATS1c,MATS2s,MATS7s,GATS1c,GATS2c,GATS5c,GATS7c,GATS8c,GATS2dv,GATS5dv,GATS7dv,GATS8dv,GATS1d,GATS3d,GATS5d,GATS6d,GATS7d,GATS8d,GATS2s,GATS6s,GATS6v,GATS3p,GATS5p,GATS1i,GATS6i,BCUTs-1h,BCUTs-1l,BCUTi-1h,BCUTi-1l,RPCG,Xch-6d,Xc-5d,Xc-3dv,Xc-4dv,AXp-1d,SsCH3,SdCH2,SdsCH,SsssCH,SaaNH,SdsN,SsOH,SssO,SdS,SaaS,SddssS,MINaasC,AETA_alpha,AETA_beta_ns_d,ETA_epsilon_5,ETA_dEpsilon_C,IC2,ZMIC2,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA11,SMR_VSA5,SMR_VSA6,SlogP_VSA2,SlogP_VSA3,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA6,VSA_EState7,AMID_C,TopoPSA(NO),GGI5,GGI7,GGI8,GGI9,JGI3,TSRW10,TASA,Mor02m,Mor10m,Mor11m,Mor12m,Mor16m,Mor21m,Mor22m,Mor23m,iLOGP,Silicos-IT_Log_P,SpMax_A,VE1_A,AATS8dv,AATS8s,ATSC1dv,ATSC0p,MATS3s,MATS6s,MATS8s,GATS4c,GATS1dv,GATS3s,GATS2v,GATS3v,GATS1p,GATS6p,GATS3i,GATS8i,BCUTc-1h,BCUTd-1l,Xch-5d,Xch-7d,Xc-5dv,Xc-6dv,SdssC,SaasC,SaaaC,SssssC,SsNH2,SssNH,MAXaaCH,AETA_beta_s,AETA_eta_L,AETA_eta_F,IC1,CIC2,ZMIC1,PEOE_VSA9,SlogP_VSA1,SlogP_VSA10,EState_VSA9,VSA_EState3,VSA_EState8,MDEC-33,GGI3,GGI6,JGI2,JGI5,FPSA3,RPCS,Mor03m,Mor06m,Mor08m,Mor13m,XLOGP3,ESOL_Log_S,ESOL_Solubility_(mg/ml),Ali_Log_S,Ali_Solubility_(mg/ml),Silicos-IT_Solubility_(mg/ml),AATS5d,AATS6i,AATS7s,AATSC0v,ATSC7d,AXp-0d,CIC1,EState_VSA4,EState_VSA5,ETA_dAlpha_B,ETA_dEpsilon_D,GATS1v,GATS2d,GATS2i,GATS3c,GATS3dv,GATS4dv,GATS4i,GATS4s,GATS5i,GATS6dv,GATS7i,GATS7p,JGI4,MLOGP,MOMI-Z,Mor26m,Mor30m,Mor31m,PEOE_VSA4,RNCG,RNCS,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA9,SdO,SlogP_VSA4,SssS,VSA_EState9
4.839461542,3.787878788,3.390909091,228.5324078,147.1796749,150.6171579,157.7127406,157.5471253,-4.77734375,5.948242188,-1.061523438,58.36712249,0.01397489853,-0.2495754875,-0.1658202617,0.0172003215,1.182327592,1.246185255,1.133463905,0.9915227988,0.8710952174,0.841361097,1.126852886,1.037747837,1.054312577,0.5734104046,1.230805161,1.083108542,1.071025181,0.9369451056,0.9323746417,1.028766213,1.014141547,1.075745611,0.8922283984,1.00979996,1.072004703,1.118539237,3.05962641,1.43179288,14.69085683,10.96965878,0.1271728419,0.3895195512,0.2749716524,0.3862693728,0.0,0.4339923432,0.0,0.0,0.0,0.0,2.897754472,0.0,0.0,0.0,0.0,0.0,0.0,0.7975373205,0.4761904762,0.0,0.7727272727,-0.08899521531,3.924800876,32.27661356,0.0,15.06663885,4.983978521,6.066367068,36.39820241,0.0,0.0,0.0,25.14929918,0.0,0.0,0.0,0.0,12.39368714,5.362040921,1.614035966,67.35,0.4377777778,0.1771187642,0.06701152683,0.026875,0.02517361111,68.744902,416.4490182,18.1625912,0.5432375962,0.4682079224,1.737758926,0.5708497276,0.06138746374,-0.2431574667,-0.6661725059,1.81,3.42,2.443940753,4.178208277,4.048780488,2.760162602,26.32421875,6.670138466,0.07415431724,-0.06752133943,0.03554139831,0.9134624341,0.4987709497,0.9485281798,0.9234438227,0.8775167219,0.8532366153,1.082922621,0.9820893794,0.8725859419,0.4025161837,1.734391607,0.1178511302,0.54401925,0.06587175382,0.0,0.0,3.400490783,1.742872103,0.0,0.0,0.0,1.965147392,0.6666666667,0.1705503255,1.008816529,2.925608112,1.075199124,48.09388221,22.42125742,0.0,0.0,0.0,7.197510865,0.0,6.238979992,0.8055555556,0.2277097506,0.06734006734,0.01683760684,0.04752837564,208.0356705,-1.931001647,0.6398500192,-1.096148384,-1.045147515,1.79,-3.27,0.147,-2.82,0.411,4.07e-05,3.483333333,159.3377075,2.905228758,46.0281797,-1.129882813,0.670033492,2.074391888,33.67863691,0.0,0.02380952381,0.02251082251,0.766774918,0.9904361534,1.268281717,0.9519083427,1.039106145,1.133780261,1.009621081,1.023417011,1.017370614,1.048661144,0.8791572019,0.9741106142,0.03471264368,0.93,1055.345577,0.03312699174,0.2107422011,-0.03921840821,5.098681808,0.1909963421,53.53846282,0.0,25.14929918,0.0,22.64523548,0.0,0.0,0.0,0.0
4.848826338,3.495652174,2.954467354,217.3192547,148.4885439,154.9564336,156.9974297,159.1825006,-36.0,14.91975309,-3.561728395,91.83830858,0.01425164682,-0.5025169592,0.2016279898,0.03522916934,1.611680411,1.121534753,1.040639598,1.191607552,1.130587517,0.9092731438,0.8658313908,1.012285554,1.05482794,0.6401190268,1.151004193,0.9995704803,0.9045160161,1.0505197,0.9986234191,0.7223819476,1.089970161,0.9200111328,1.033133869,0.9365699445,1.273040708,1.009188059,3.057290442,1.434148518,14.63947554,10.94639828,0.09344475674,0.5652352563,0.441638319,0.9619196634,0.0,0.430390951,6.223711232,0.0,7.445865085,0.0,3.480510519,4.228406519,0.0,0.0,0.0,0.0,0.0,0.8381679894,0.4774193548,0.01612903226,0.7606060606,-0.06522875817,4.671011113,30.15823057,10.30076712,4.983978521,14.98529578,18.20875424,62.23960296,0.0,27.315968,5.316788604,26.29938345,6.544756406,0.0,0.0,6.544756406,11.34744789,8.24322367,1.607335694,83.3,0.7225,0.5755385488,0.2902730537,0.291882716,0.03732638889,82.90283416,633.9944889,29.42344251,0.8716442058,1.131052016,1.432149594,0.4188119352,-0.2513881744,-0.1137559505,-0.7600180486,0.0,3.76,2.479157266,4.547174271,4.033898305,2.642655367,88.0,11.85822227,-0.1131975417,0.0005662273498,0.007790212621,1.196503118,0.4638192268,1.120536096,0.8342492746,1.042052105,0.9915273299,0.9082556436,1.055806262,1.040191426,0.3960615043,0.9925253549,0.2140761751,0.933003347,0.1469872085,0.0,0.9490615476,7.994668476,0.0,0.0,0.0,3.467632958,2.153620492,0.6693548387,0.219804709,0.9860002839,3.703354099,1.083876389,51.59183433,23.62654039,10.74258,5.687386275,9.967957042,5.222065127,6.799987372,10.43192897,1.791666667,0.6540136054,0.07111111111,0.01680232558,0.04146533037,82.66757944,-3.419458659,1.197715931,-2.414231418,-1.607888217,3.41,-4.6,0.0102,-4.54,0.0117,1.86e-05,3.1,162.2429162,2.559964727,49.59307996,-3.944444444,0.6894086529,2.051533403,46.02638289,11.12690298,0.02258064516,0.02971652004,0.8958941687,1.206499555,1.139197924,1.080107949,1.159156785,0.9698135198,1.157269144,1.086212904,1.051461552,0.964559387,0.9631379061,0.9130021825,0.04625322997,2.45,2149.026985,-0.1455482031,0.2472222515,-0.08074258167,5.425791397,0.1597759284,28.92047703,0.0,25.38663948,4.992404733,11.38785599,0.0,26.93698721,0.0,0.0
5.008635141,3.412903226,2.771579431,199.2136073,147.0960267,156.9133286,159.3784206,157.5531245,44.47039557,15.40816327,5.06122449,100.4224909,0.01574823075,-0.2751540405,0.0149525344,-0.09930677768,1.323837456,1.525928202,1.156991004,0.8634870136,0.7638778965,0.9806644077,1.03404136,1.05066548,0.8370136266,0.6308139535,1.166666667,1.081395349,1.230992351,0.9107292747,0.7517199612,0.6749311295,1.164763093,0.9714662444,0.8918131867,0.8462198513,1.403119844,0.9898505025,7.008272534,1.343850104,14.69239096,10.92970797,0.09868344179,0.674685838,0.5136135945,1.009607632,0.0,0.4292459108,2.075821541,0.0,0.0,0.0,0.0,0.0,0.0,5.882335879,0.0,0.0,0.0,0.6479740833,0.4733333333,0.01428571429,0.8123809524,-0.08553201185,4.808618766,32.60149878,14.53668242,19.44429716,0.0,6.066367068,55.78460206,6.606881965,19.38639965,39.83357957,75.28902055,17.76011521,0.0,12.51406169,5.749511833,6.196843572,5.730236915,1.623732213,76.38,1.271388889,0.4444444444,0.3522297808,0.204382716,0.03675766284,87.87697752,664.6460842,22.92103684,1.32652771,0.378965901,1.896691312,-0.01702475692,-0.4200626083,-0.06707575848,-0.712726534,3.66,3.31,2.553610548,4.432197729,2.90625,2.304340278,92.22650542,14.09195414,0.03047550106,-0.07990210193,0.02910676718,0.847141121,0.4862824265,0.9650771388,0.8483989624,0.9219519721,1.121394396,0.9506064234,0.8817956871,0.9929475273,0.4424941269,0.9779932935,0.1964185503,1.030935911,0.1629577072,0.0,0.02347896387,5.902849627,1.863045777,0.0,0.0,0.0,2.057913278,0.6857142857,0.2333987871,1.04224639,3.576391666,1.168661157,55.51302955,11.21062871,4.736862954,0.0,9.835544762,5.95607603,4.250004265,11.53929686,2.131944444,0.6679365079,0.0701754386,0.02154896422,0.04001368536,41.41371798,-5.036230522,0.5193297199,-3.467645881,-1.815896137,2.43,-4.32,0.0222,-3.68,0.0986,2.22e-05,3.192546584,158.8478566,2.72965322,49.7950503,-9.326530612,0.6793555896,2.400888257,78.98310918,5.693927995,0.02666666667,0.0,0.9779248369,1.112178871,1.113994028,1.070675212,1.05437614,0.9163391735,1.067310969,1.238605335,0.9847424485,1.276869149,1.094123157,1.217212024,0.03654545455,1.29,2724.205579,-0.1774301966,0.2023129633,-0.08977036296,5.098681808,0.1835222894,49.45199308,9.531400138,29.54826125,0.0,28.26427081,12.58338543,0.0,0.0,2.075821541
4.84886367,3.656565657,3.62988993,232.6788054,147.8576336,153.9753421,158.8206985,159.1756787,20.05890046,7.349932096,-4.259393391,128.7701358,0.01549032751,-0.5376742661,0.03598751821,0.05164021434,1.543132941,0.9282329246,0.8777650361,1.003565555,0.9305926229,0.8361575094,1.156148328,0.8524908636,0.8295561501,0.7401305247,1.005928527,1.06519121,1.023757817,1.079192979,1.022153181,0.5778282529,0.7262785625,0.9065858464,0.9731639697,1.092928705,0.9748353851,0.8122309652,8.002961739,0.6049847703,17.42581788,10.31162892,0.09759523029,0.5652352563,0.2749716524,0.9822172901,0.0,0.4299099009,1.925263429,0.0,7.237568955,0.0,0.0,4.181762676,0.0,0.0,0.0,1.440856245,0.0,-0.6088775295,0.4775729647,0.04838709677,0.8404761905,-0.1201982331,4.81512316,31.83179984,5.316788604,4.983978521,23.76612587,23.47917305,42.82867707,5.13155848,13.46849361,5.316788604,21.31540493,6.544756406,11.63444168,6.544756406,10.69500997,5.008912524,7.98291635,1.493307708,67.51,0.6669444444,0.5130385488,0.3023904006,0.324691358,0.04609929078,82.88111178,521.4002569,27.48782268,0.02029542686,0.5423020925,1.683786806,0.1203656052,-0.008272208518,-0.451531824,-0.5396658437,0.0,4.67,2.47919456,4.548122311,5.666666667,3.126075571,53.14073739,13.12962953,-0.1386815457,-0.09491617076,0.009572478241,1.081111078,0.4474048177,1.065779493,0.8361368736,0.9995091245,0.8367681157,1.076638462,1.02585155,0.8781389542,0.4070083021,0.9929188504,0.2140761751,0.933003347,0.1146045727,0.0,0.9154223356,3.154837548,0.0,0.0,0.0,3.174007937,1.934558389,0.6693548387,0.2165514338,1.022102659,3.861316321,0.7394656915,52.38439031,10.57107519,10.74258,13.91238858,4.983978521,5.495451352,2.165769906,10.56715887,2.166666667,0.696462585,0.05777777778,0.01551033592,0.04023394184,79.1519404,-4.410404488,0.6940619003,-2.541873193,-1.006514612,4.07,-5.17,0.00291,-5.49,0.00141,3e-05,3.663157895,159.3611707,3.250192901,46.71643133,-8.112267995,0.6894086529,1.69327253,39.76417839,29.80805538,0.02242703533,0.01743471582,0.798112485,1.054700227,0.9969757034,1.112338751,1.054996823,0.9206167476,0.998355379,0.5752820316,0.9139402322,1.012158678,0.9322048309,1.419179299,0.04419753086,3.58,2190.410097,0.01526404539,0.1169361086,0.348906912,5.425791397,0.1578605564,34.55648829,8.780830095,20.40266096,4.992404733,11.38785599,0.0,24.72395449,0.0,0.0
4.84846034,3.555555556,2.999367842,224.5095143,146.1688725,151.8999972,154.9795386,156.3238166,-37.40058347,9.372566772,-9.028972386,84.79436911,0.01349493528,-0.5367914382,0.02063624676,0.1425932307,1.605557444,1.026886441,1.024601083,1.249043924,0.9545634688,0.9369893347,0.9958392936,0.998869326,1.063139687,0.6449464654,1.023674242,1.141637812,1.094129555,1.231608073,1.16734782,0.9153877665,1.319684022,0.8710982429,0.9762742353,1.110864233,1.134596526,0.9524748865,3.05728196,0.6049850547,14.63943665,10.31162903,0.1044982807,0.5992559472,0.2749716524,0.8562291324,0.0,0.4320955403,1.991639716,0.0,7.557686138,0.0,0.0,4.228838311,0.0,0.0,0.0,1.619959136,0.0,0.8618948413,0.4908045977,0.01724137931,0.7755555556,-0.07265173645,4.533861863,33.13142796,5.316788604,4.983978521,14.98529578,53.8110084,30.69594294,5.13155848,13.46849361,5.316788604,21.31540493,6.544756406,0.0,0.0,0.0,22.68423376,8.373354593,1.590019291,67.51,0.6669444444,0.5130385488,0.2398904006,0.164691358,0.03294573643,80.46990232,611.7259744,27.64460032,0.02180851767,1.06425679,0.742252457,0.2511484296,-0.0101566461,-0.2890510852,-0.5864022038,0.0,3.84,2.478793984,4.473770881,4.373737374,2.677141788,51.29797294,12.85516249,-0.06348175292,-0.1557494756,0.02832576314,1.121246232,0.5385371777,1.044931333,0.8623184619,0.9781826456,0.8383316469,1.090015135,1.041303052,0.9772727927,0.3973278676,0.9938424863,0.2140761751,0.8209768448,0.1146045727,0.0,1.03385855,5.822983486,0.0,0.0,0.0,3.452896825,2.100379751,0.6637931034,0.2218733688,0.9457569232,3.584304619,1.020726988,54.57724258,10.57107519,10.74258,5.13155848,9.967957042,6.092148815,2.710479527,8.195794628,1.416666667,0.5331972789,0.05797101449,0.01626693767,0.04288710874,77.31421802,-4.026870123,1.723809373,-2.790862041,-1.106356984,3.87,-4.85,0.0056,-5.28,0.00208,9.21e-05,3.578947368,157.2717485,2.741319444,50.00811246,-12.12222725,0.676937285,1.970284233,45.37412621,5.563451492,0.009195402299,0.01639846743,0.8116679997,1.060349952,1.089059077,1.078594065,1.030801425,1.000633914,1.170314379,1.117571291,1.094716697,1.107449855,1.150832861,1.426756814,0.04016666667,2.82,2090.935854,-0.1276427752,0.275387375,0.1799467116,5.425791397,0.1690279862,25.43902669,0.0,20.40266096,4.992404733,11.38785599,0.0,13.08951281,0.0,0.0
4.832911472,3.277227723,3.503875969,208.1079645,145.2487057,152.868582,159.4887652,159.1539262,-29.56375434,9.655047533,-6.315074694,87.07591279,0.01444978724,-0.586122949,0.2900007613,-0.00825629086,1.614372904,0.9604905337,1.123802496,1.266936745,0.8037005729,0.6900152619,1.113730073,1.01977527,1.024165362,0.8642140921,1.000684215,0.9688840899,0.984142107,1.179139566,1.090948227,0.5549929326,0.867564984,0.9668929306,0.8750426108,0.7973955805,1.235389404,1.047052377,7.014207891,0.2980105395,14.55717173,10.31100078,0.09732883382,0.5997530532,0.2749716524,1.388101507,0.07216878365,0.4338265007,3.775986215,0.0,0.0,0.0,3.2902303,0.0,0.0,0.0,0.0,3.097591329,-3.309492663,0.5573450491,0.505952381,0.0,0.8177777778,-0.1289248763,5.038319437,32.01007426,4.983978521,0.0,28.09182741,12.99010427,25.47729296,0.0,26.81305243,5.752853607,34.10656467,16.56804756,10.02329115,12.29761001,12.24522612,11.33678588,0.5667098363,1.33570882,100.63,0.6838888889,0.6180909864,0.377196712,0.3087654321,0.04565972222,80.42540071,553.5748055,31.92182127,-0.0630462131,0.5465229577,0.3952347066,0.997304713,-0.1030917389,-0.8665326994,-0.7572712575,2.48,5.4,2.484687723,4.465964913,3.336805556,2.984889403,40.64373019,18.31808442,-0.1435173172,-0.06774345629,0.05612796893,1.379687663,0.5942320026,1.24442414,0.8799382887,0.8872348941,1.004882607,0.9993169796,0.8627145148,1.033896445,0.4236308734,0.9715724923,0.3319273053,0.7727998196,0.1110709264,0.0,0.0,4.810712649,2.033356859,0.0,0.0,2.603917549,2.064991772,0.6517857143,0.2480447407,0.9154599937,4.019717246,0.516269415,42.41603426,33.71869792,4.722094864,0.0,0.0,2.777683976,3.889570084,9.398776366,1.826388889,0.7741950113,0.07407407407,0.01709722222,0.03412516047,0.0,-5.022537656,2.999491374,-3.176877805,-0.7121389858,3.14,-4.55,0.0123,-6.28,0.000225,1.1e-05,3.416666667,157.7594281,2.676363169,52.50692735,-11.58352196,0.7044787097,1.534871606,37.86947981,11.33678588,0.0,0.03698412698,0.8560129174,1.055996723,1.161301083,1.086684958,1.098187506,1.127793592,1.091583973,1.359429241,0.9953751712,1.095390632,1.033303929,0.83412925,0.04195833333,0.41,3010.037212,-0.5432106613,-0.2624602182,0.2054449263,0.0,0.1565948713,23.49708368,8.417796984,24.65800895,0.0,21.95893118,23.97426797,6.9237372,0.0,-3.309492663
4.902346148,3.909090909,3.887860082,235.7354696,147.1889596,150.5716193,153.1917434,157.0609274,27.17013233,10.59924386,-4.850661626,74.48233525,0.02916173558,-0.4949766607,0.04521201485,-0.01119422128,1.486387289,1.046260393,0.8945637726,0.9311638669,0.7987170989,0.8517541176,1.002873503,0.9475536428,0.891158381,0.6291793313,1.255180989,1.065315004,1.179711246,0.995130575,0.9114280033,0.5904261633,1.203174491,0.8907468047,1.070056407,0.89836922,1.035286165,0.9139932815,7.009368063,1.401734117,14.69241021,10.94951956,0.0952698347,0.634753638,0.6297166902,0.7090739295,0.0,0.4298292218,0.0,0.0,0.0,0.0,3.172627551,0.0,0.0,10.86650503,0.0,0.0,0.0,0.3604620607,0.4644444444,0.01666666667,0.8050505051,-0.1140752033,4.540534109,33.15744284,15.20739338,19.6717347,4.681802935,6.066367068,54.59730362,11.49902367,0.0,6.792942306,27.4645853,0.0,5.907179729,12.3522092,39.70116891,48.66141305,1.636103324,1.557415785,112.23,1.288888889,0.4756944444,0.3908100277,0.2493904321,0.04722222222,82.10710869,465.1469369,27.90289226,1.42947192,0.2597373308,2.106107968,0.331449438,-0.2853101583,-0.1876807207,-0.6818815627,2.75,3.13,2.526633439,4.574682887,5.560747664,3.900830737,39.74102079,10.08164077,-0.02607332754,-0.1244186777,0.2294700291,0.9655820482,0.4916131253,0.8802461836,0.8555152636,1.007327983,0.8979102989,0.8724568458,1.207620206,0.9634348594,0.4933234128,0.9727749776,0.1964185503,0.8637232909,0.1275821809,0.0,-0.5318461614,4.502003375,0.0,0.0,5.31165637,0.0,1.852930653,0.6666666667,0.189290737,1.170587662,3.506544483,0.9830278467,58.83161689,22.63869376,20.76666028,0.0,15.20739338,3.172627551,0.1623294823,12.11288487,2.361111111,0.6538321995,0.07709750567,0.02742316785,0.05844367322,93.73003835,-3.705846229,0.8242329482,-2.275622193,-1.70740037,2.4,-4.14,0.0292,-4.4,0.016,6.96e-05,3.472727273,157.4430247,3.776077098,45.48331132,-8.862003781,0.6888187153,2.017017473,5.563451492,4.681802935,0.03555555556,0.05050505051,0.7707667714,1.077760892,1.106167404,0.8273767777,1.000354625,1.019626814,1.115894799,1.069181278,1.011798497,1.086536255,0.9238508864,1.027985271,0.04190972222,1.9,2093.279906,-0.4974652165,0.4298381929,-0.4673191603,0.0,0.1538786109,166.3114418,14.26826309,14.76446326,5.733667477,39.70116891,24.71311804,0.0,0.0,0.0
5.014623533,3.65,3.00719246,219.6874826,144.8388578,152.5405354,154.6968957,156.6866838,-58.27895727,17.22037087,-2.948400967,97.66969536,0.01411582004,-0.3566992165,0.05049341764,0.06080921197,1.358289805,1.2642319,0.9526759143,0.8002199202,1.250105082,0.8419966176,0.9947445943,0.9235367654,1.119501509,0.5969404058,1.142888526,1.133757318,0.959038262,0.9735691448,0.8822129467,0.6296649041,0.5089013338,1.063490339,0.9663319512,1.105929266,1.212469863,1.018159063,7.008273069,1.343837143,14.69237363,10.92966136,0.1045499747,0.674685838,0.6844375989,1.030272772,0.0,0.4287931716,3.47790223,0.0,0.0,0.0,0.0,0.0,0.0,6.175691526,0.0,0.0,0.0,0.6198719781,0.4768518519,0.01388888889,0.7981481481,-0.07446040144,4.724777947,34.81406799,9.636772685,19.44429716,0.0,6.066367068,79.06876542,0.0,19.38639965,14.09534397,44.65087521,12.96557803,0.0,5.907179729,17.06247516,37.3248314,5.714453295,1.694984141,73.14,1.111666667,0.5243055556,0.3275384228,0.279691358,0.03904826958,89.06078288,685.2884189,26.52293225,1.678773877,0.4759143069,2.497010411,0.2320451249,-0.316712198,-0.2635333507,-0.6498553789,4.14,4.64,2.554864625,4.505469282,3.833333333,2.68132716,95.29427573,13.86438235,0.04760436691,0.03940090273,-0.02603706995,1.156377285,0.4383071664,0.8954575719,0.8105015071,0.9293953632,1.005515702,1.055587651,1.022186978,0.9385346693,0.4155290271,0.9777394418,0.1964185503,1.006528142,0.191540908,0.0,-0.04130506027,7.153051097,1.880539113,0.0,0.0,0.0,2.051964949,0.6597222222,0.2050367286,1.174417951,3.517966614,1.20595939,64.43583387,11.21062871,4.736862954,0.0,9.835544762,5.935344461,0.9155404988,14.0606891,2.381944444,0.8368707483,0.06779661017,0.01764550265,0.03737352224,44.06087177,-5.335498201,-0.6879556277,-3.256283525,-1.995095772,4.1,-5.53,0.0014,-5.34,0.00217,2.03e-07,3.676258993,155.9839035,2.522590361,49.86598846,-7.355818328,0.6846580312,2.412770724,52.80408356,5.693927995,0.02314814815,0.0,0.8935475945,1.062484308,1.053194811,1.156356722,1.081396737,1.255788649,0.911581462,1.838308745,1.180391551,0.9166275128,0.9856453275,1.047459293,0.03610169492,2.8,2891.606548,-0.4423888354,0.2792573418,-0.1300212456,5.098681808,0.1891213531,56.74323821,9.531400138,24.64835152,0.0,34.01378264,12.18801804,0.0,0.0,3.47790223
4.832087205,3.595959596,3.33240023,222.4636425,145.4544747,151.4510451,155.7660774,157.7326513,13.27391975,9.715277778,-0.07638888889,80.33790092,0.02566272021,-0.5423423379,0.0378510845,-0.02112203811,1.56315811,1.140932247,0.9032349666,1.186500644,0.8600610875,0.9127178814,0.9620575943,0.9783379595,0.9726777466,0.6637198622,1.130891,1.084782274,1.056533658,1.075158859,1.010149254,0.7036757073,1.045760671,1.019999973,0.9196415132,0.9093535495,1.149692263,1.137599562,7.008272213,0.6101356715,14.55672932,10.31169772,0.08888261617,0.7018151258,0.3928227826,0.7990375584,0.0,0.4314657775,1.952277995,0.0,0.0,0.0,3.348289714,0.0,0.0,10.93236962,0.0,1.534617103,0.0,0.6072428409,0.4811111111,0.0,0.8052083333,-0.1062627033,4.678508855,33.97362214,19.77449303,4.794537184,9.967957042,18.19910121,37.25557254,11.49902367,13.46849361,6.792942306,27.6520576,6.544756406,0.0,19.24487844,17.13736782,12.13273414,0.0,1.544432243,89.13,0.7744444444,0.4748795351,0.3817476064,0.2340740741,0.04008838384,82.76115118,558.7091708,32.99708002,1.143065544,0.2962533188,0.6041077112,0.6692323693,-0.03222247175,-0.5703335731,-0.8539439372,2.78,5.51,2.483893655,4.469239665,4.78,2.96941358,53.31095679,13.36759567,-0.06615637717,-0.05855874559,0.04529252885,1.213863074,0.5126343013,0.997261901,0.8494276874,0.9891210266,0.8746046099,1.181391838,0.9977120468,0.9397990846,0.4923785496,0.9779936759,0.3319273053,0.8317253847,0.0963266143,0.0,-0.1497476129,6.913494022,0.0,0.0,0.0,2.911211787,1.990367405,0.675,0.2096745819,1.023086584,3.872862303,0.9064536459,49.6914278,12.2386844,14.79051451,0.0,14.45770443,5.718294693,2.445035208,11.76179079,1.763888889,0.6157823129,0.06944444444,0.01843915344,0.04718965172,52.09327347,-4.634639296,0.8024933896,-3.022810595,-1.439853838,3.47,-4.77,0.00715,-5.62,0.00101,3.07e-06,3.525773196,157.6249401,2.90404596,48.90457884,-6.491319444,0.6833808251,1.712100197,33.40237101,11.33678588,0.01888888889,0.03368055556,0.809221746,1.076709476,1.088266819,0.8606452693,1.106078644,1.079160959,1.209575689,1.419658596,1.095369296,1.018016407,1.110114633,1.089658123,0.03689153439,1.58,3118.226529,-0.3811187736,0.2517276259,-0.1430997774,0.0,0.1605274627,159.4230246,14.26826309,20.26872417,0.0,33.45795484,12.38748025,6.9237372,0.0,0.0
4.818276879,3.505263158,3.312236287,220.3603927,145.2372638,150.6142273,154.6452864,155.3612222,14.99432892,8.595463138,-1.884688091,74.40034618,0.0170240073,-0.269653478,-0.04586740534,-0.04657048201,1.189782636,1.292450751,0.8964784221,0.8070235967,0.9435662025,0.9801925041,0.9552872861,0.8870872404,0.9321438519,0.6831561296,1.133281192,1.06756993,0.9861451049,0.8848363175,0.9963375232,0.7564420335,0.926549612,1.072108108,0.9509612956,0.9902267429,1.078808284,0.9630119569,7.008271862,1.427567332,14.69084662,10.94877953,0.09015818944,0.4048115028,0.2749716524,0.6362155437,0.0,0.4420487077,1.498885423,0.0,0.0,0.0,2.930680267,0.0,0.0,5.416356525,0.0,0.0,0.0,0.6549790798,0.4738095238,0.01785714286,0.7942528736,-0.08759305211,4.756513858,26.92233453,4.736862954,19.86117603,0.0,6.066367068,61.01812524,5.783244946,6.9237372,6.606881965,32.55544757,4.794537184,0.0,12.39012691,5.749511833,12.39368714,5.392220783,1.640647526,80.76,0.8613888889,0.3229520975,0.2262692114,0.112183642,0.02422086721,76.78218309,562.6658015,24.84350472,1.258085386,0.290697516,1.450149492,0.3658094751,-0.2063855443,-0.1551051709,-0.713038085,2.14,4.79,2.434987024,4.391028702,4.367088608,2.718706048,48.92438563,10.32970731,-0.1096004394,-0.02482699162,0.03008587098,0.9975985884,0.5009480565,1.340935981,0.9013067383,0.9820213868,0.9560249657,1.047841496,0.9832045458,1.042534085,0.4040766798,0.9729522094,0.1178511302,0.4939224973,0.0761440227,0.0,-0.01179028347,6.014776924,0.0,0.0,0.0,0.0,2.016593259,0.6339285714,0.1842839566,1.087213094,3.5254445,0.7670480982,51.89864598,11.38785599,4.736862954,0.0,4.736862954,7.290200368,1.572168719,7.238886727,0.9930555556,0.4194557823,0.06878306878,0.02153472222,0.04510615375,291.0594611,-3.220402971,1.250028196,-1.744620654,-1.358320487,2.78,-4.1,0.0294,-4.13,0.0273,1.26e-06,3.22,157.6523044,2.760683761,48.7209073,1.801512287,0.6909544362,1.998117456,33.77213846,6.9237372,0.02619047619,0.01765188834,0.8563924788,1.156667699,1.136171152,1.015371105,1.168054304,0.9990449267,1.071201425,0.5962684815,1.080224559,0.9717359413,1.022034516,1.062833167,0.02738888889,1.13,1228.460929,-0.1349170259,0.3040566839,-0.2255061634,5.098681808,0.2313568702,28.17492122,9.531400138,20.16532066,0.0,39.52165029,11.03836416,0.0,0.0,0.0
