SpDiam_A,AATS3d,AATS2s,AATS3v,AATS1i,AATS2i,AATS3i,AATS4i,ATSC8dv,ATSC1d,ATSC8d,ATSC0i,AATSC0c,MATS1c,MATS2s,MATS7s,GATS1c,GATS2c,GATS5c,GATS7c,GATS8c,GATS2dv,GATS5dv,GATS7dv,GATS8dv,GATS1d,GATS3d,GATS5d,GATS6d,GATS7d,GATS8d,GATS2s,GATS6s,GATS6v,GATS3p,GATS5p,GATS1i,GATS6i,BCUTs-1h,BCUTs-1l,BCUTi-1h,BCUTi-1l,RPCG,Xch-6d,Xc-5d,Xc-3dv,Xc-4dv,AXp-1d,SsCH3,SdCH2,SdsCH,SsssCH,SaaNH,SdsN,SsOH,SssO,SdS,SaaS,SddssS,MINaasC,AETA_alpha,AETA_beta_ns_d,ETA_epsilon_5,ETA_dEpsilon_C,IC2,ZMIC2,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA11,SMR_VSA5,SMR_VSA6,SlogP_VSA2,SlogP_VSA3,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA6,VSA_EState7,AMID_C,TopoPSA(NO),GGI5,GGI7,GGI8,GGI9,JGI3,TSRW10,TASA,Mor02m,Mor10m,Mor11m,Mor12m,Mor16m,Mor21m,Mor22m,Mor23m,iLOGP,Silicos-IT_Log_P,AATS5d,AATS6i,AATS7s,AATS8s,AATSC0v,ATSC1dv,ATSC7d,AXp-0d,Ali_Log_S,CIC1,CIC2,ESOL_Solubility_(mg/ml),EState_VSA4,EState_VSA5,ETA_dAlpha_B,ETA_dEpsilon_D,GATS1dv,GATS1v,GATS2d,GATS2i,GATS2v,GATS3c,GATS3dv,GATS3i,GATS3s,GATS4dv,GATS4i,GATS4s,GATS5i,GATS6dv,GATS6p,GATS7i,GATS7p,GATS8i,GGI6,IC1,JGI4,MATS6s,MATS8s,MAXaaCH,MLOGP,MOMI-Z,Mor03m,Mor13m,Mor26m,Mor30m,Mor31m,PEOE_VSA4,PEOE_VSA9,RNCG,RNCS,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA9,SdO,SdssC,SlogP_VSA10,SlogP_VSA4,SsNH2,SssS,VSA_EState8,VSA_EState9,Xc-5dv,Xc-6dv
4.839461542,3.787878788,3.390909091,228.5324078,147.1796749,150.6171579,157.7127406,157.5471253,-4.77734375,5.948242188,-1.061523438,58.36712249,0.01397489853,-0.2495754875,-0.1658202617,0.0172003215,1.182327592,1.246185255,1.133463905,0.9915227988,0.8710952174,0.841361097,1.126852886,1.037747837,1.054312577,0.5734104046,1.230805161,1.083108542,1.071025181,0.9369451056,0.9323746417,1.028766213,1.014141547,1.075745611,0.8922283984,1.00979996,1.072004703,1.118539237,3.05962641,1.43179288,14.69085683,10.96965878,0.1271728419,0.3895195512,0.2749716524,0.3862693728,0.0,0.4339923432,0.0,0.0,0.0,0.0,2.897754472,0.0,0.0,0.0,0.0,0.0,0.0,0.7975373205,0.4761904762,0.0,0.7727272727,-0.08899521531,3.924800876,32.27661356,0.0,15.06663885,4.983978521,6.066367068,36.39820241,0.0,0.0,0.0,25.14929918,0.0,0.0,0.0,0.0,12.39368714,5.362040921,1.614035966,67.35,0.4377777778,0.1771187642,0.06701152683,0.026875,0.02517361111,68.744902,416.4490182,18.1625912,0.5432375962,0.4682079224,1.737758926,0.5708497276,0.06138746374,-0.2431574667,-0.6661725059,1.81,3.42,-1.7431510882732875,280.90065749490657,15.694111108543728,16.89067915149049,-7.584996239045495,324.3988186338585,58.63628705351049,1.1602713482717641,5.556367546682461,-4.55144718391589,-3.972042922262997,0.48869544399730913,-302.0266068147477,464.68414363526983,0.5079694250085178,0.6845058487882003,-0.9386174779930472,3.3407176531074603,-0.24963781827726672,-0.44706124435926164,1.720936500295172,1.4710256392480412,0.0348230826535294,-1.173154779986719,3.004802403676119,0.4954635229903649,-1.8207283372491387,0.013194494274779478,-2.3630593191408993,-1.4218159530324233,2.3863247739265967,-0.8605300650723773,-2.7014861198057485,1.8527503799527367,4.811463309363759,14.595395545553977,0.05691222684760304,2.1589271616676085,-0.681655284666729,-3.0479366461764776,4.5004314239195455,10270.802261539367,-30.968977008061614,-11.69099011635587,4.842544595894526,-2.9492007782143483,4.375665422688341,-77.00558421290788,-16.03967416786851,-1.4664467120160538,-843.7172365620786,322.43350445758495,142.0862559339316,24.375553231421442,-330.0802647687295,277.2313839884456,-3.8185583984879106,287.2817315123046,116.24784943084904,-4.84227024226988,-8.767316455518412,43.75984029600399,-1.4339121952677343,0.0851199191141636,-0.11216433463449417
4.848826338,3.495652174,2.954467354,217.3192547,148.4885439,154.9564336,156.9974297,159.1825006,-36.0,14.91975309,-3.561728395,91.83830858,0.01425164682,-0.5025169592,0.2016279898,0.03522916934,1.611680411,1.121534753,1.040639598,1.191607552,1.130587517,0.9092731438,0.8658313908,1.012285554,1.05482794,0.6401190268,1.151004193,0.9995704803,0.9045160161,1.0505197,0.9986234191,0.7223819476,1.089970161,0.9200111328,1.033133869,0.9365699445,1.273040708,1.009188059,3.057290442,1.434148518,14.63947554,10.94639828,0.09344475674,0.5652352563,0.441638319,0.9619196634,0.0,0.430390951,6.223711232,0.0,7.445865085,0.0,3.480510519,4.228406519,0.0,0.0,0.0,0.0,0.0,0.8381679894,0.4774193548,0.01612903226,0.7606060606,-0.06522875817,4.671011113,30.15823057,10.30076712,4.983978521,14.98529578,18.20875424,62.23960296,0.0,27.315968,5.316788604,26.29938345,6.544756406,0.0,0.0,6.544756406,11.34744789,8.24322367,1.607335694,83.3,0.7225,0.5755385488,0.2902730537,0.291882716,0.03732638889,82.90283416,633.9944889,29.42344251,0.8716442058,1.131052016,1.432149594,0.4188119352,-0.2513881744,-0.1137559505,-0.7600180486,0.0,3.76,-1.9591607435535474,285.6925063226074,15.75899572259759,16.784741631874883,-4.846906191856455,360.73916562215794,37.82083998759114,1.1731413135807491,5.239905845965382,-3.9719866704599567,-3.71431948077497,0.5586145542765386,-266.20049432206025,477.43080580599224,0.49804900652257256,0.7675725618083565,-0.7650998663263029,3.4860228300185625,-0.18398316975272233,-0.3904107859514636,1.8788539830691005,1.371866871103907,0.22030990406290996,-1.0253381114293663,3.415391977136279,0.420918638151054,-1.9650867694141843,-0.05071004817717517,-2.0265407565593163,-1.6140530144550902,2.2607791104242763,-0.6778452679787026,-2.941866908614963,2.0211577176799675,5.2408112829453595,14.834278488267152,0.06548274888590347,2.350800479663748,-0.6555125587109797,-2.69004965495019,2.4648984034879935,12404.933114798634,-35.467550950537365,-12.366930354729828,4.655547747716122,-3.4846650642417325,4.495087750647601,-94.80613956194269,8.872180078622458,-1.5762522276548288,-792.7054718081977,332.0555806150094,141.0501518531819,36.75474396858708,-334.19705067596817,298.82092928785704,-3.7715089889266293,261.51782646909913,106.59631744974814,4.636732537922448,-8.43992235958415,50.92221084167257,-0.9827753175259171,0.13199236066955347,-0.13434547243831432
5.008635141,3.412903226,2.771579431,199.2136073,147.0960267,156.9133286,159.3784206,157.5531245,44.47039557,15.40816327,5.06122449,100.4224909,0.01574823075,-0.2751540405,0.0149525344,-0.09930677768,1.323837456,1.525928202,1.156991004,0.8634870136,0.7638778965,0.9806644077,1.03404136,1.05066548,0.8370136266,0.6308139535,1.166666667,1.081395349,1.230992351,0.9107292747,0.7517199612,0.6749311295,1.164763093,0.9714662444,0.8918131867,0.8462198513,1.403119844,0.9898505025,7.008272534,1.343850104,14.69239096,10.92970797,0.09868344179,0.674685838,0.5136135945,1.009607632,0.0,0.4292459108,2.075821541,0.0,0.0,0.0,0.0,0.0,0.0,5.882335879,0.0,0.0,0.0,0.6479740833,0.4733333333,0.01428571429,0.8123809524,-0.08553201185,4.808618766,32.60149878,14.53668242,19.44429716,0.0,6.066367068,55.78460206,6.606881965,19.38639965,39.83357957,75.28902055,17.76011521,0.0,12.51406169,5.749511833,6.196843572,5.730236915,1.623732213,76.38,1.271388889,0.4444444444,0.3522297808,0.204382716,0.03675766284,87.87697752,664.6460842,22.92103684,1.32652771,0.378965901,1.896691312,-0.01702475692,-0.4200626083,-0.06707575848,-0.712726534,3.66,3.31,-4.305138447503413,295.2735447393102,12.822840358100272,13.646047694200838,1.5975109145519468,520.678908495046,129.4827687527581,1.1655780395217363,2.5024434764276675,-2.395602212824049,-2.639154143138739,0.5224381756420228,-18.64089345960226,419.24514171492,0.48103064439577226,0.6928039865800477,-0.7003182639999399,4.05476322764818,-0.514024235572927,0.09304849681371463,2.0740794802778875,1.1644003591332808,-0.286672609402012,-2.026092275433103,3.017362297459858,0.08885766441237941,-1.5384790823833412,0.7678363512730334,-2.0051687012943433,-1.011287553645961,3.273394409870621,-0.9415487452040332,-2.486547508790402,1.9930014102425317,5.176299477445372,14.815277432181617,0.025536979380222785,1.98899831360681,-0.183854460028189,-2.321283338738432,-4.079804113031501,13388.815035487529,-43.18128197521935,-12.010340405067682,5.9431970569324415,-3.4222935955662854,5.520935541516877,-69.62514276761755,-73.54314466892228,-1.5967032131542729,-593.2245320235949,327.2511489322664,198.2065613855644,22.07171985662891,-253.13201092253058,322.89952935980466,-6.050045236970618,228.5107344167754,60.84978586827397,1.695968633798394,-8.951076426459426,62.60367568229606,-2.781809749408135,0.1750328802448011,-0.08631234996020519
4.84886367,3.656565657,3.62988993,232.6788054,147.8576336,153.9753421,158.8206985,159.1756787,20.05890046,7.349932096,-4.259393391,128.7701358,0.01549032751,-0.5376742661,0.03598751821,0.05164021434,1.543132941,0.9282329246,0.8777650361,1.003565555,0.9305926229,0.8361575094,1.156148328,0.8524908636,0.8295561501,0.7401305247,1.005928527,1.06519121,1.023757817,1.079192979,1.022153181,0.5778282529,0.7262785625,0.9065858464,0.9731639697,1.092928705,0.9748353851,0.8122309652,8.002961739,0.6049847703,17.42581788,10.31162892,0.09759523029,0.5652352563,0.2749716524,0.9822172901,0.0,0.4299099009,1.925263429,0.0,7.237568955,0.0,0.0,4.181762676,0.0,0.0,0.0,1.440856245,0.0,-0.6088775295,0.4775729647,0.04838709677,0.8404761905,-0.1201982331,4.81512316,31.83179984,5.316788604,4.983978521,23.76612587,23.47917305,42.82867707,5.13155848,13.46849361,5.316788604,21.31540493,6.544756406,11.63444168,6.544756406,10.69500997,5.008912524,7.98291635,1.493307708,67.51,0.6669444444,0.5130385488,0.3023904006,0.324691358,0.04609929078,82.88111178,521.4002569,27.48782268,0.02029542686,0.5423020925,1.683786806,0.1203656052,-0.008272208518,-0.451531824,-0.5396658437,0.0,4.67,-2.194840193982115,283.954809691841,14.665984082184819,16.034833757383456,-1.296933476337486,374.0618190549651,60.74986316671254,1.1842713441954233,2.337847093617225,-4.456886377445953,-4.405716708388608,0.47176299298121555,-295.7290789960315,441.19113776551393,0.48819050409764814,0.7168148844941507,-0.9130786132183357,3.465250640644971,-0.19105169788903464,-0.4626727234203909,1.8974800663180287,1.288726476763441,0.08294085975389265,-1.206577656619825,3.082349772792991,0.43619000964445154,-1.7955070438697924,0.338049437230698,-2.145691135274897,-1.5789425361242735,2.1795848897314456,-0.6073917888261287,-2.3810547720786466,2.153362514149957,5.093112044926372,15.40752184142245,0.05777241116493895,2.142081084371211,-0.22876127064623325,-2.775332608588368,4.156365645440952,11688.117718660877,-33.3379705647999,-11.214675652451268,4.771918235303567,-3.084267926695093,4.770387328861284,-89.97442418962233,-30.124986999058024,-1.5551049630260727,-722.7778807368582,327.7986051481045,133.2771947950017,38.375710616947245,-332.10801744124063,292.7755962522976,-2.4770304828627157,269.54851550897286,129.2944351718525,-5.4982822261617255,-9.565553723338795,51.025483581857515,-4.723403966210973,0.1434896299140132,-0.09809900915591177
4.84846034,3.555555556,2.999367842,224.5095143,146.1688725,151.8999972,154.9795386,156.3238166,-37.40058347,9.372566772,-9.028972386,84.79436911,0.01349493528,-0.5367914382,0.02063624676,0.1425932307,1.605557444,1.026886441,1.024601083,1.249043924,0.9545634688,0.9369893347,0.9958392936,0.998869326,1.063139687,0.6449464654,1.023674242,1.141637812,1.094129555,1.231608073,1.16734782,0.9153877665,1.319684022,0.8710982429,0.9762742353,1.110864233,1.134596526,0.9524748865,3.05728196,0.6049850547,14.63943665,10.31162903,0.1044982807,0.5992559472,0.2749716524,0.8562291324,0.0,0.4320955403,1.991639716,0.0,7.557686138,0.0,0.0,4.228838311,0.0,0.0,0.0,1.619959136,0.0,0.8618948413,0.4908045977,0.01724137931,0.7755555556,-0.07265173645,4.533861863,33.13142796,5.316788604,4.983978521,14.98529578,53.8110084,30.69594294,5.13155848,13.46849361,5.316788604,21.31540493,6.544756406,0.0,0.0,0.0,22.68423376,8.373354593,1.590019291,67.51,0.6669444444,0.5130385488,0.2398904006,0.164691358,0.03294573643,80.46990232,611.7259744,27.64460032,0.02180851767,1.06425679,0.742252457,0.2511484296,-0.0101566461,-0.2890510852,-0.5864022038,0.0,3.84,-1.0658713490317506,285.8758834509749,16.022196518485895,17.088816147842046,-4.546807458425583,326.96674570395027,10.21117394462079,1.153208944582142,3.064425697602328,-4.202918075665705,-4.167510562370124,0.5043689000312248,-345.0169370795766,497.26395538047706,0.4585781487027544,0.749583114998247,-0.7135535070280006,3.2290106812073436,-0.07752093790382708,-0.8103070769601959,1.8999930587399514,1.0211963665859924,0.15715774959257034,-0.7501250657074043,3.296746156500186,0.42275590218207915,-2.077982587087109,-0.057534706460580676,-1.7101208448857084,-2.1188657377451467,1.7980679219700533,-0.2789188832695211,-2.7029868037696136,2.2987835272650914,5.141094220301743,14.945495532705309,0.07405357891438757,2.5224518965837786,-0.6685524458824168,-2.5162973705309364,6.82800293472825,13945.664034107871,-35.494851677577536,-11.071615386185995,4.434136533138965,-3.696478929778954,4.746517266153434,-104.47705839085107,5.600417198589179,-1.5441291575619835,-840.730902436258,324.0101068984649,122.27486352173244,46.70322773553236,-355.8973622161247,273.74818392861454,0.22194132136287215,245.51959169547408,126.37316751203085,-3.937957847181349,-8.776274083691064,50.340881516871704,0.04523614850400012,0.14363730062556346,-0.13765180329296128
4.832911472,3.277227723,3.503875969,208.1079645,145.2487057,152.868582,159.4887652,159.1539262,-29.56375434,9.655047533,-6.315074694,87.07591279,0.01444978724,-0.586122949,0.2900007613,-0.00825629086,1.614372904,0.9604905337,1.123802496,1.266936745,0.8037005729,0.6900152619,1.113730073,1.01977527,1.024165362,0.8642140921,1.000684215,0.9688840899,0.984142107,1.179139566,1.090948227,0.5549929326,0.867564984,0.9668929306,0.8750426108,0.7973955805,1.235389404,1.047052377,7.014207891,0.2980105395,14.55717173,10.31100078,0.09732883382,0.5997530532,0.2749716524,1.388101507,0.07216878365,0.4338265007,3.775986215,0.0,0.0,0.0,3.2902303,0.0,0.0,0.0,0.0,3.097591329,-3.309492663,0.5573450491,0.505952381,0.0,0.8177777778,-0.1289248763,5.038319437,32.01007426,4.983978521,0.0,28.09182741,12.99010427,25.47729296,0.0,26.81305243,5.752853607,34.10656467,16.56804756,10.02329115,12.29761001,12.24522612,11.33678588,0.5667098363,1.33570882,100.63,0.6838888889,0.6180909864,0.377196712,0.3087654321,0.04565972222,80.42540071,553.5748055,31.92182127,-0.0630462131,0.5465229577,0.3952347066,0.997304713,-0.1030917389,-0.8665326994,-0.7572712575,2.48,5.4,-2.5846454173092903,284.1448735366049,14.809553482292934,15.597976795241822,-0.8914350616004612,385.59035335075544,62.052206521176224,1.1751940639899376,4.702557685403255,-3.1224224027016,-3.122008819580976,0.6169437814322681,-197.3328685432767,454.82575406006913,0.48376403163550913,0.7924103467655681,-0.6624501235941893,3.598074303830896,-0.2046886974386104,-0.012575405336073597,2.069578586853526,1.48300759825919,0.318656951427324,-1.2598875410882493,3.5903185366969135,0.42380283812754427,-1.7554754868598024,0.1705843931322909,-1.9709221288567091,-1.3960126906673795,2.5347582598447707,-0.6765538808649962,-3.0174001415042184,2.0146195663108957,5.176363478908769,14.579682865589778,0.054893524254834805,2.3274544583905983,-0.32158138130719854,-2.346487581938761,-1.5280500006014948,12257.053551986093,-39.74586392762422,-12.292614855775128,4.881275303807937,-3.5710361736236833,4.7353893398086715,-96.17310803299615,-0.7366746618535167,-1.650140560775135,-740.6813501158365,328.5949457011042,151.74472761376973,41.313414871241406,-318.26402765888287,322.4757292116809,-5.282106465421546,239.7416731215295,83.65234343604142,14.08738418786552,-8.546189123915989,54.56648677941089,-5.567266020261562,0.21936855406387262,-0.11899195098733016
4.902346148,3.909090909,3.887860082,235.7354696,147.1889596,150.5716193,153.1917434,157.0609274,27.17013233,10.59924386,-4.850661626,74.48233525,0.02916173558,-0.4949766607,0.04521201485,-0.01119422128,1.486387289,1.046260393,0.8945637726,0.9311638669,0.7987170989,0.8517541176,1.002873503,0.9475536428,0.891158381,0.6291793313,1.255180989,1.065315004,1.179711246,0.995130575,0.9114280033,0.5904261633,1.203174491,0.8907468047,1.070056407,0.89836922,1.035286165,0.9139932815,7.009368063,1.401734117,14.69241021,10.94951956,0.0952698347,0.634753638,0.6297166902,0.7090739295,0.0,0.4298292218,0.0,0.0,0.0,0.0,3.172627551,0.0,0.0,10.86650503,0.0,0.0,0.0,0.3604620607,0.4644444444,0.01666666667,0.8050505051,-0.1140752033,4.540534109,33.15744284,15.20739338,19.6717347,4.681802935,6.066367068,54.59730362,11.49902367,0.0,6.792942306,27.4645853,0.0,5.907179729,12.3522092,39.70116891,48.66141305,1.636103324,1.557415785,112.23,1.288888889,0.4756944444,0.3908100277,0.2493904321,0.04722222222,82.10710869,465.1469369,27.90289226,1.42947192,0.2597373308,2.106107968,0.331449438,-0.2853101583,-0.1876807207,-0.6818815627,2.75,3.13,-3.551562869763554,268.74028995052214,13.59744340845838,14.444694994704841,1.0451638884527057,400.34105880640305,117.83934647039113,1.2208152320243981,1.215677614327607,-2.9284641330222896,-3.0126394863728976,0.5859088561367789,-195.74880394308752,373.3032994465538,0.4864732975558902,0.8233635523605574,-0.6635752296666448,3.6121634931464133,-0.000977182734561044,0.23537650562762702,2.0807386191497033,1.0243868640475753,0.07725575209001956,-1.0046014249874693,2.86990715755558,0.5469279480544011,-1.161408240178841,1.3269865845812723,-2.3975163790085814,-0.9950955847002949,2.84349263445782,-0.5770001214625711,-2.188139557403229,1.718369904010907,5.136279918918187,14.778809430651826,0.03408377737466154,1.9267135718726838,0.5615245835696858,-2.492634214329856,-5.010114135663075,10707.120080383604,-39.28980468170331,-12.195612884730233,4.581274307461446,-2.9512919931543466,4.44634078211441,-88.90876411452713,-51.35662021377535,-1.715686274407268,-375.90032125661736,337.7047749417716,139.12709982623986,47.74802649238709,-272.1442765348465,372.7833568808178,-8.112018047968268,245.755778737614,70.59516712143456,21.61686399676533,-9.70221400861149,50.29214621966156,-9.930420066166665,0.4759651488635114,-0.04586673423558602
5.014623533,3.65,3.00719246,219.6874826,144.8388578,152.5405354,154.6968957,156.6866838,-58.27895727,17.22037087,-2.948400967,97.66969536,0.01411582004,-0.3566992165,0.05049341764,0.06080921197,1.358289805,1.2642319,0.9526759143,0.8002199202,1.250105082,0.8419966176,0.9947445943,0.9235367654,1.119501509,0.5969404058,1.142888526,1.133757318,0.959038262,0.9735691448,0.8822129467,0.6296649041,0.5089013338,1.063490339,0.9663319512,1.105929266,1.212469863,1.018159063,7.008273069,1.343837143,14.69237363,10.92966136,0.1045499747,0.674685838,0.6844375989,1.030272772,0.0,0.4287931716,3.47790223,0.0,0.0,0.0,0.0,0.0,0.0,6.175691526,0.0,0.0,0.0,0.6198719781,0.4768518519,0.01388888889,0.7981481481,-0.07446040144,4.724777947,34.81406799,9.636772685,19.44429716,0.0,6.066367068,79.06876542,0.0,19.38639965,14.09534397,44.65087521,12.96557803,0.0,5.907179729,17.06247516,37.3248314,5.714453295,1.694984141,73.14,1.111666667,0.5243055556,0.3275384228,0.279691358,0.03904826958,89.06078288,685.2884189,26.52293225,1.678773877,0.4759143069,2.497010411,0.2320451249,-0.316712198,-0.2635333507,-0.6498553789,4.14,4.64,-1.9500961493062947,287.87107383392765,15.815674492873152,16.277974268228473,-4.848594585573238,397.8746369742411,28.9952531209608,1.1309069919780168,6.007929157928679,-2.7255864123153253,-2.5070129947416846,0.5198371655899546,-150.916291625877,487.35732567942154,0.49588857073765114,0.6917021994032015,-0.6895343294999063,3.67784298734108,-0.37858247252921484,-0.29365267705467657,1.842147006658322,1.4261102235418306,0.03918098264018255,-1.4059816143779873,3.338219258869213,0.29268564474257064,-2.148183177843734,-0.32759670747872494,-1.901182113527172,-1.3153983790782195,2.495553839892314,-0.7230559638676881,-3.162473417762916,2.10742156417032,5.221044291841824,13.565164540579968,0.05347795443887647,2.3122075946387044,-1.1948438507239492,-2.4557958192343943,0.8823606490144045,12822.996052098635,-37.89283856402908,-12.790565972249237,4.8253886008937235,-3.6796969357722373,4.545899359014837,-81.84924056642274,14.528826542813256,-1.5073362296918817,-857.4567321112897,320.90491469727,160.89570176787015,16.083044478371292,-287.00848202196494,281.04478386569156,-5.307316421419433,240.2612516535257,78.66460947486101,3.4340351015539263,-7.957716706093518,54.839617166405596,2.680975957425831,0.0737497368798791,-0.15434042102540282
4.832087205,3.595959596,3.33240023,222.4636425,145.4544747,151.4510451,155.7660774,157.7326513,13.27391975,9.715277778,-0.07638888889,80.33790092,0.02566272021,-0.5423423379,0.0378510845,-0.02112203811,1.56315811,1.140932247,0.9032349666,1.186500644,0.8600610875,0.9127178814,0.9620575943,0.9783379595,0.9726777466,0.6637198622,1.130891,1.084782274,1.056533658,1.075158859,1.010149254,0.7036757073,1.045760671,1.019999973,0.9196415132,0.9093535495,1.149692263,1.137599562,7.008272213,0.6101356715,14.55672932,10.31169772,0.08888261617,0.7018151258,0.3928227826,0.7990375584,0.0,0.4314657775,1.952277995,0.0,0.0,0.0,3.348289714,0.0,0.0,10.93236962,0.0,1.534617103,0.0,0.6072428409,0.4811111111,0.0,0.8052083333,-0.1062627033,4.678508855,33.97362214,19.77449303,4.794537184,9.967957042,18.19910121,37.25557254,11.49902367,13.46849361,6.792942306,27.6520576,6.544756406,0.0,19.24487844,17.13736782,12.13273414,0.0,1.544432243,89.13,0.7744444444,0.4748795351,0.3817476064,0.2340740741,0.04008838384,82.76115118,558.7091708,32.99708002,1.143065544,0.2962533188,0.6041077112,0.6692323693,-0.03222247175,-0.5703335731,-0.8539439372,2.78,5.51,-3.096462943935295,278.3391596109485,13.60790279474215,14.526258750228152,4.20334219204797,422.833547922108,82.69781935411619,1.188047301967059,-0.8030433138800435,-3.20744969900031,-3.5642102402155857,0.48659638011724543,-182.10238315853414,400.9027863912483,0.4684011352897319,0.7621073026943033,-0.7034995336046255,3.6712341358427283,-0.20893174957793015,-0.08466919747126367,2.11618509059888,1.0020114973155827,0.06342993389389417,-1.2619606933312286,3.224730081883804,0.3981622551060181,-1.5216075054856066,1.1182488076269004,-2.0670448705614386,-1.3345353599262886,2.498250123096022,-0.6160980107495815,-2.3841081675356586,2.135923284065667,5.2793679906330935,15.146370386192967,0.042004956375643054,2.085567315444423,0.01640739939034554,-2.282116735371127,-1.3456613980781928,12760.79035943872,-38.152912795216785,-11.667927152082523,4.695303173418407,-3.004827189806557,4.8123489764525464,-94.89457886356878,-32.446654770586264,-1.6576901803248962,-452.37628202623705,334.0182198952852,136.44206407735422,39.086401590398076,-278.36442649167583,328.15229540201915,-5.091131668198234,239.43972945970287,96.12902070617967,5.614252128129656,-9.493208173325684,55.402640073605845,-6.800873584017709,0.21305213307225213,-0.09744234355357906
4.818276879,3.505263158,3.312236287,220.3603927,145.2372638,150.6142273,154.6452864,155.3612222,14.99432892,8.595463138,-1.884688091,74.40034618,0.0170240073,-0.269653478,-0.04586740534,-0.04657048201,1.189782636,1.292450751,0.8964784221,0.8070235967,0.9435662025,0.9801925041,0.9552872861,0.8870872404,0.9321438519,0.6831561296,1.133281192,1.06756993,0.9861451049,0.8848363175,0.9963375232,0.7564420335,0.926549612,1.072108108,0.9509612956,0.9902267429,1.078808284,0.9630119569,7.008271862,1.427567332,14.69084662,10.94877953,0.09015818944,0.4048115028,0.2749716524,0.6362155437,0.0,0.4420487077,1.498885423,0.0,0.0,0.0,2.930680267,0.0,0.0,5.416356525,0.0,0.0,0.0,0.6549790798,0.4738095238,0.01785714286,0.7942528736,-0.08759305211,4.756513858,26.92233453,4.736862954,19.86117603,0.0,6.066367068,61.01812524,5.783244946,6.9237372,6.606881965,32.55544757,4.794537184,0.0,12.39012691,5.749511833,12.39368714,5.392220783,1.640647526,80.76,0.8613888889,0.3229520975,0.2262692114,0.112183642,0.02422086721,76.78218309,562.6658015,24.84350472,1.258085386,0.290697516,1.450149492,0.3658094751,-0.2063855443,-0.1551051709,-0.713038085,2.14,4.79,-2.637150561667479,279.8351965456816,14.150271938776687,15.211316029642234,-1.7225487615026722,375.3778481905887,84.99029920711406,1.1751906673919827,4.141386679310431,-3.8860124756044763,-3.754176033523114,0.5313321226441711,-228.80527468827287,415.88686692934334,0.4905952033011046,0.7151474298791485,-0.8222631107218135,3.5279420441796665,-0.22041076418826644,-0.13343004646181855,1.8932423226617248,1.273750523874538,0.08966018445172175,-1.2540738565409937,3.0094965775386333,0.4824230341944129,-1.5019960445293603,0.4976815943099909,-2.241295016545598,-1.2414078569283329,2.6056078926433086,-0.7202097723683252,-2.362036562200707,1.8758290696050024,4.816479354490629,14.741702880471998,0.04516044780307613,2.0540103826089364,-0.11568928046560796,-2.6512847934577923,0.31756035635439517,10428.533117635125,-34.046722315428205,-11.515912984894575,4.87236728549933,-3.0018244679379777,4.556142051498539,-79.55054691134059,-34.712729319738195,-1.5344778321904573,-639.2958230528692,322.3925634121419,147.13938472869677,33.108210212846366,-302.93017101657136,307.1310551722979,-5.258341134118875,259.71221514305876,98.7607072122841,2.9316704778140483,-8.905294039051789,48.58418132063805,-5.198427561037416,0.21083105918286588,-0.0867473818836064
