pIC50,AATS3p,AATS6s,AATS7d,AATSC0c,AETA_beta_s,AETA_eta_L,BCUTc-1l,BCUTd-1l,BCUTs-1h,BCUTs-1l,EState_VSA1,ETA_shape_y,FNSA1,GATS1c,GATS1s,GATS3d,GATS3v,GATS4d,GATS4p,GATS5dv,GATS6c,GATS6d,GATS7c,GATS7v,GATS8s,GGI10,GGI3,GGI4,GGI8,GGI9,JGI2,MATS1c,MATS5s,MAXaasC,MDEC-22,MDEC-23,MINaaCH,Mor08m,Mor10m,Mor12m,Mor23m,Mor24m,PEOE_VSA10,PEOE_VSA3,PEOE_VSA7,PEOE_VSA8,RASA,SaaaC,SdCH2,SdS,SdsCH,Silicos-IT_Log_P,SlogP_VSA1,SlogP_VSA5,SpMax_A,SsCH3,SsCl,SsOH,SssNH,SsssCH,SsssN,SssssC,VE1_A,VSA_EState1,fMF
7.522878745,1.593661858,2.863984674,2.941176471,0.01397489853,0.6666666667,0.1705503255,-0.3951118671,1.734391607,3.05962641,1.43179288,0.0,0.3,0.3655091099,1.182327592,0.7844495892,1.230805161,0.8775167219,1.258317277,0.9952632364,1.126852886,1.129314406,1.071025181,0.9915227988,1.011986906,0.9733404636,0.01632486481,0.8055555556,1.006666667,0.06701152683,0.026875,0.06734006734,-0.2495754875,-0.1489715073,0.9300491308,10.2543515,17.20232731,1.75548947,-1.096148384,0.5432375962,1.737758926,-0.6661725059,0.1547938535,5.693927995,4.983978521,36.39820241,24.15398221,0.8861928707,1.742872103,0.0,0.0,0.0,3.42,0.0,0.0,2.443940753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.178208277,0.0,0.65625
7.769551079,1.559693289,2.793582375,3.071428571,0.01425164682,0.6693548387,0.219804709,-0.3832819307,0.9925253549,3.057290442,1.434148518,0.0,0.3648648649,0.360995578,1.611680411,0.9224042748,1.151004193,1.042052105,0.9995704803,1.145912559,0.8658313908,1.423719337,0.9045160161,1.191607552,0.9176672295,0.9892888929,0.2356881951,1.791666667,1.988888889,0.2902730537,0.291882716,0.07111111111,-0.5025169592,0.1832141975,1.279765107,10.00791679,24.46744655,1.989285604,-2.414231418,0.8716442058,1.432149594,-0.7600180486,0.1129777564,12.16293986,14.98529578,62.23960296,23.15437369,0.8960762815,0.0,0.0,0.0,7.445865085,3.76,10.74258,28.33916347,2.479157266,6.223711232,0.0,0.0,3.467632958,0.0,1.754432169,0.0,4.547174271,0.0,0.5185185185
7.30980392,1.434364884,2.901766004,2.898089172,0.01574823075,0.6857142857,0.2333987871,-0.5138731373,0.9779932935,7.008272534,1.343850104,0.0,0.3440643863,0.2608416274,1.323837456,0.5579710145,1.166666667,0.9219519721,1.003033367,1.065670079,1.03404136,1.292941829,1.230992351,0.8634870136,1.230163811,0.6579408213,0.1396816651,2.131944444,2.01,0.3522297808,0.204382716,0.0701754386,-0.2751540405,-0.01091529971,1.246530291,21.96773029,32.49749527,1.806829999,-3.467645881,1.32652771,1.896691312,-0.712726534,0.2370313316,11.44343983,0.0,55.78460206,67.82743994,0.8845708178,1.863045777,0.0,0.0,0.0,3.31,4.736862954,12.11474962,2.553610548,2.075821541,0.0,0.0,0.0,0.0,4.101026672,0.0,4.432197729,8.000447108,0.5238095238
8.049635146,1.662757373,3.154388821,3.5625,0.01549032751,0.6693548387,0.2165514338,-0.3836349988,0.9929188504,8.002961739,0.6049847703,11.63444168,0.3647475072,0.4585695509,1.543132941,0.537076783,1.005928527,0.9995091245,1.094448329,1.26868805,1.156148328,1.451303718,1.023757817,1.003565555,1.170841337,0.5528812127,0.2026303438,2.166666667,1.988888889,0.3023904006,0.324691358,0.05777777778,-0.5376742661,-0.08282610616,0.905947027,9.781768621,24.43877474,0.8539603229,-2.541873193,0.02029542686,1.683786806,-0.5396658437,0.318773892,23.66690504,23.76612587,42.82867707,30.07811089,0.7625616717,0.0,0.0,0.0,7.237568955,4.67,10.74258,16.13452668,2.47919456,1.925263429,0.0,0.0,3.174007937,0.0,1.699533457,0.0,4.548122311,27.00228176,0.5957446809
7.946921557,1.673123576,2.770858771,3.4375,0.01349493528,0.6637931034,0.2218733688,-0.383634338,0.9938424863,3.05728196,0.6049850547,0.0,0.3091334895,0.4116347779,1.605557444,0.8482306971,1.023674242,0.9781826456,1.03714364,1.279473385,0.9958392936,1.375803697,1.094129555,1.249043924,1.160426864,0.8602140184,0.1365146414,1.416666667,1.606666667,0.2398904006,0.164691358,0.05797101449,-0.5367914382,0.1077965309,1.21158855,14.31861096,22.53967696,1.991639716,-2.790862041,0.02180851767,0.742252457,-0.5864022038,0.3037120292,12.03246336,14.98529578,30.69594294,24.01174382,0.911608274,0.0,0.0,0.0,7.557686138,3.84,10.74258,16.13452668,2.478793984,1.991639716,0.0,0.0,3.452896825,0.0,1.777357148,0.0,4.473770881,0.0,0.5957446809
7.769551079,1.598306035,2.913837449,3.17,0.01444978724,0.6517857143,0.2480447407,-0.3761913255,0.9715724923,7.014207891,0.2980105395,10.02329115,0.2823529412,0.3954750013,1.614372904,0.7869075941,1.000684215,0.8872348941,1.028155618,1.033409374,1.113730073,1.25927266,0.984142107,1.266936745,0.9783675089,0.9223070414,0.1810039792,1.826388889,1.678333333,0.377196712,0.3087654321,0.07407407407,-0.586122949,0.01203836282,0.9673781442,5.243799591,15.77250798,1.819881272,-3.176877805,-0.0630462131,0.3952347066,-0.7572712575,0.7093295999,16.52595619,28.09182741,25.47729296,16.63744226,0.8240972707,2.033356859,0.0,0.0,0.0,5.4,4.722094864,24.86289132,2.484687723,3.775986215,0.0,0.0,2.603917549,0.0,0.0,0.0,4.465964913,27.66019284,0.4042553191
4.101933339,1.594751004,3.658333333,3.469387755,0.02916173558,0.6666666667,0.189290737,-0.4868825717,0.9727749776,7.009368063,1.401734117,5.907179729,0.3875598086,0.4312565481,1.486387289,0.6659007353,1.255180989,1.007327983,0.9982172083,1.047185198,1.002873503,0.8574464152,1.179711246,0.9311638669,1.056386871,0.6637502907,0.1231527395,2.361111111,2.011666667,0.3908100277,0.2493904321,0.07709750567,-0.4949766607,-0.07445867041,0.7541751701,13.16622083,28.475568,1.575034909,-2.275622193,1.42947192,2.106107968,-0.6818815627,0.2657156898,0.0,4.681802935,54.59730362,17.32374656,0.7294992951,0.0,0.0,0.0,0.0,3.13,20.76666028,10.35798868,2.526633439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.574682887,12.27791707,0.5652173913
5.958607315,1.545664457,2.691767068,2.975903614,0.01411582004,0.6597222222,0.2050367286,-0.4947199896,0.9777394418,7.008273069,1.343837143,0.0,0.3669902913,0.3018993667,1.358289805,0.5938469604,1.142888526,0.9293953632,1.161394259,0.8469560856,0.9947445943,0.8010119468,0.959038262,0.8002199202,1.03340031,0.8159634066,0.1913151719,2.381944444,2.13,0.3275384228,0.279691358,0.06779661017,-0.3566992165,-0.07926246142,1.232057947,21.32644375,38.03017578,1.778768932,-3.256283525,1.678773877,2.497010411,-0.6498553789,0.1006502127,17.19295166,0.0,79.06876542,55.24084271,0.8885019249,1.880539113,0.0,0.0,0.0,4.64,4.736862954,22.47273829,2.554864625,3.47790223,0.0,0.0,0.0,0.0,1.555977941,0.0,4.505469282,8.289318585,0.5081967213
6.823908741,1.58666081,3.063838498,3.306930693,0.02566272021,0.675,0.2096745819,-0.4868813938,0.9779936759,7.008272213,0.6101356715,0.0,0.3464203233,0.4022984508,1.56315811,0.6734931658,1.130891,0.9891210266,1.086972902,1.125734453,0.9620575943,0.9921658912,1.056533658,1.186500644,1.045773347,0.9228350905,0.1391735537,1.763888889,1.549444444,0.3817476064,0.2340740741,0.06944444444,-0.5423423379,0.06089404376,0.9384880154,9.949004298,22.40598613,1.777071801,-3.022810595,1.143065544,0.6041077112,-0.8539439372,0.4690717346,16.52595619,9.967957042,37.25557254,22.20089375,0.8275515626,0.0,0.0,0.0,0.0,5.51,14.79051451,21.87632117,2.483893655,1.952277995,0.0,0.0,2.911211787,0.0,0.0,0.0,4.469239665,10.93236962,0.5833333333
7.602059991,1.549490554,3.028333333,2.824175824,0.0170240073,0.6339285714,0.1842839566,-0.5164392479,0.9729522094,7.008271862,1.427567332,0.0,0.3015075377,0.3658323715,1.189782636,0.6118234099,1.133281192,0.9820213868,1.046082823,0.963823597,0.9552872861,0.7325301143,0.9861451049,0.8070235967,1.060068008,0.5789217613,0.1066238139,0.9930555556,1.095555556,0.2262692114,0.112183642,0.06878306878,-0.269653478,0.0005546047637,0.9965826584,15.74333193,25.40670504,1.751492282,-1.744620654,1.258085386,1.450149492,-0.713038085,0.1946882698,18.05032179,0.0,61.01812524,29.7174337,0.8731880815,0.0,0.0,0.0,0.0,4.79,4.736862954,6.9237372,2.434987024,1.498885423,0.0,0.0,0.0,0.0,0.0,0.0,4.391028702,5.416356525,0.5
7.397940009,1.620130942,2.779320988,3.189655172,0.01506305891,0.6693548387,0.2293193753,-0.3832820281,0.9878601675,3.057289002,0.6294009932,0.0,0.3237885463,0.4013392221,1.593991991,0.9254716345,1.134920635,0.9783077638,1.034482759,1.034991223,0.8903736318,1.252090456,1.015037594,1.424769528,0.9497716005,0.8855244135,0.2226303438,1.479166667,1.837777778,0.2590230537,0.211882716,0.06349206349,-0.4995143091,0.1056842352,1.23809844,11.91630315,24.29046293,1.987821129,-2.036631265,0.2683412712,1.69991549,-0.7394638663,0.05764286323,12.16293986,14.98529578,55.6537289,28.04985716,0.8972192971,0.0,0.0,0.0,7.43851296,3.33,10.74258,17.21226049,2.478936865,4.061561316,0.0,0.0,3.441633335,0.0,1.752663542,0.0,4.51049676,0.0,0.5384615385
8.045757491,1.50055205,3.498397436,3.288288288,0.01874242464,0.685483871,0.206097908,-0.3832828006,0.9925445055,8.003004674,1.425951198,11.63444168,0.3757455268,0.4440634475,1.526630217,0.5459221697,1.089697145,0.9581582932,1.111799493,1.011181547,1.054946833,1.095024845,0.9250451041,1.037366544,0.952414314,0.6813870094,0.2275257627,2.041666667,1.908888889,0.3699058327,0.284691358,0.07555555556,-0.4735516832,-0.1144686999,0.8669307239,9.857598928,23.997636,1.076691804,-2.573080398,0.9142737892,2.216510363,-0.915551887,0.02388477495,12.16293986,23.76612587,37.26522558,17.46698741,0.7714694921,0.0,0.0,0.0,7.073676348,3.55,10.74258,17.21226049,2.479665346,1.912898413,0.0,0.0,2.893697772,0.0,1.664197244,0.0,4.592143098,27.48193107,0.5833333333
6.684029655,1.550107122,2.961538462,3.223140496,0.01228273946,0.640625,0.1838961498,-0.425173532,0.97795332,7.008272423,1.420015394,0.0,0.3195652174,0.3983098011,1.374355166,0.6111970808,1.036146273,0.9673682524,1.179970216,1.014842903,1.111519675,1.240074768,1.11814346,0.9457194813,0.9825273825,1.383005849,0.1281501888,1.972222222,1.793888889,0.4323664651,0.264066358,0.05333333333,-0.3650620415,-0.1031824582,0.9986330181,20.45493089,30.13109509,1.785197815,-2.921958736,1.743008987,1.855895035,-0.7829290354,0.2419674918,12.2386844,0.0,54.95175817,34.72467712,0.8912352026,1.975771616,0.0,0.0,0.0,4.44,5.316788604,5.693927995,2.477060554,1.953539736,0.0,0.0,2.908301157,0.0,0.0,0.0,4.55375734,1.667057351,0.5660377358
7.142667504,1.510056558,2.724369297,2.839506173,0.01719890356,0.6153846154,0.1871033944,-0.4923873591,0.9684575887,7.014213094,0.3002092232,10.02329115,0.2792553191,0.422690096,1.592977371,0.914622751,1.096140351,1.023310233,1.037037037,0.9808297977,0.9431134218,0.6843921966,0.7731884058,1.064051865,0.9886731182,0.6718932183,0.1442709928,1.8125,1.297777778,0.3124212648,0.20125,0.07222222222,-0.5716861687,-0.1061594259,0.9381553766,10.92424127,18.35520524,1.457688207,-2.676872075,0.668891496,1.085422478,-0.494476765,0.4493182363,11.49902367,13.55677072,62.37841095,23.13506761,0.7947419917,0.0,0.0,0.0,0.0,2.36,15.1926253,11.38785599,2.355558733,3.83331744,0.0,0.0,3.201210921,0.0,0.0,0.0,4.827861254,28.51788288,0.4444444444
7.161150909,1.418283712,2.391577061,3.124183007,0.01185756757,0.6893939394,0.2455859152,-0.4411416984,0.993840093,3.510026325,1.347835869,0.0,0.3305084746,0.2787603221,1.304826068,0.7651775263,1.081049149,0.92777316,1.082444051,1.014972819,0.9080881519,1.140524309,1.032227575,0.9385998467,0.9981319023,1.093549356,0.1313151719,2.111111111,1.561666667,0.2653533636,0.186257716,0.06172839506,-0.2256811218,0.07631905469,1.156051296,23.73959916,28.03955089,1.971336136,-2.894746311,1.258737129,1.090251058,-0.7191453266,0.2433123961,5.693927995,4.983978521,49.24949869,37.43640511,0.9164128697,2.193763306,0.0,0.0,4.332501179,3.59,0.0,17.80867761,2.54695347,2.022195826,0.0,0.0,0.0,0.0,2.483801233,0.0,4.500490354,9.81409874,0.5245901639
5.450016389,1.757127915,3.017304189,2.949152542,0.01503772994,0.6477272727,0.1853179454,-0.3869134947,0.9938486659,4.005274287,0.6050205064,0.0,0.3201219512,0.4236990573,1.602572835,1.123309368,1.045341615,0.8952842616,1.267080745,1.043218567,1.074027301,1.53759601,1.142449852,1.204616384,1.151639504,1.059909411,0.01632486481,1.222222222,1.326666667,0.09448223734,0.0425,0.06349206349,-0.6047044758,0.2746456076,0.9462528345,10.68920501,18.26135118,1.752450922,-1.720318506,0.0749972144,1.337042018,-0.6070092993,0.04929411398,5.693927995,9.967957042,24.26546827,11.58306779,0.9080704063,2.07135708,0.0,0.0,0.0,4.34,5.733667477,0.0,2.462826447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.212044087,0.0,0.6176470588
7.677780705,1.581122307,2.44028298,3.3125,0.01412150388,0.6730769231,0.2643470353,-0.4173607762,0.993844579,3.51001883,0.6094207542,0.0,0.3435114504,0.3466355334,1.415651066,0.8806539687,1.04254277,0.9181363196,0.9471142521,0.9384426978,1.077433294,1.131708532,1.446023742,1.004260681,1.189600371,0.8934831902,0.05163350679,1.388888889,1.354444444,0.2693609851,0.136257716,0.06718346253,-0.4356589511,0.04138601147,1.134641204,7.444584377,20.57191057,1.888847156,-2.447051409,0.5062432875,0.5947064721,-0.9189985796,0.5889239454,16.52595619,14.95193556,31.89811458,35.76911223,0.8685072019,2.22272854,0.0,0.0,0.0,6.71,0.0,30.27788178,2.497208695,2.022904813,0.0,0.0,0.0,0.4207821817,0.0,0.0,4.513463657,6.698744471,0.5681818182
7.193820026,1.488319459,2.94921875,2.748148148,0.01512459924,0.6637931034,0.2132966268,-0.4356902908,0.9776566619,7.008271822,1.343850114,0.0,0.3567961165,0.3066670127,1.44723382,0.6956622272,1.077186126,0.8266972972,1.250128853,0.9249455163,1.112418374,0.8922264573,1.154889396,0.7563912677,1.160061971,0.7378904952,0.1439669421,2.006944444,1.707777778,0.2454018644,0.162816358,0.06146572104,-0.4214781845,-0.05766824959,1.234874181,15.49921546,29.36794629,1.792292877,-2.453202462,1.193902105,1.423674917,-0.4850896078,0.08778305287,5.693927995,0.0,48.73693008,41.26943352,0.8644540784,1.819785,0.0,0.0,0.0,2.77,11.05045608,12.11474962,2.55375461,0.0,0.0,0.0,2.786465574,0.0,0.0,0.0,4.413009073,2.09865947,0.4897959184
