dataset_a,dataset_b,id,imputation,corr_distance,domain_acc,mmd_rbf
downstream_2_gaussian,upstream_2_gaussian,2,gaussian,35.20063978395775,0.7059859154929577,0.014743382508779157
downstream_3_gaussian,upstream_3_gaussian,3,gaussian,35.684840682878075,0.7309859154929577,0.013627849519710855
downstream_4_gaussian,upstream_4_gaussian,4,gaussian,35.75106263656078,0.7226134585289514,0.014200999163447192
downstream_2_gt,upstream_2_gt,2,gt,53.12501574254826,1.0,0.7388345313244737
downstream_3_gt,upstream_3_gt,3,gt,53.5068946926228,1.0,0.7079747192416611
downstream_4_gt,upstream_4_gt,4,gt,55.26542694595637,1.0,0.7271184650428562
downstream_2_mean,upstream_2_mean,2,mean,5.085701937078802,0.8150234741784036,0.14103372533976233
downstream_3_mean,upstream_3_mean,3,mean,4.319338235644961,0.8289514866979655,0.14015218884766778
downstream_4_mean,upstream_4_mean,4,mean,4.32918436697909,0.8485915492957746,0.14421597181452978
downstream_2_pseudo,upstream_2_pseudo,2,pseudo,73.89119050060457,1.0,0.7710472119521816
downstream_3_pseudo,upstream_3_pseudo,3,pseudo,70.82766690669433,1.0,0.8273078791790437
downstream_4_pseudo,upstream_4_pseudo,4,pseudo,96.96559688274922,1.0,0.814677030555561
