dataset,n_features,n_intersection,n_exclusive,n_imputed,effective_rank,delta_effective_rank__after_imputation,eff_rank_intersection,eff_rank_exclusive,eff_rank_imputed,mi_total,mi_imputed
downstream_2_gaussian,162,38,62,62,40.76676812948101,18.249239635479185,17.014244499822137,20.43458533196419,40.96596972036902,0.04495186273621126,0.03464653897517286
downstream_3_gaussian,165,38,62,65,41.241525235933246,18.723996741931423,17.014244499822137,20.43458533196419,41.53719975842674,0.044532638739250355,0.033949929664973566
downstream_4_gaussian,165,38,62,65,41.24676584092619,18.729237346924364,17.014244499822137,20.43458533196419,41.61857252357209,0.044609412686088805,0.0327447755376896
downstream_2_gt,162,38,62,62,24.175846180990753,1.65831768698893,17.014244499822137,20.43458533196419,19.919065006964505,0.050137848351582553,0.04680995814744622
downstream_3_gt,165,38,62,65,24.322914657196407,1.8053861631945836,17.014244499822137,20.43458533196419,20.11212904225721,0.05213161670733238,0.051430931990332045
downstream_4_gt,165,38,62,65,24.018188309371055,1.5006598153692323,17.014244499822137,20.43458533196419,19.793894626246374,0.0533490440473503,0.05642741010867639
downstream_2_mean,162,38,62,62,22.517528494001834,1.0658141036401503e-14,17.014244499822137,20.43458533196419,1.0,0.03203626992508625,0.0
downstream_3_mean,165,38,62,65,22.517528494001834,1.0658141036401503e-14,17.014244499822137,20.43458533196419,1.0,0.031507520670621236,0.0
downstream_4_mean,165,38,62,65,22.517528494001823,0.0,17.014244499822137,20.43458533196419,1.0,0.03211669558713313,0.0
downstream_2_pseudo,162,38,62,62,16.210767524404137,-6.306760969597686,17.014244499822137,20.43458533196419,4.63911009387408,0.05729162420882862,0.06473444787466208
downstream_3_pseudo,165,38,62,65,16.698671134701815,-5.818857359300008,17.014244499822137,20.43458533196419,4.654759476761497,0.05604314937268322,0.06099943061085656
downstream_4_pseudo,165,38,62,65,12.490286486700498,-10.027242007301325,17.014244499822137,20.43458533196419,1.456639326525596,0.03319628067460757,0.00425869251966363
upstream_2_gaussian,162,38,62,62,63.44236751662721,36.408563109224374,19.227286958052876,23.272266398883406,55.37548609339235,0.0737195940151314,0.016774699420774267
upstream_3_gaussian,165,35,65,65,63.38925026729471,38.09640415527983,16.724171050975333,22.66283409579672,57.887145488960215,0.07053804620451812,0.011705255959420723
upstream_4_gaussian,165,35,65,65,63.70199099623254,38.1708663117349,17.07032992791257,22.51675125969502,57.887145488960215,0.07410116348806674,0.011799841045387114
upstream_2_gt,162,38,62,62,30.611506897111667,3.5777024897088303,19.227286958052876,23.272266398883406,23.853580324250196,0.10970145494005365,0.11000801326641058
upstream_3_gt,165,35,65,65,30.072349686748055,4.779503574733166,16.724171050975333,22.66283409579672,25.541328769515776,0.1097756629582281,0.11156742889326206
upstream_4_gt,165,35,65,65,29.752298048468006,4.221173363970365,17.07032992791257,22.51675125969502,24.51699764660171,0.11328900384486584,0.10993013553267927
upstream_2_mean,162,38,62,62,27.033804407402837,0.0,19.227286958052876,23.272266398883406,1.0,0.06724036796999748,9.477845810181959e-05
upstream_3_mean,165,35,65,65,25.29284611201489,0.0,16.724171050975333,22.66283409579672,1.0,0.06568818185595193,0.00010151180513596843
upstream_4_mean,165,35,65,65,25.53112468449763,-1.0658141036401503e-14,17.07032992791257,22.51675125969502,1.0,0.07075231779523546,7.754280750581062e-05
upstream_2_pseudo,162,38,62,62,18.318779099924146,-8.71502530747869,19.227286958052876,23.272266398883406,4.061535904092556,0.09901666053530551,0.08328963378603735
upstream_3_pseudo,165,35,65,65,19.393500087537173,-5.899346024477715,16.724171050975333,22.66283409579672,5.725399850909972,0.08431617553469788,0.04789068691631599
upstream_4_pseudo,165,35,65,65,13.566139276718385,-11.964985407779256,17.07032992791257,22.51675125969502,1.5879060070243176,0.08965693257041973,0.05044346807573103
