dataset,n_features,n_components_90,effective_rank
downstream_2_gaussian,163,40,40.837245028121195
downstream_3_gaussian,166,41,41.29785182403122
downstream_4_gaussian,166,41,41.301892409035645
downstream_2_gt,163,24,24.320383579177747
downstream_3_gt,166,25,24.46360069256404
downstream_4_gt,166,24,24.157883857878737
downstream_2_mean,163,22,22.725938476898364
downstream_3_mean,166,22,22.725938476898392
downstream_4_mean,166,22,22.72593847689837
downstream_2_pseudo,163,18,16.35053981978458
downstream_3_pseudo,166,18,16.848964949737987
downstream_4_pseudo,166,17,12.639502732733124
upstream_2_gaussian,163,68,63.57668548989167
upstream_3_gaussian,166,69,63.57067938902657
upstream_4_gaussian,166,69,63.860494843420355
upstream_2_gt,163,31,30.784235011043364
upstream_3_gt,166,31,30.252578621171654
upstream_4_gt,166,31,29.927387396441826
upstream_2_mean,163,28,27.265306122118506
upstream_3_mean,166,26,25.54809393334142
upstream_4_mean,166,27,25.771811680008547
upstream_2_pseudo,163,22,18.489688402914986
upstream_3_pseudo,166,21,19.586656721891128
upstream_4_pseudo,166,21,13.733929579546512
