sample,strategy,imputation,best,worst,mean,std,mode,median,count
5,FS,Not Used,1.3790780305862427,1.7484021186828613,1.5130613565444946,0.10995560750174974,1.4822379350662231,1.4829049110412598,10
5,LH,Real,1.3847287893295288,1.4071193933486938,1.3989845514297485,0.006119629102048899,1.4039968252182007,1.3988869786262512,10
5,LH-E2E,Real,1.0506044626235962,1.2608071565628052,1.2209033846855164,0.062470287746991836,1.2391437292099,1.2417405247688293,10
5,MLP,Real,1.4097511768341064,1.4550167322158813,1.4270172238349914,0.014665750269423952,1.4247628450393677,1.4253545999526978,10
5,MLP-E2E,Real,1.0339720249176025,1.2231042385101318,1.1505805730819703,0.06789071592837508,1.0547044277191162,1.1786394119262695,10
10,FS,Not Used,1.105506181716919,1.3287616968154907,1.1945750713348389,0.08342141379903362,1.105506181716919,1.160092055797577,10
10,LH,Real,1.1584763526916504,1.1784895658493042,1.1701165676116942,0.005747226833909443,1.1734212636947632,1.1707594990730286,10
10,LH-E2E,Real,0.9200707674026489,1.0146641731262207,0.9763032972812653,0.04004868474894652,0.9901781678199768,0.9981262981891632,10
10,MLP,Real,1.1011329889297485,1.1352652311325073,1.1147529006004333,0.011593207143987112,1.1352652311325073,1.1121230125427246,10
10,MLP-E2E,Real,0.9435370564460754,1.3942092657089233,1.04586700797081,0.16725253168398918,0.9804744720458984,0.9749779403209686,10
20,FS,Not Used,0.7587091326713562,0.9629485011100769,0.851641321182251,0.05351511655711221,0.842197835445404,0.8447583615779877,10
20,LH,Real,0.9210935831069946,0.9327623844146729,0.9267262578010559,0.0035616304025603996,0.9289954900741577,0.9272551834583282,10
20,LH-E2E,Real,0.6554240584373474,0.6854339838027954,0.6723929941654205,0.009793817347282277,0.6683921813964844,0.6703507602214813,10
20,MLP,Real,0.8544057011604309,0.884378969669342,0.8648704469203949,0.009947026583179265,0.884378969669342,0.862036943435669,10
20,MLP-E2E,Real,0.6672126650810242,0.7801918983459473,0.6838196337223053,0.03405285037487814,0.6747477054595947,0.6743385493755341,10
50,FS,Not Used,1.1810110807418823,1.2977358102798462,1.2298346877098083,0.03573474219559587,1.2977358102798462,1.2228294610977173,10
50,LH,Real,1.080379605293274,1.0961500406265259,1.085537278652191,0.004853909439073715,1.0832593441009521,1.0846670269966125,10
50,LH-E2E,Real,0.8111265301704407,0.8336045145988464,0.8234898090362549,0.007522533871948271,0.8262405395507812,0.8265993297100067,10
50,MLP,Real,0.9755833745002747,1.0054185390472412,0.9918240904808044,0.00988615389884437,0.984505832195282,0.9936785697937012,10
50,MLP-E2E,Real,0.821362316608429,0.8365815281867981,0.830271315574646,0.00612886918169864,0.8286169767379761,0.83206507563591,10
75,FS,Not Used,0.9137047529220581,1.1296192407608032,0.978467333316803,0.06520639627304049,0.9334622025489807,0.9616486430168152,10
75,LH,Real,1.101789116859436,1.1180461645126343,1.1075735807418823,0.004883010586741409,1.1047691106796265,1.1071469187736511,10
75,LH-E2E,Real,0.8627851009368896,0.8953743577003479,0.8833165824413299,0.009542165046489585,0.870292067527771,0.8861477673053741,10
75,MLP,Real,0.9974949955940247,1.0314401388168335,1.0181775510311126,0.010862559812482225,1.0222713947296143,1.020740032196045,10
75,MLP-E2E,Real,0.8846446871757507,0.9166527390480042,0.8997132122516632,0.010724562634506085,0.8909488320350647,0.8979560434818268,10
