sample,strategy,imputation,upstream,mean_gain,std_gain,prob_positive,n_runs,mean_rmse,mean_best,profile,cluster
5,LH,Gaussian,2,-0.031798831628244574,0.300187229083449,0.43333333333333335,120,1.683569848537445,1.79007492462794,Unstable,0
5,LH,Gaussian,3,-0.1402383925326516,0.32169652191161036,0.275,120,1.860508966445923,1.79007492462794,Unstable,0
5,LH,Gaussian,4,-0.11378053419380763,0.31353233672196856,0.30833333333333335,120,1.8173380970954895,1.79007492462794,Unstable,0
5,LH,Ground Truth,2,0.46056018904643437,0.15155944349829162,1.0,120,0.880195415019989,1.79007492462794,Consistent Positive,3
5,LH,Ground Truth,3,0.33043102318306844,0.19786693951696194,0.95,120,1.0925251185894012,1.79007492462794,Consistent Positive,3
5,LH,Ground Truth,4,0.34692115835960197,0.19104934922992664,0.975,120,1.0656184256076813,1.79007492462794,Consistent Positive,3
5,LH,Mean,2,-0.14533138240963633,0.32184172446092524,0.25,120,1.8688191175460815,1.79007492462794,Unstable,0
5,LH,Mean,3,-0.12010152972629252,0.31487977315472754,0.2916666666666667,120,1.8276519656181336,1.79007492462794,Unstable,0
5,LH,Mean,4,-0.2893445540653911,0.3621036894822303,0.25,120,2.1038031339645387,1.79007492462794,Unstable,0
5,LH,Pseudo-Feature,2,0.26404836557847483,0.20678828724842915,0.9166666666666666,120,1.2008406519889832,1.79007492462794,Consistent Positive,3
5,LH,Pseudo-Feature,3,0.08561305217111088,0.2579501262986744,0.625,120,1.4919907331466675,1.79007492462794,Unstable,3
5,LH,Pseudo-Feature,4,0.13543708539723925,0.24321682612404344,0.675,120,1.410693645477295,1.79007492462794,Unstable,3
5,LH-E2E,Gaussian,2,-0.034503455564188476,0.29642711894328594,0.4166666666666667,120,1.687982940673828,1.79007492462794,Unstable,0
5,LH-E2E,Gaussian,3,-0.09744347963470167,0.31619267203508056,0.31666666666666665,120,1.7906811833381653,1.79007492462794,Unstable,0
5,LH-E2E,Gaussian,4,-0.24874483168704345,0.35345915304504294,0.25,120,2.0375572085380553,1.79007492462794,Unstable,0
5,LH-E2E,Ground Truth,2,0.23058174846735233,0.23738134395637617,0.85,120,1.2554476022720338,1.79007492462794,Consistent Positive,3
5,LH-E2E,Ground Truth,3,0.37790375697474304,0.17877373499544755,0.9916666666666667,120,1.0150646090507507,1.79007492462794,Consistent Positive,3
5,LH-E2E,Ground Truth,4,0.2213026871710916,0.22693364690577011,0.8333333333333334,120,1.2705880999565125,1.79007492462794,Consistent Positive,3
5,LH-E2E,Mean,2,0.16154723382221742,0.24506274931417868,0.7333333333333333,120,1.3680901288986207,1.79007492462794,Unstable,3
5,LH-E2E,Mean,3,0.0348692055657943,0.2921531629928633,0.5333333333333333,120,1.5747886657714845,1.79007492462794,Unstable,3
5,LH-E2E,Mean,4,-0.24882092268262918,0.35937679057062166,0.25,120,2.0376813650131225,1.79007492462794,Unstable,0
5,LH-E2E,Pseudo-Feature,2,0.30660816716303596,0.1968469158823916,0.925,120,1.1313964962959289,1.79007492462794,Consistent Positive,3
5,LH-E2E,Pseudo-Feature,3,0.02682828321460431,0.28912806713517913,0.5416666666666666,120,1.5879089117050171,1.79007492462794,Unstable,3
5,LH-E2E,Pseudo-Feature,4,0.13962871660985568,0.254755380929572,0.7166666666666667,120,1.4038542270660401,1.79007492462794,Unstable,3
5,MLP,Gaussian,2,0.030323917433031998,0.2743722162388518,0.55,120,1.5822051405906676,1.79007492462794,Unstable,3
5,MLP,Gaussian,3,-0.05734499344782311,0.29785831370045984,0.35,120,1.7252531170845031,1.79007492462794,Unstable,0
5,MLP,Gaussian,4,-0.07736006682581788,0.30351686804329436,0.3333333333333333,120,1.7579113960266113,1.79007492462794,Unstable,0
5,MLP,Ground Truth,2,0.42170230389445007,0.1686401025355129,0.9916666666666667,120,0.9435992121696473,1.79007492462794,Consistent Positive,3
5,MLP,Ground Truth,3,0.49736629493161044,0.14200041522673496,1.0,120,0.8201394736766815,1.79007492462794,Consistent Positive,3
5,MLP,Ground Truth,4,0.3726813356932651,0.1784344613686151,0.9916666666666667,120,1.0235859513282777,1.79007492462794,Consistent Positive,3
5,MLP,Mean,2,-0.12776668749025624,0.3180283081049412,0.2833333333333333,120,1.8401590824127196,1.79007492462794,Unstable,0
5,MLP,Mean,3,-0.10841987058698416,0.31332126070168353,0.3,120,1.8085911870002747,1.79007492462794,Unstable,0
5,MLP,Mean,4,-0.2900913490137141,0.3625220227620496,0.25,120,2.105021667480469,1.79007492462794,Unstable,0
5,MLP,Pseudo-Feature,2,0.2744269947287573,0.20384311945147357,0.9166666666666666,120,1.1839060068130494,1.79007492462794,Consistent Positive,3
5,MLP,Pseudo-Feature,3,0.03647823605977583,0.27635463827506074,0.5416666666666666,120,1.5721632361412048,1.79007492462794,Unstable,3
5,MLP,Pseudo-Feature,4,0.14368471370504063,0.24259726285233815,0.7,120,1.3972361207008361,1.79007492462794,Unstable,3
5,MLP-E2E,Gaussian,2,-0.2264932017580488,0.354164829144987,0.25833333333333336,120,2.001249575614929,1.79007492462794,Unstable,0
5,MLP-E2E,Gaussian,3,-0.37612866146152246,0.3909686026819959,0.25,120,2.2454073905944822,1.79007492462794,Unstable,0
5,MLP-E2E,Gaussian,4,-0.5757333519375739,0.450899531575586,0.14166666666666666,120,2.5710992097854612,1.79007492462794,Consistent Negative,0
5,MLP-E2E,Ground Truth,2,-0.13649822238400305,0.3511790296637629,0.31666666666666665,120,1.854406189918518,1.79007492462794,Unstable,0
5,MLP-E2E,Ground Truth,3,0.25122361000600885,0.21176349945474632,0.9,120,1.2217666029930114,1.79007492462794,Consistent Positive,3
5,MLP-E2E,Ground Truth,4,0.0654959883660036,0.27026581849790265,0.5916666666666667,120,1.5248154282569886,1.79007492462794,Unstable,3
5,MLP-E2E,Mean,2,0.11006625067435459,0.2597641009186643,0.6583333333333333,120,1.4520908355712892,1.79007492462794,Unstable,3
5,MLP-E2E,Mean,3,-0.18465959977696608,0.3618252165539727,0.3,120,1.932990348339081,1.79007492462794,Unstable,0
5,MLP-E2E,Mean,4,-0.3930224990041704,0.3960530657212732,0.25,120,2.2729727983474732,1.79007492462794,Unstable,0
5,MLP-E2E,Pseudo-Feature,2,0.27573157356954164,0.2043969267837901,0.9166666666666666,120,1.1817773461341858,1.79007492462794,Consistent Positive,3
5,MLP-E2E,Pseudo-Feature,3,-0.2836230591401822,0.3823629735097895,0.25833333333333336,120,2.0944674611091614,1.79007492462794,Unstable,0
5,MLP-E2E,Pseudo-Feature,4,0.1732106720356505,0.25025781442471384,0.7583333333333333,120,1.3490590810775758,1.79007492462794,Unstable,3
10,LH,Gaussian,2,-0.057637274300432646,0.323021652546218,0.4166666666666667,120,1.4908295273780823,1.5548800925413768,Unstable,0
10,LH,Gaussian,3,-0.3778056081894355,0.4049767276282015,0.25,120,1.9421339750289917,1.5548800925413768,Unstable,0
10,LH,Gaussian,4,-0.28392918959390095,0.3768193969022338,0.25,120,1.8098071932792663,1.5548800925413768,Unstable,0
10,LH,Ground Truth,2,0.4032951819834674,0.17482073528074052,1.0,120,0.8411060988903045,1.5548800925413768,Consistent Positive,3
10,LH,Ground Truth,3,0.2925732556912965,0.21978739874806583,0.8916666666666667,120,0.997178053855896,1.5548800925413768,Consistent Positive,3
10,LH,Ground Truth,4,0.32927416875774024,0.20495713046756595,0.95,120,0.9454450011253357,1.5548800925413768,Consistent Positive,3
10,LH,Mean,2,-0.12704804127180316,0.3301287744140359,0.3333333333333333,120,1.5886698961257935,1.5548800925413768,Unstable,0
10,LH,Mean,3,-0.18731048819316498,0.34789767216064393,0.25,120,1.6736149311065673,1.5548800925413768,Unstable,0
10,LH,Mean,4,-0.4352588770456528,0.4204565233747863,0.25,120,2.0231192350387572,1.5548800925413768,Unstable,0
10,LH,Pseudo-Feature,2,0.23497519369405703,0.22414505693808898,0.8333333333333334,120,1.0783674120903015,1.5548800925413768,Consistent Positive,3
10,LH,Pseudo-Feature,3,0.08346488058340958,0.2700318378872406,0.5833333333333334,120,1.291934061050415,1.5548800925413768,Unstable,3
10,LH,Pseudo-Feature,4,-0.026389568105596773,0.3010984519650639,0.43333333333333335,120,1.4467832326889039,1.5548800925413768,Unstable,0
10,LH-E2E,Gaussian,2,-0.017695120977285365,0.30133161680090015,0.44166666666666665,120,1.4345276713371278,1.5548800925413768,Unstable,0
10,LH-E2E,Gaussian,3,-0.253342790825931,0.37304484673038213,0.25,120,1.7666930675506591,1.5548800925413768,Unstable,0
10,LH-E2E,Gaussian,4,-0.31901422270812413,0.3900563528800671,0.25,120,1.8592625260353088,1.5548800925413768,Unstable,0
10,LH-E2E,Ground Truth,2,0.21870693035426958,0.23536069797525241,0.85,120,1.1012989103794097,1.5548800925413768,Consistent Positive,3
10,LH-E2E,Ground Truth,3,0.3666939437000438,0.1908969327492673,0.9666666666666667,120,0.8926986515522003,1.5548800925413768,Consistent Positive,3
10,LH-E2E,Ground Truth,4,0.24637516929132303,0.23303564865932386,0.8416666666666667,120,1.0622981786727905,1.5548800925413768,Consistent Positive,3
10,LH-E2E,Mean,2,0.12900175258405946,0.2565125836181327,0.6916666666666667,120,1.2277459740638732,1.5548800925413768,Unstable,3
10,LH-E2E,Mean,3,-0.05564628192662229,0.3170540950870629,0.4083333333333333,120,1.488023054599762,1.5548800925413768,Unstable,0
10,LH-E2E,Mean,4,-0.31525168147567445,0.3882688699211014,0.25,120,1.8539589047431946,1.5548800925413768,Unstable,0
10,LH-E2E,Pseudo-Feature,2,0.3035375367943302,0.20616494853579645,0.9083333333333333,120,0.9817229688167572,1.5548800925413768,Consistent Positive,3
10,LH-E2E,Pseudo-Feature,3,0.02032037274605751,0.29391411580925597,0.5,120,1.3809416055679322,1.5548800925413768,Unstable,0
10,LH-E2E,Pseudo-Feature,4,0.022738513765785073,0.2982564249618861,0.5166666666666667,120,1.3775330305099487,1.5548800925413768,Unstable,0
10,MLP,Gaussian,2,0.013531358023813828,0.29824611673535706,0.5,120,1.3905112981796264,1.5548800925413768,Unstable,0
10,MLP,Gaussian,3,-0.2871952597473419,0.37746972868976053,0.25,120,1.8144109964370727,1.5548800925413768,Unstable,0
10,MLP,Gaussian,4,-0.23775158616732597,0.3629263259534455,0.25,120,1.744715940952301,1.5548800925413768,Unstable,0
10,MLP,Ground Truth,2,0.37061133350513037,0.18868188197279717,0.975,120,0.8871767580509186,1.5548800925413768,Consistent Positive,3
10,MLP,Ground Truth,3,0.49093434912407385,0.1494007768491932,1.0,120,0.7175712525844574,1.5548800925413768,Consistent Positive,3
10,MLP,Ground Truth,4,0.36108307628690767,0.18802603668331852,0.9833333333333333,120,0.9006076455116272,1.5548800925413768,Consistent Positive,3
10,MLP,Mean,2,-0.11501848909663541,0.3268936047265068,0.3333333333333333,120,1.5717132210731506,1.5548800925413768,Unstable,0
10,MLP,Mean,3,-0.19433077784254688,0.3504988073149846,0.25833333333333336,120,1.6835106253623962,1.5548800925413768,Unstable,0
10,MLP,Mean,4,-0.4338513618740236,0.42039310513627604,0.25,120,2.021135222911835,1.5548800925413768,Unstable,0
10,MLP,Pseudo-Feature,2,0.24131929150980946,0.2222252960954262,0.8333333333333334,120,1.0694248676300049,1.5548800925413768,Consistent Positive,3
10,MLP,Pseudo-Feature,3,0.01408252929767861,0.28959458554238626,0.5,120,1.3897343754768372,1.5548800925413768,Unstable,0
10,MLP,Pseudo-Feature,4,-0.010384450083225116,0.2971134425181527,0.45,120,1.4242226600646972,1.5548800925413768,Unstable,0
10,MLP-E2E,Gaussian,2,-0.2963157053628661,0.397112693511254,0.25833333333333336,120,1.8272670388221741,1.5548800925413768,Unstable,0
10,MLP-E2E,Gaussian,3,-0.4887303641234325,0.4382785088392776,0.25,120,2.098491835594177,1.5548800925413768,Unstable,0
10,MLP-E2E,Gaussian,4,-0.6017067325606043,0.47416612712947553,0.16666666666666666,120,2.257741618156433,1.5548800925413768,Consistent Negative,0
10,MLP-E2E,Ground Truth,2,-0.23074901403622228,0.38559522904570925,0.2916666666666667,120,1.734845221042633,1.5548800925413768,Unstable,0
10,MLP-E2E,Ground Truth,3,0.2079708880976763,0.23503371161204298,0.8166666666666667,120,1.1164322733879088,1.5548800925413768,Consistent Positive,3
10,MLP-E2E,Ground Truth,4,0.13465225395872824,0.27050263881923703,0.7,120,1.2197811126708984,1.5548800925413768,Unstable,3
10,MLP-E2E,Mean,2,0.11829621913280687,0.25921668439362294,0.65,120,1.242836332321167,1.5548800925413768,Unstable,3
