sample,strategy,imputation,upstream,mean_gain,std_gain,prob_positive,n_runs,mean_rmse,mean_best,profile,cluster
5,MLP,Ground Truth,3,0.49736629493161044,0.14200041522673496,1.0,120,0.8201394736766815,1.79007492462794,Consistent Positive,3
10,MLP,Ground Truth,3,0.49093434912407385,0.1494007768491932,1.0,120,0.7175712525844574,1.5548800925413768,Consistent Positive,3
5,LH,Ground Truth,2,0.46056018904643437,0.15155944349829162,1.0,120,0.880195415019989,1.79007492462794,Consistent Positive,3
5,MLP,Ground Truth,2,0.42170230389445007,0.1686401025355129,0.9916666666666667,120,0.9435992121696473,1.79007492462794,Consistent Positive,3
10,LH,Ground Truth,2,0.4032951819834674,0.17482073528074052,1.0,120,0.8411060988903045,1.5548800925413768,Consistent Positive,3
5,LH-E2E,Ground Truth,3,0.37790375697474304,0.17877373499544755,0.9916666666666667,120,1.0150646090507507,1.79007492462794,Consistent Positive,3
5,MLP,Ground Truth,4,0.3726813356932651,0.1784344613686151,0.9916666666666667,120,1.0235859513282777,1.79007492462794,Consistent Positive,3
10,MLP,Ground Truth,2,0.37061133350513037,0.18868188197279717,0.975,120,0.8871767580509186,1.5548800925413768,Consistent Positive,3
20,MLP,Ground Truth,3,0.36724871462736225,0.15778983592541534,1.0,120,0.6673338353633881,1.132521390914917,Consistent Positive,3
10,LH-E2E,Ground Truth,3,0.3666939437000438,0.1908969327492673,0.9666666666666667,120,0.8926986515522003,1.5548800925413768,Consistent Positive,3
10,MLP,Ground Truth,4,0.36108307628690767,0.18802603668331852,0.9833333333333333,120,0.9006076455116272,1.5548800925413768,Consistent Positive,3
5,LH,Ground Truth,4,0.34692115835960197,0.19104934922992664,0.975,120,1.0656184256076813,1.79007492462794,Consistent Positive,3
5,LH,Ground Truth,3,0.33043102318306844,0.19786693951696194,0.95,120,1.0925251185894012,1.79007492462794,Consistent Positive,3
10,LH,Ground Truth,4,0.32927416875774024,0.20495713046756595,0.95,120,0.9454450011253357,1.5548800925413768,Consistent Positive,3
10,MLP-E2E,Pseudo-Feature,2,0.3282106060095643,0.1977946020053683,0.9333333333333333,120,0.9469441831111908,1.5548800925413768,Consistent Positive,3
5,LH-E2E,Pseudo-Feature,2,0.30660816716303596,0.1968469158823916,0.925,120,1.1313964962959289,1.79007492462794,Consistent Positive,3
10,LH-E2E,Pseudo-Feature,2,0.3035375367943302,0.20616494853579645,0.9083333333333333,120,0.9817229688167572,1.5548800925413768,Consistent Positive,3
50,MLP,Ground Truth,3,0.3023955377572195,0.14548432349747145,0.9166666666666666,120,0.6443615913391113,0.9632539302110672,Consistent Positive,2
20,MLP-E2E,Pseudo-Feature,2,0.2945420906764908,0.1766568291263692,0.9583333333333334,120,0.7440141856670379,1.132521390914917,Consistent Positive,3
75,MLP,Ground Truth,3,0.29374082955153175,0.11921651930675738,0.975,120,0.6437926471233368,0.9364026188850403,Consistent Positive,2
