sample,strategy,imputation,upstream,mean_gain,std_gain,prob_positive,n_runs,mean_rmse,mean_best,profile,cluster
5,MLP,Ground Truth,3,0.5123764969889162,0.06007617886665939,1.0,120,0.8201394736766815,1.7073884109656017,Consistent Positive,1
5,LH,Ground Truth,2,0.4766695356312721,0.06269980089435775,1.0,120,0.880195415019989,1.7073884109656017,Consistent Positive,1
50,MLP,Ground Truth,3,0.44799344013772113,0.09641457324546777,1.0,120,0.6443615913391113,1.2071190973122914,Consistent Positive,1
10,MLP,Ground Truth,3,0.44489453615150454,0.11069780015278552,1.0,120,0.7175712525844574,1.343152125676473,Consistent Positive,1
5,MLP,Ground Truth,2,0.43897206750220025,0.07952763618462698,1.0,120,0.9435992121696473,1.7073884109656017,Consistent Positive,1
5,LH-E2E,Ground Truth,3,0.39648148109618725,0.0804833981571025,1.0,120,1.0150646090507507,1.7073884109656017,Consistent Positive,1
5,MLP,Ground Truth,4,0.39141501751884433,0.07747564819448614,1.0,120,1.0235859513282777,1.7073884109656017,Consistent Positive,1
50,LH-E2E,Pseudo-Feature,2,0.36731873096732737,0.11167938289919722,1.0,120,0.7385338127613068,1.2071190973122914,Consistent Positive,1
5,LH,Ground Truth,4,0.3664241190117129,0.09093632523764002,1.0,120,1.0656184256076813,1.7073884109656017,Consistent Positive,1
50,MLP-E2E,Pseudo-Feature,2,0.3656485611289311,0.11127261068210398,1.0,120,0.7404834151268005,1.2071190973122914,Consistent Positive,1
5,LH,Ground Truth,3,0.35042643043885147,0.09688754883267087,1.0,120,1.0925251185894012,1.7073884109656017,Consistent Positive,1
10,LH,Ground Truth,2,0.3493292972806947,0.1292930803309716,1.0,120,0.8411060988903045,1.343152125676473,Consistent Positive,1
5,LH-E2E,Pseudo-Feature,2,0.3273149988196043,0.08485546691430584,1.0,120,1.1313964962959289,1.7073884109656017,Consistent Positive,1
20,MLP,Ground Truth,3,0.3142827325937766,0.09578411321182927,1.0,120,0.6673338353633881,0.9946902841329575,Consistent Positive,1
10,MLP,Ground Truth,2,0.3136895269707093,0.14289407435126003,0.9666666666666667,120,0.8871767580509186,1.343152125676473,Consistent Positive,1
10,LH-E2E,Ground Truth,3,0.30941784908184317,0.14534400211611465,0.9583333333333334,120,0.8926986515522003,1.343152125676473,Consistent Positive,1
10,MLP,Ground Truth,4,0.30329953575113205,0.13972686857816377,0.9833333333333333,120,0.9006076455116272,1.343152125676473,Consistent Positive,1
5,MLP-E2E,Pseudo-Feature,2,0.29736047611790706,0.08610920887440458,1.0,120,1.1817773461341858,1.7073884109656017,Consistent Positive,1
5,MLP,Pseudo-Feature,2,0.29609485604929103,0.08430912662293367,1.0,120,1.1839060068130494,1.7073884109656017,Consistent Positive,1
50,LH,Ground Truth,2,0.295396271589871,0.12309252377686809,1.0,120,0.8224894642829895,1.2071190973122914,Consistent Positive,1
