upstream,strategy,imputation,mean_pct_gain,median_pct_gain,count,mean_pct_gain_pct
2,LH,Gaussian,-0.2679752860265099,-0.24977959367260733,5,-26.79752860265099
2,LH,Mean,-0.21683897979953878,-0.22328881785362842,5,-21.68389797995388
2,LH-E2E,Gaussian,-0.13259765015220903,-0.14193541355915967,5,-13.259765015220903
2,LH-E2E,Mean,0.0783527604806594,0.09349229227797573,5,7.835276048065939
2,MLP,Gaussian,-0.22365546896703786,-0.2321414731473631,5,-22.365546896703787
2,MLP,Mean,-0.07347503943297257,-0.09290305837669932,5,-7.347503943297257
2,MLP-E2E,Gaussian,-0.1186402883486545,-0.1714087916908855,5,-11.86402883486545
2,MLP-E2E,Mean,0.08850480267395724,0.10377224625478687,5,8.850480267395724
3,LH,Gaussian,-0.2509440977736713,-0.23654023302755336,5,-25.094409777367133
3,LH,Mean,-0.12928163621726546,-0.11140434951075429,5,-12.928163621726545
3,LH-E2E,Gaussian,-0.10656909312199067,-0.08022743708800517,5,-10.656909312199067
3,LH-E2E,Mean,-0.0019731026569399985,0.013846207172778178,5,-0.19731026569399984
3,MLP,Gaussian,-0.24367477941792756,-0.2538210759161601,5,-24.367477941792757
3,MLP,Mean,-0.1307527730062595,-0.11220930206570862,5,-13.07527730062595
3,MLP-E2E,Gaussian,-0.19343561132922057,-0.12324437275636287,5,-19.34356113292206
3,MLP-E2E,Mean,0.00225904667213249,0.0005204660200960075,5,0.225904667213249
4,LH,Gaussian,-0.35976560325630774,-0.32746831159240974,5,-35.97656032563077
4,LH,Mean,-0.15498123266471095,-0.11227205689782722,5,-15.498123266471096
4,LH-E2E,Gaussian,-0.12431277046848455,0.0007927808468995653,5,-12.431277046848454
4,LH-E2E,Mean,0.023625857549332503,0.04333721265908474,5,2.3625857549332503
4,MLP,Gaussian,-0.40463750863391557,-0.3703147667457546,5,-40.46375086339155
4,MLP,Mean,-0.1348458195990993,-0.07332512255178734,5,-13.48458195990993
4,MLP-E2E,Gaussian,-0.30890554566488654,-0.27127214298592733,5,-30.890554566488653
4,MLP-E2E,Mean,0.04420409396292644,0.012703420214824587,5,4.420409396292644
