sample,strategy,imputation,best,worst,mean,std,mode,median,count
5,FS,Not Used,1.309106707572937,1.8207999467849731,1.5255015333493551,0.10454699914139758,1.4447264671325684,1.5165321230888367,120
5,LH,Gaussian,1.1863658428192139,1.4074424505233765,1.308208131790161,0.07955590076652327,1.3969106674194336,1.3315793871879578,30
5,LH,Mean,0.9625558257102966,1.2464349269866943,1.1400188326835632,0.12468591563816346,1.216050148010254,1.218066930770874,30
5,LH,PseudoFeature,1.2549138069152832,1.4032137393951416,1.3168023069699606,0.0458684605763195,1.319854497909546,1.2945682406425476,30
5,LH,RealValue,1.2362326383590698,1.4071193933486938,1.32171128988266,0.061641447206729094,1.4039968252182007,1.3137277364730835,30
5,LH-E2E,Gaussian,1.0671368837356567,1.414571762084961,1.2503093401590983,0.11862290062526133,1.4035382270812988,1.2806349992752075,30
5,LH-E2E,Mean,0.9242033958435059,1.200043797492981,1.0783072233200073,0.0986374088254051,1.111701250076294,1.1219497323036194,30
5,LH-E2E,PseudoFeature,0.9175272583961487,1.4325013160705566,1.138795554637909,0.15719088255907976,1.0100986957550049,1.0906934142112732,30
5,LH-E2E,RealValue,0.8545461297035217,1.458195686340332,1.178655219078064,0.18821166849763585,1.2391437292099,1.2417405247688293,30
5,MLP,Gaussian,1.0949653387069702,1.5185288190841675,1.335951824982961,0.16775869065475246,1.4464643001556396,1.4300565719604492,30
5,MLP,Mean,0.9201704859733582,1.2487671375274658,1.1134706735610962,0.13392541007652334,1.1894057989120483,1.1740015149116516,30
5,MLP,PseudoFeature,1.2798947095870972,1.4653301239013672,1.3320787747701008,0.059664012440500666,1.2993799448013306,1.2961808443069458,30
5,MLP,RealValue,1.2235747575759888,1.4550167322158813,1.321802818775177,0.08193559617157302,1.4247628450393677,1.303682267665863,30
5,MLP-E2E,Gaussian,1.0851329565048218,1.4181857109069824,1.2409491578737895,0.1141413268008842,1.2380720376968384,1.2604679465293884,30
5,MLP-E2E,Mean,0.9537978172302246,1.1687310934066772,1.0827491601308188,0.07642079823002705,1.1115634441375732,1.109742283821106,30
5,MLP-E2E,PseudoFeature,0.8975557088851929,1.4423422813415527,1.1415461381276448,0.17393599153290515,1.057206153869629,1.0832273960113525,30
5,MLP-E2E,RealValue,0.911575973033905,1.412176251411438,1.147949508825938,0.15258961613371655,1.0547044277191162,1.1435803174972534,30
10,FS,Not Used,0.9013084769248962,1.4913904666900635,1.1602676048874856,0.10186199904065538,1.1336641311645508,1.1566115617752075,120
10,LH,Gaussian,1.1357882022857666,1.2604995965957642,1.2031739950180054,0.042153621391586696,1.1357882022857666,1.199203073978424,30
10,LH,Mean,1.0100340843200684,1.1539586782455444,1.0561405181884767,0.056951488220214924,1.1171590089797974,1.0195870995521545,30
10,LH,PseudoFeature,1.1700011491775513,1.35892653465271,1.2495907505353292,0.06960576505426132,1.1875118017196655,1.2236460447311401,30
10,LH,RealValue,1.0798912048339844,1.2555646896362305,1.1666582147280375,0.06716372791600107,1.1734212636947632,1.1707594990730286,30
10,LH-E2E,Gaussian,0.9080703258514404,1.5583046674728394,1.2127834558486938,0.2067552628965117,1.0122343301773071,1.1672301292419434,30
10,LH-E2E,Mean,0.811031699180603,1.210950255393982,0.9148749192555745,0.0702098043692065,0.811031699180603,0.9041284322738647,30
10,LH-E2E,PseudoFeature,0.9096861481666565,1.3193225860595703,1.0780106524626414,0.11655741532149104,1.0091772079467773,1.0341936945915222,30
10,LH-E2E,RealValue,0.8280125260353088,1.2739248275756836,1.0061518510182699,0.163366594524038,0.9901781678199768,0.9643570482730865,30
