sample,strategy,imputation,best,worst,mean,std,mode,median,count
5,FS,Not Used,1.0472735755601852,1.2717502357169777,1.174946467078385,0.06765847344469816,1.2555473319495234,1.1626458318092165,10
5,LH,Mean,1.17752729622261,1.211406569953653,1.1948837088593032,0.011701197299176964,1.1899697032577878,1.194416681286118,10
5,LH-E2E,Mean,1.091584527241819,1.153919745583371,1.1254285981525307,0.01794130000891008,1.111701307857412,1.1281496770876096,10
5,MLP,Mean,1.1519703448266996,1.2371549213924684,1.176511151163366,0.024947414249436212,1.1894057609413342,1.17400150554296,10
5,MLP-E2E,Mean,1.0777815077397401,1.168731139978883,1.1180926165324812,0.02901801744299411,1.111563518919669,1.113359308320274,10
10,FS,Not Used,0.9087907724740993,1.181051650688166,1.051471414871847,0.0740004472047894,1.0914251687297705,1.0596829560241605,10
10,LH,Mean,1.0502812388593228,1.0837843990547475,1.0680286689177414,0.012197049811351132,1.0837843990547475,1.0671541840201315,10
10,LH-E2E,Mean,0.8110317096075748,0.9989618530395914,0.9209251488818081,0.06932008783247535,0.9989618530395914,0.9409347521468487,10
10,MLP,Mean,0.9932202146614663,1.066756356422889,1.0176252810530304,0.02501137253226223,1.0287997311825232,1.008336757148859,10
10,MLP-E2E,Mean,0.8144835126388391,0.959290874568767,0.9062182275600124,0.04666393338966661,0.863983342743771,0.9144477628085473,10
20,FS,Not Used,0.6109546899581245,0.8513661298461267,0.7318748218033465,0.06871030481660603,0.7597346493434688,0.7365252094618132,10
20,LH,Mean,0.8019662862149064,0.8258891751882202,0.8110943448474913,0.008077960816853616,0.8192897728817586,0.8086866198989847,10
20,LH-E2E,Mean,0.625019345094166,0.6831498344341069,0.6647236849248951,0.0167032000223883,0.6831498344341069,0.6689863129822201,10
20,MLP,Mean,0.7362883280145578,0.8080194986467081,0.7662463313655203,0.022342589593680427,0.7449662877567453,0.762161320737843,10
20,MLP-E2E,Mean,0.6218510175410301,0.6729136957417228,0.6488069880883521,0.014076164909219238,0.65372265137692,0.6498745707921709,10
50,FS,Not Used,1.0995295379362,1.2233442374643457,1.1553818345690599,0.04041257987206205,1.1856116808943664,1.1651538607329128,10
50,LH,Mean,0.9623047859001435,0.9852113166466675,0.9741830356497735,0.007435403043050816,0.9852113166466675,0.9762246772412544,10
50,LH-E2E,Mean,0.6919070367035878,0.8505275137804846,0.790628398637268,0.06374831728343834,0.8453918725019186,0.816732565780697,10
50,MLP,Mean,0.8765728887999935,0.916717703909294,0.894674709781442,0.014678647232174472,0.890807653480172,0.8934765774538411,10
50,MLP-E2E,Mean,0.6823475484370123,0.8251216327304914,0.7943256010480363,0.04147017370356534,0.8246071521163991,0.805673240237158,10
75,FS,Not Used,0.86930215284571,1.0729823991441658,0.9657007663713243,0.05423385040674577,0.9691280325088405,0.9697865415274121,10
75,LH,Mean,0.9848316590788601,1.0019622712562972,0.9939987310779245,0.005985214555630011,1.0019622712562972,0.994933987788621,10
75,LH-E2E,Mean,0.7785424225656082,0.9200181711416158,0.8611310654165285,0.05820212798274431,0.9200181711416158,0.8870767662577554,10
75,MLP,Mean,0.897799055688388,0.9241822010231249,0.9089794230787753,0.009584560414883779,0.8994611945741253,0.9094472898924273,10
75,MLP-E2E,Mean,0.7561985064626404,0.9006223998525494,0.8747261947597051,0.04423739728205699,0.9006223998525494,0.8889161258949754,10
