sample,strategy,imputation,best,worst,mean,std,mode,median,count
5,FS,Gaussian,1.232521593622763,1.3183351509789167,1.2547591694767344,0.025742144398306518,1.3183351509789167,1.242500464512299,10
5,FS,Mean,0.9694247622860349,1.0618249909213715,1.001049528564347,0.024983136062199807,0.9878248461853306,0.9945852345787787,10
5,LH,Gaussian,1.1468053730672512,1.415900185048175,1.278431040805548,0.09766713240066202,1.1951857303309457,1.2982255812970358,10
5,LH,Mean,0.9962933115117674,1.022857350641315,1.0056612159117044,0.008549792025844641,1.022857350641315,1.004829518770461,10
5,LH-E2E,Gaussian,1.1892523290878039,1.3794570616590638,1.3256851549428201,0.05907530517838123,1.342536177729743,1.3455113993297512,10
5,LH-E2E,Mean,0.917653800113244,0.9579208001623205,0.9352095451781803,0.013540056093882296,0.9579208001623205,0.9318039818589123,10
5,MLP,Gaussian,1.2941128083854805,1.3397009684709646,1.312606872552164,0.015323514977923594,1.3078886101772427,1.3080923557262842,10
5,MLP,Mean,1.2222418346214885,1.2684453552157653,1.241041753094408,0.012846103859176363,1.2446156977389227,1.2419061218471623,10
5,MLP-E2E,Gaussian,1.280415179377086,1.3449183106358389,1.3076371368557411,0.020872395651888018,1.3192164828970911,1.3023447191827695,10
5,MLP-E2E,Mean,1.0218291578826137,1.1060140117730308,1.0635911725551623,0.026490548352371975,1.077530980439978,1.0631008644618443,10
10,FS,Gaussian,1.0626205337435204,1.1075520927670255,1.0849892554604181,0.014581965383044779,1.074904032594217,1.0849829830914144,10
10,FS,Mean,0.8630791786293843,0.9018808852552702,0.8904200221280474,0.012966106543564754,0.886744881446934,0.8946604824348637,10
10,LH,Gaussian,1.113416518896893,1.2574238757673615,1.187966482634981,0.05160460497656667,1.1474998153529745,1.2035974209705471,10
10,LH,Mean,1.0122427442516604,1.0228131223842336,1.017959158080919,0.0036467881760670127,1.0224812504416771,1.0173932131081551,10
10,LH-E2E,Gaussian,1.048786388949882,1.2526808109221448,1.1878871390930739,0.06758763739352563,1.1860646199417173,1.2002630639658363,10
10,LH-E2E,Mean,0.9016217291169971,0.926309209111743,0.9170944179885666,0.00705334896468787,0.9232520993141335,0.9194886087187091,10
10,MLP,Gaussian,1.1879097419870952,1.213327652646152,1.2014294465935775,0.008476232275924844,1.2025965135124665,1.200871076708449,10
10,MLP,Mean,1.1220529452195143,1.1545769494628801,1.1356047861252236,0.009582776014347018,1.1424053713087772,1.1352990927538293,10
10,MLP-E2E,Gaussian,1.0705606562905678,1.2073681848953566,1.1542806809182338,0.041927270395472095,1.1377999573288464,1.1650847488315152,10
10,MLP-E2E,Mean,0.9166651710226734,0.962482500223806,0.9389094468603375,0.01704945649344546,0.9384372552121012,0.9378003768618282,10
20,FS,Gaussian,0.8764982650029487,0.8943868900643008,0.8847290644190051,0.0060775968957761765,0.8787215375576423,0.8841827883520161,10
20,FS,Mean,0.6547605908886002,0.6778773337670503,0.6686990457536979,0.007199104145162488,0.6547605908886002,0.6713035114987704,10
20,LH,Gaussian,0.9682105935419947,1.0848533945364403,1.009729200854658,0.039023354837519265,1.0218062497487197,0.9940865488947668,10
20,LH,Mean,0.8719107662312151,0.8785910757392081,0.8761822267596358,0.002064372718465629,0.8764188852523982,0.87629478921906,10
20,LH-E2E,Gaussian,0.9925606482357388,1.1077793597690473,1.0404435505851466,0.03458842800862043,1.054567978207843,1.0323325781286423,10
20,LH-E2E,Mean,0.7858739471820134,0.7996796982603546,0.7933090340855545,0.004681577176265105,0.7931594870662729,0.7938276927889218,10
20,MLP,Gaussian,1.0043582264597417,1.0297603123815613,1.0160765081961691,0.008523997228071598,1.007791375708905,1.0162771805849604,10
20,MLP,Mean,0.9071750353898457,0.9253233252315589,0.9158248438313569,0.005497779641074124,0.9241792309724676,0.914773475589511,10
20,MLP-E2E,Gaussian,1.0107774326245913,1.0360481210138572,1.024388545187937,0.007308014440041644,1.026242860845853,1.0243726110713243,10
20,MLP-E2E,Mean,0.7141004995404342,0.7247604166596037,0.7184610811630703,0.00337593403249484,0.7167159761862238,0.7178912922967158,10
50,FS,Gaussian,0.9432524639321672,0.9726522006253726,0.9612942179289519,0.009138240560499625,0.969070175633444,0.9619113404482504,10
50,FS,Mean,0.8212551454327021,0.85811295940874,0.8381124876107597,0.013136916627573164,0.829391085978193,0.8313434219792211,10
50,LH,Gaussian,1.1183025029895208,1.2739471926213235,1.186261723596756,0.05097476978558884,1.1921202650848877,1.1925161827789106,10
50,LH,Mean,1.0479165232883512,1.0566495651788437,1.0531214538932878,0.0028808953193165654,1.0548557344574518,1.053935328935747,10
50,LH-E2E,Gaussian,0.9486761976572723,1.271614578873176,1.1945376515686896,0.09590477602119184,1.2202617862198122,1.2273102712228472,10
50,LH-E2E,Mean,0.8994703853741535,0.9174685111587464,0.9095372686876886,0.005100391186782253,0.9063410147477043,0.9098538855508053,10
50,MLP,Gaussian,1.1691303619488824,1.192451674740053,1.1815730123383887,0.006807661918117493,1.1760782520329474,1.182634588694469,10
50,MLP,Mean,1.0832474497934423,1.1056189478229093,1.092686412126095,0.007836685442816082,1.102975146115371,1.0901545866672426,10
50,MLP-E2E,Gaussian,1.19817912142588,1.2464258829314185,1.2298921446924993,0.016009082151823187,1.241245950983414,1.237003116232355,10
50,MLP-E2E,Mean,0.8795811758503643,0.9415779930250651,0.9085130238271745,0.02154323332083255,0.919116472090551,0.9078413807265764,10
75,FS,Gaussian,0.9883733005812264,1.0102808253690907,1.0007329702554821,0.008327918154288851,1.0086333543721862,1.0020951621113776,10
75,FS,Mean,0.857558121038332,0.887043293193174,0.8715038091281248,0.01027767972713684,0.8691379498095717,0.8712696836279367,10
75,LH,Gaussian,1.1281346738414213,1.298300022984578,1.1950214703775743,0.05584320055101424,1.1882463314634915,1.188492942322604,10
75,LH,Mean,1.0651576580292204,1.0730601469003407,1.0698920237297167,0.002864490392980629,1.0707111654314105,1.0706483340433346,10
75,LH-E2E,Gaussian,0.9601151792565531,1.265135731712973,1.157855523694358,0.09301013376512651,1.229614123796477,1.1788274471131,10
75,LH-E2E,Mean,0.9027457457296625,0.910902764315974,0.9073071912722371,0.002645980016892029,0.908894714357752,0.907351168780163,10
75,MLP,Gaussian,1.175014049392736,1.1831540323618257,1.17944027418779,0.0029176057632008,1.1771969076742292,1.1805143775139952,10
75,MLP,Mean,1.1033797982972875,1.127229291791843,1.1141513329375057,0.008291545000762943,1.1249650446391213,1.1109789588949566,10
75,MLP-E2E,Gaussian,1.1779450313370987,1.2506002850848807,1.219606483181738,0.026772540835369625,1.2506002850848807,1.2251999973103005,10
75,MLP-E2E,Mean,0.9074078737633927,0.943498457155392,0.9257577280807252,0.013388931729568935,0.9380980068034723,0.9301443059897891,10
