sample,strategy,imputation,best,worst,mean,std,mode,median,count
5,FS,Not Used,1.0182541997291927,1.2884902517989594,1.1281143114030998,0.08585586016911748,1.2441590447781172,1.11845189889863,10
5,LH,Gaussian,1.2180353490292841,1.347330451525597,1.2866956936724667,0.039528580853618545,1.3051296168048478,1.2911545582005053,10
5,LH-E2E,Gaussian,1.0825520601471723,1.1417253378252443,1.1037891150385446,0.018478565219279403,1.1114173134236398,1.1003698529196981,10
5,MLP,Gaussian,1.2723474786164,1.314586771578292,1.2881710090333758,0.01188511771510798,1.314586771578292,1.2847377791072743,10
5,MLP-E2E,Gaussian,1.0643954533186741,1.0936527467049213,1.0762164485654628,0.00799011784402101,1.0734205575765206,1.0752283870348318,10
10,FS,Not Used,0.8729110669115718,1.1981293956638182,1.0533552743366452,0.10913410327118901,1.1433778065190074,1.068549585274635,10
10,LH,Gaussian,1.212966512247696,1.2653383642125249,1.2338136188532343,0.016296046074256734,1.2359177092539149,1.232165611539885,10
10,LH-E2E,Gaussian,1.1741492737902661,1.5790560607832904,1.4194237893863437,0.18955932103688353,1.2193646790587747,1.5590772556955557,10
10,MLP,Gaussian,1.194897944846132,1.2285528518151578,1.212435808052426,0.010567864456391405,1.2285528518151578,1.2117266730282368,10
10,MLP-E2E,Gaussian,1.1944779779465795,1.5302058639845444,1.4227313166296176,0.11597134684435528,1.5302058639845444,1.4962559211442916,10
20,FS,Not Used,0.6302375087333795,0.7970345097193832,0.700191798620939,0.059883948811453105,0.6811350557339021,0.6787553307059133,10
20,LH,Gaussian,0.8625350525993686,0.8894882390620561,0.8730511972928875,0.008742504269376242,0.873865912529098,0.8722282750497421,10
20,LH-E2E,Gaussian,0.8439367491763843,0.880846681961455,0.8627835020964805,0.01141017284763481,0.8766697850604879,0.8619249640356081,10
20,MLP,Gaussian,0.8827004167855983,0.9411891784918041,0.9138798980491917,0.01934707495463344,0.9072945743154761,0.9113518068235669,10
20,MLP-E2E,Gaussian,0.8019475162094893,0.8147493762207235,0.8062693669107469,0.00365526572820403,0.807013969669828,0.8055990667324968,10
50,FS,Not Used,1.0374832800991602,1.1672436430276298,1.102137292536059,0.03845026166630345,1.1353360661208383,1.0983249220978282,10
50,LH,Gaussian,1.0923114165689387,1.1086886059034158,1.0986144064109713,0.005666730840946674,1.0923114165689387,1.0973218906485696,10
50,LH-E2E,Gaussian,0.959139892766961,1.1305926492833416,0.9973601865431163,0.06473444160611559,0.9700007634521878,0.9682512775599732,10
50,MLP,Gaussian,1.1200494417937037,1.1316988929473604,1.1257018301288637,0.003441195966838927,1.1264545144082878,1.1261469043044665,10
50,MLP-E2E,Gaussian,0.915301395680776,0.9413505007122298,0.9300288722895912,0.008900397523637136,0.915301395680776,0.9314220255760157,10
75,FS,Not Used,0.8566598678575363,1.01596211437114,0.9501654961668793,0.04822372592931183,0.9046791270845502,0.9670417565970597,10
75,LH,Gaussian,1.0664301774384273,1.0900850479003064,1.0776790977218356,0.00802235284273151,1.0683838247671877,1.0795082086000898,10
75,LH-E2E,Gaussian,0.9504133903073999,0.9701927174060255,0.9584743040656283,0.006671449176111497,0.9701927174060255,0.9568384585037397,10
75,MLP,Gaussian,1.1009336024799967,1.1299175089667646,1.1102405180719859,0.009561564715760036,1.1046928155118743,1.1070910743445048,10
75,MLP-E2E,Gaussian,0.9262157577058668,0.9543276764780679,0.9365702453360851,0.008614584409813773,0.9543276764780679,0.9360521048371354,10
