upstream,strategy,imputation,mean_pct_gain,median_pct_gain,count,mean_pct_gain_pct
2,LH,Gaussian,-0.31278033610345124,-0.38743287232722345,50,-31.278033610345123
2,LH,Mean,-0.8179532344223774,-0.8292558526004778,50,-81.79532344223774
2,LH,PseudoFeature,-0.25257308847411336,-0.32653533574921045,50,-25.257308847411338
2,LH,RealValue,-0.5736868423901152,-0.5421025942256156,50,-57.36868423901152
2,LH-E2E,Gaussian,-0.34387875731863154,-0.42795850406034097,50,-34.387875731863154
2,LH-E2E,Mean,-0.3275145757590026,-0.3721232060973658,50,-32.75145757590026
2,LH-E2E,PseudoFeature,-0.14319816367197954,-0.16813086554488932,50,-14.319816367197955
2,LH-E2E,RealValue,-0.11943623423882462,-0.1338661615789189,50,-11.943623423882462
2,MLP,Gaussian,-0.46302124979453685,-0.5634600922675823,50,-46.30212497945369
2,MLP,Mean,-0.8021476337356994,-0.8134392319694972,50,-80.21476337356994
2,MLP,PseudoFeature,-0.2507634198238618,-0.3185670384670963,50,-25.07634198238618
2,MLP,RealValue,-0.5694634178801389,-0.5453062613854476,50,-56.94634178801389
2,MLP-E2E,Gaussian,-0.5678332691621805,-0.6746921885497852,50,-56.783326916218044
2,MLP-E2E,Mean,-0.3974404274404247,-0.4136094316812672,50,-39.74404274404247
2,MLP-E2E,PseudoFeature,-0.14364481783831476,-0.16334603933969344,50,-14.364481783831476
2,MLP-E2E,RealValue,-0.1057317291886229,-0.13720652825923116,50,-10.57317291886229
3,LH,Gaussian,-0.8989345202633742,-1.1068433309669712,50,-89.89345202633741
3,LH,Mean,-0.7493567871867753,-0.9123372633508634,50,-74.93567871867754
3,LH,PseudoFeature,-0.9240487856223618,-0.9644079632783409,50,-92.40487856223618
3,LH,RealValue,-0.5856312072294684,-0.689733225523519,50,-58.563120722946834
3,LH-E2E,Gaussian,-0.7376593841864876,-0.8148130893240371,50,-73.76593841864876
3,LH-E2E,Mean,-0.5681531730800474,-0.5119908448783399,50,-56.815317308004744
3,LH-E2E,PseudoFeature,-1.0690799266600848,-1.152279205754359,50,-106.90799266600848
3,LH-E2E,RealValue,-0.5836185112037342,-0.6808448768561102,50,-58.36185112037342
3,MLP,Gaussian,-0.8832173798623635,-1.086594526543873,50,-88.32173798623634
3,MLP,Mean,-0.740283823964961,-0.9005943645510304,50,-74.0283823964961
3,MLP,PseudoFeature,-0.9644255329912332,-1.0125177979765358,50,-96.44255329912332
3,MLP,RealValue,-0.6505074870604592,-0.7449513824649087,50,-65.05074870604592
3,MLP-E2E,Gaussian,-0.8610569815220944,-0.7833946582123541,50,-86.10569815220944
3,MLP-E2E,Mean,-0.6958332609360076,-0.6062737974377115,50,-69.58332609360076
3,MLP-E2E,PseudoFeature,-0.8091216417550027,-0.8935136174354121,50,-80.91216417550027
3,MLP-E2E,RealValue,-0.6419930304996047,-0.7297509386367247,50,-64.19930304996046
4,LH,Gaussian,-0.9011583457126124,-1.0114060198137191,50,-90.11583457126125
4,LH,Mean,-1.1603336494252705,-1.3349944915451952,50,-116.03336494252704
4,LH,PseudoFeature,-0.01596427525401551,-0.04198827297625866,50,-1.596427525401551
4,LH,RealValue,-0.2672975998280807,-0.3476468425101288,50,-26.729759982808073
4,LH-E2E,Gaussian,-0.7900016475461681,-0.8543057294002623,50,-79.0001647546168
4,LH-E2E,Mean,-0.6668534652241673,-0.5733090376617445,50,-66.68534652241674
4,LH-E2E,PseudoFeature,-0.0515789408103578,-0.09205696820947847,50,-5.15789408103578
4,LH-E2E,RealValue,-0.04946918251493781,-0.07093145997213621,50,-4.946918251493781
4,MLP,Gaussian,-0.8863062556462913,-1.0063555351800093,50,-88.63062556462913
4,MLP,Mean,-1.1448332208905359,-1.3035493990100746,50,-114.48332208905359
4,MLP,PseudoFeature,-0.025363431322787795,-0.08861404207529006,50,-2.5363431322787795
4,MLP,RealValue,-0.25482346704841996,-0.330978139735305,50,-25.482346704841994
4,MLP-E2E,Gaussian,-0.9596893537448865,-0.8839052605478533,50,-95.96893537448865
4,MLP-E2E,Mean,-0.6770382385761333,-0.6119372273506456,50,-67.70382385761333
4,MLP-E2E,PseudoFeature,-0.07475281347165261,-0.11136139985028715,50,-7.475281347165261
4,MLP-E2E,RealValue,-0.023259424579607217,-0.05380192675958399,50,-2.3259424579607217
