sample,strategy,imputation,upstream,rmse_test,best_st_rmse,abs_gain,pct_gain
5,MLP,RealValue,4,5.606255054473877,1.4783542156219482,-4.127900838851929,-2.792227191042512
5,MLP-E2E,RealValue,4,5.105771541595459,1.4783542156219482,-3.6274173259735107,-2.453686192146748
5,LH,RealValue,4,1.5010714530944824,1.4783542156219482,-0.02271723747253418,-0.015366572660650862
5,LH-E2E,RealValue,4,1.452559471130371,1.4783542156219482,0.02579474449157715,0.017448284192652177
10,MLP,RealValue,4,5.5390305519104,1.0413709878921509,-4.4976595640182495,-4.318979130695782
10,MLP-E2E,RealValue,4,4.93399715423584,1.0413709878921509,-3.892626166343689,-3.73798215199253
10,LH,RealValue,4,1.3901716470718384,1.0413709878921509,-0.3488006591796875,-0.33494370712756105
10,LH-E2E,RealValue,4,1.278592824935913,1.0413709878921509,-0.2372218370437622,-0.22779762428750316
20,MLP,RealValue,4,5.501948833465576,0.791105329990387,-4.710843503475189,-5.954761426689456
20,MLP-E2E,RealValue,4,4.821496963500977,0.791105329990387,-4.03039163351059,-5.094633395479164
20,LH,RealValue,4,1.3232154846191406,0.791105329990387,-0.5321101546287537,-0.6726160657206286
20,LH-E2E,RealValue,4,1.1589878797531128,0.791105329990387,-0.36788254976272583,-0.4650234751511485
50,MLP,RealValue,4,5.469669818878174,0.8401344418525696,-4.629535377025604,-5.510469689609529
50,MLP-E2E,RealValue,4,0.9091702699661255,0.8401344418525696,-0.06903582811355591,-0.0821723579875215
50,LH,RealValue,4,1.201637864112854,0.8401344418525696,-0.3615034222602844,-0.4302923487616314
50,LH-E2E,RealValue,4,0.941380500793457,0.8401344418525696,-0.10124605894088745,-0.12051173466669343
75,MLP,RealValue,4,5.46109676361084,1.1268813610076904,-4.334215402603149,-3.846203826396921
75,MLP-E2E,RealValue,4,0.8403081893920898,1.1268813610076904,0.2865731716156006,0.25430642615238436
75,LH,RealValue,4,1.1831408739089966,1.1268813610076904,-0.05625951290130615,-0.04992496534949983
75,LH-E2E,RealValue,4,0.8601735830307007,1.1268813610076904,0.26670777797698975,0.23667777922823377
5,MLP,RealValue,4,6.19287633895874,1.4783542156219482,-4.714522123336792,-3.1890341797100215
5,MLP-E2E,RealValue,4,5.822409629821777,1.4783542156219482,-4.344055414199829,-2.938440171033213
5,LH,RealValue,4,1.2498661279678345,1.4783542156219482,0.22848808765411377,0.1545557115065202
5,LH-E2E,RealValue,4,1.311321496963501,1.4783542156219482,0.16703271865844727,0.11298558687315413
10,MLP,RealValue,4,6.136173725128174,1.0413709878921509,-5.094802737236023,-4.892399343243144
10,MLP-E2E,RealValue,4,5.696691989898682,1.0413709878921509,-4.655321002006531,-4.470377085719866
10,LH,RealValue,4,1.160379409790039,1.0413709878921509,-0.11900842189788818,-0.11428052373417305
10,LH-E2E,RealValue,4,1.10346519947052,1.0413709878921509,-0.06209421157836914,-0.05962736844057336
20,MLP,RealValue,4,6.091384410858154,0.791105329990387,-5.300279080867767,-6.6998399327333225
20,MLP-E2E,RealValue,4,5.607761383056641,0.791105329990387,-4.816656053066254,-6.088514222404219
20,LH,RealValue,4,1.105932593345642,0.791105329990387,-0.3148272633552551,-0.3979587185426759
20,LH-E2E,RealValue,4,1.0579835176467896,0.791105329990387,-0.2668781876564026,-0.33734848892959113
50,MLP,RealValue,4,6.054693698883057,0.8401344418525696,-5.214559257030487,-6.206815239632278
50,MLP-E2E,RealValue,4,1.3748847246170044,0.8401344418525696,-0.5347502827644348,-0.6365056068708049
50,LH,RealValue,4,1.033682107925415,0.8401344418525696,-0.19354766607284546,-0.23037701638092115
50,LH-E2E,RealValue,4,0.9131783843040466,0.8401344418525696,-0.07304394245147705,-0.0869431591096406
75,MLP,RealValue,4,6.045735836029053,1.1268813610076904,-4.918854475021362,-4.365015382473607
75,MLP-E2E,RealValue,4,0.8388153910636902,1.1268813610076904,0.28806596994400024,0.2556311426487729
75,LH,RealValue,4,1.0283701419830322,1.1268813610076904,0.0985112190246582,0.08741933484157248
75,LH-E2E,RealValue,4,0.8498373627662659,1.1268813610076904,0.27704399824142456,0.24585019135792935
5,MLP,RealValue,4,6.253819942474365,1.4783542156219482,-4.775465726852417,-3.2302581319074224
5,MLP-E2E,RealValue,4,6.3650031089782715,1.4783542156219482,-4.886648893356323,-3.305465524918529
5,LH,RealValue,4,1.3595879077911377,1.4783542156219482,0.11876630783081055,0.0803368411817632
5,LH-E2E,RealValue,4,1.0770270824432373,1.4783542156219482,0.40132713317871094,0.27146885972105905
