upstream,strategy,imputation,mean_pct_gain,median_pct_gain,count,mean_pct_gain_pct
2,LH,Gaussian,-0.8577907976860614,0.09087731509393882,50,-85.77907976860614
2,LH,Mean,0.03841470298851614,0.5649039428977221,50,3.841470298851614
2,LH,PseudoFeature,-0.3612755028512909,0.3124739241927751,50,-36.12755028512909
2,LH,RealValue,0.23328050452460988,0.6310128883582158,50,23.32805045246099
2,LH-E2E,Gaussian,-0.955784580285154,-0.226452348034857,50,-95.5784580285154
2,LH-E2E,Mean,0.028596399852584137,0.3065084545000966,50,2.8596399852584136
2,LH-E2E,PseudoFeature,0.231289696097254,0.23300654449107416,50,23.1289696097254
2,LH-E2E,RealValue,0.33390428530897986,0.6115077258892145,50,33.390428530897985
2,MLP,Gaussian,-2.223489285121729,-0.4817662385264842,50,-222.3489285121729
2,MLP,Mean,-2.3523489720077277,-0.5234747738280732,50,-235.23489720077276
2,MLP,PseudoFeature,-2.042509750378644,-0.39691303309631387,50,-204.2509750378644
2,MLP,RealValue,-1.6560498913992097,-0.21561237843578315,50,-165.60498913992097
2,MLP-E2E,Gaussian,-1.349798047864755,-0.37187656166162586,50,-134.9798047864755
2,MLP-E2E,Mean,-1.3743431828244763,-0.39445458685177326,50,-137.43431828244763
2,MLP-E2E,PseudoFeature,-0.7008461642838677,-0.15016736191100133,50,-70.08461642838677
2,MLP-E2E,RealValue,-0.06414158863103472,0.03255650131397912,50,-6.414158863103473
3,LH,Gaussian,-0.8253771414708911,0.1491609929618415,50,-82.53771414708912
3,LH,Mean,0.09349033839682003,0.5476859403523902,50,9.349033839682003
3,LH,PseudoFeature,0.16137347935877877,0.5866141828948027,50,16.137347935877877
3,LH,RealValue,-0.343438887258527,0.3517511193617292,50,-34.3438887258527
3,LH-E2E,Gaussian,0.15295782263024182,0.5436298527556087,50,15.295782263024183
3,LH-E2E,Mean,0.1413057236747308,0.2920956201097773,50,14.130572367473079
3,LH-E2E,PseudoFeature,0.15511249098038,0.5645486061043432,50,15.511249098037998
3,LH-E2E,RealValue,0.1707173115099411,0.34455032939127017,50,17.07173115099411
3,MLP,Gaussian,-2.4216119387066732,-0.5665094008731903,50,-242.16119387066732
3,MLP,Mean,-2.0873542176038073,-0.4110478494039207,50,-208.73542176038075
3,MLP,PseudoFeature,-1.7339903886596457,-0.2578976922315719,50,-173.39903886596457
3,MLP,RealValue,-2.0982553369594825,-0.4298886770486945,50,-209.82553369594825
3,MLP-E2E,Gaussian,-1.1453849725263907,-0.35412512315897154,50,-114.53849725263908
3,MLP-E2E,Mean,-0.7093349064306526,-0.22606232795082515,50,-70.93349064306526
3,MLP-E2E,PseudoFeature,-0.03983257405795281,-0.06284338534082584,50,-3.983257405795281
3,MLP-E2E,RealValue,-0.4781888560915774,-0.1715084979677278,50,-47.81888560915774
4,LH,Gaussian,-0.6603567679598461,0.22674261207321866,50,-66.03567679598461
4,LH,Mean,-0.1980455893488347,0.41208643544495266,50,-19.80455893488347
4,LH,PseudoFeature,0.5463993074037939,0.7848614248169963,50,54.63993074037939
4,LH,RealValue,0.37280251119993457,0.6939130623820824,50,37.28025111999346
4,LH-E2E,Gaussian,-0.11037352797127571,0.1711343040506913,50,-11.037352797127571
4,LH-E2E,Mean,0.17119055694443933,0.5678805986668933,50,17.119055694443933
4,LH-E2E,PseudoFeature,0.530280476919959,0.7545070568877907,50,53.02804769199591
4,LH-E2E,RealValue,0.47413512297905824,0.6145714969675296,50,47.413512297905825
4,MLP,Gaussian,-2.4227569659800743,-0.5631486444550364,50,-242.2756965980074
4,MLP,Mean,-2.234361982119078,-0.46729322120669003,50,-223.4361982119078
4,MLP,PseudoFeature,-0.9294749898665977,0.04263192380344431,50,-92.94749898665977
4,MLP,RealValue,-2.0854524563391115,-0.414661850089614,50,-208.54524563391115
4,MLP-E2E,Gaussian,-1.400112572694596,-0.41461299025089055,50,-140.0112572694596
4,MLP-E2E,Mean,-0.4078193876755771,-0.1936621267864499,50,-40.78193876755771
4,MLP-E2E,PseudoFeature,0.32742488841765194,0.28296613465022513,50,32.742488841765194
4,MLP-E2E,RealValue,-0.06091224308497157,-0.024823387043035914,50,-6.091224308497157
